feed_id,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,round,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position
1012860,151,Oliver,Henry,COL,FWD,NA,7,NA,NA,45.75,45.6667,45.75,231400,NA,NA,NA,NA,NA,NA
1006114,771,Bailey J.,Williams,WCE,RUC,FWD,7,NA,NA,49.5,52.3333,49.5,245500,NA,NA,NA,NA,NA,NA
1002938,105,Josh,Honey,CAR,FWD,NA,7,NA,NA,0,0,0,216600,NA,NA,NA,NA,NA,NA
1002242,274,Charlie,Constable,GCS,MID,NA,7,NA,NA,0,0,0,213400,NA,NA,NA,NA,NA,NA
997501,706,Ryan,Gardner,WBD,DEF,NA,7,NA,72,61.8571,79.6667,65.2,312300,NA,NA,NA,NA,NA,NA
1004757,162,Beau,McCreery,COL,FWD,NA,7,NA,44,63,58.6667,63,263200,NA,NA,NA,NA,NA,NA
298302,109,Caleb,Marchbank,CAR,DEF,NA,7,NA,NA,0,0,0,209300,NA,NA,NA,NA,NA,NA
1018335,5,Brayden,Cook,ADE,MID,NA,7,NA,37,41.3333,51,39.2,221700,NA,NA,NA,NA,NA,NA
1004965,518,Tristan,Xerri,NTH,FWD,RUC,7,NA,NA,82.8333,72.3333,83.6,346200,10883,Love is Hind,Lester,FALSE,nonscoring,FWD
1000960,414,Max,Lynch,HAW,RUC,NA,7,NA,66,44.3333,44.3333,44.3333,213300,63015,Wolf of Walsh St,Jordan,TRUE,scoring,RUC
1011640,498,Jason,Horne-Francis,NTH,FWD,MID,7,NA,58,70.7143,54,64.4,310900,NA,NA,NA,NA,NA,NA
1012828,159,Finlay,Macrae,COL,MID,NA,7,NA,NA,0,0,0,206800,NA,NA,NA,NA,NA,NA
1012833,492,Eddie,Ford,NTH,FWD,NA,7,NA,NA,24.5,24.5,24.5,206800,NA,NA,NA,NA,NA,NA
1013093,403,Denver,Grainger-Barras,HAW,DEF,NA,7,NA,NA,52,42,53.4,242700,NA,NA,NA,NA,NA,NA
1011985,595,Hugo,Ralphsmith,RIC,FWD,MID,7,NA,NA,59.6,59.6667,59.6,275900,NA,NA,NA,NA,NA,NA
