id,feed_id,player_name,last_name,team,pos,avg,avg3,avg5,Median,user_team_id,user,Bye,,user_team_id,,,team,
272,993799,B.Fiorini,Fiorini,GCS,MID,82.625,82,73,88,,,14,,,,,,
334,1016433,S.Neale,Neale,GEE,FWD,88,88,88,88,,,14,,,,,,
533,1002253,K.Farrell,Farrell,PTA,DEF,80.3333,80.6667,85.6,87.5,,,13,,,,,,
474,291902,J.Viney,Viney,MEL,MID,94.5556,87.3333,83.8,87,716,Garter,14,,,,,,
648,295340,M.Wood,Wood,STK,MID,75,71,75,87,715,Melons,15,,,,,,
636,293846,S.Ross,Ross,STK,MID,81.2222,74,76.8,87,,,15,,,,,,
163,260257,S.Pendlebury,Pendlebury,COL,MID,86.3333,119.667,88.6,86.5,716,Garter,15,,,,,,
458,996701,C.Oliver,Oliver,MEL,MID,89.5556,103.333,87.4,86,715,Melons,14,,,,,,
350,1008436,K.Briggs,Briggs,GWS,RUC,88,85.3333,81.8,86,717,Lester,12,,,,,,
367,993107,H.Himmelberg,Himmelberg,GWS,DEF,83,87.3333,83,86,719,Kappaz,12,,,,,,
34,1006136,L.Sholl,Sholl,ADE,MID,77.1667,87,75,86,,,15,,,,,,
470,291819,A.Tomlinson,Tomlinson,MEL,DEF,86,0,0,86,,,14,,,,,,
137,1005054,J.Daicos,Daicos,COL,MID,89,90,90,85.5,718,Chief,15,,,,,,
658,998103,O.Florent,Florent,SYD,DEF,89.7778,102.333,99.4,85.5,713,Pmac,12,,,,,,
645,296422,C.Wilkie,Wilkie,STK,DEF,86.8889,99.6667,86.4,85,718,Chief,15,,,,,,
530,280711,C.Dixon,Dixon,PTA,FWD,79.625,78.3333,70.6,85,715,Melons,13,,,,,,
776,1006114,B.Williams,Williams,WCE,RUC,72.5556,63.6667,72.2,85,,,14,,,,,,
588,1002403,B.Miller,Miller,RIC,RUC/FWD,80,78.6667,77.8,85,713,Pmac,15,,,,,,
228,291570,N.Fyfe,Fyfe,FRE,MID/FWD,78.7778,65.3333,73.2,85,719,Kappaz,13,,,,,,
369,1008083,C.Idun,Idun,GWS,DEF,80.7778,79,83.4,84.5,,,12,,,,,,
352,1009708,J.Buckley,Buckley,GWS,DEF,81.4444,90.6667,82,84.5,,,12,,,,,,
607,994599,R.Bonner,Bonner,STK,DEF/MID,85.3333,90.6667,85,84.5,714,Richo,15,,,,,,
331,1004938,G.Miers,Miers,GEE,FWD,91,99.3333,93,83.5,715,Melons,14,,,,,,
179,1006096,X.Duursma,Duursma,ESS,MID,81.625,80.3333,91.6,83.5,,,14,,,,,,
302,994386,T.Atkins,Atkins,GEE,DEF/MID,78.5,78.3333,82.2,83,,,14,,,,,,
114,297255,M.McGovern,McGovern,CAR,DEF,81.1667,63.6667,78.6,83,717,Lester,14,,,,,,
581,993903,J.Hopper,Hopper,RIC,MID,81,73,73,83,,,15,,,,,,
750,1011437,H.Edwards,Edwards,WCE,DEF,83,83,83,83,,,14,,,,,,
507,1011659,T.Powell,Powell,NTH,FWD/MID,84.2222,66,73.8,82.5,719,Kappaz,12,,,,,,
198,993817,D.Parish,Parish,ESS,MID,90.4286,112,96.2,82,719,Kappaz,14,,,,,,
315,281065,M.Duncan,Duncan,GEE,DEF,76.375,67.6667,76,82,716,Garter,14,,,,,,
110,1001398,M.Kennedy,Kennedy,CAR,FWD/MID,75.1111,65.6667,77.4,82,717,Lester,14,,,,,,
357,1002251,B.Daniels,Daniels,GWS,FWD,80,75.6667,79.6,82,718,Chief,12,,,,,,
676,1011936,J.McInerney,McInerney,SYD,FWD/MID,80.4444,83.6667,79.4,82,719,Kappaz,12,,,,,,
340,997230,T.Stengle,Stengle,GEE,FWD,77,75.3333,83.4,82,713,Pmac,14,,,,,,
704,1017126,S.Darcy,Darcy,WBD,FWD,78.5,83.3333,76.2,82,718,Chief,15,,,,,,
162,1000072,J.Noble,Noble,COL,DEF,78.5714,90,84,81.5,717,Lester,15,,,,,,
190,298630,K.Langford,Langford,ESS,FWD,85.5556,107.667,97.4,81.5,716,Garter,14,,,,,,
448,298264,E.Langdon,Langdon,MEL,MID,78.1111,82.3333,75.6,81.5,,,14,,,,,,
623,295584,B.Hill,Hill,STK,MID/FWD,80.1111,73,90.4,81.5,714,Richo,15,,,,,,
15,1005199,E.Himmelberg,Himmelberg,ADE,FWD,77,77,77,81.5,,,15,,,,,,
41,280506,T.Walker,Walker,ADE,FWD,74.75,79.3333,85.4,81,717,Lester,15,,,,,,
390,297354,K.Amon,Amon,HAW,DEF/MID,89.1111,88.6667,89.2,81,718,Chief,15,,,,,,
462,1009378,T.Rivers,Rivers,MEL,DEF,78.5556,73.3333,79,81,,,14,,,,,,
307,293845,J.Cameron,Cameron,GEE,FWD,87.7778,84,90.2,81,720,Jmerc,14,,,,,,
