"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,8,2,,"Gawn Girl","Simon",1427,,"Game of Jones","Mark",1797,-370,0,0,1,3,20,5,0,3,12891,13014,99.05,3.61,0.66455,0.31581,0.14902,0.04145
2016,8,2,,"Game of Jones","Mark",1797,,"Gawn Girl","Simon",1427,370,1,0,0,4,16,4,0,4,13271,12950,102.48,4.36,0.52225,0.2721,0.143,0.08249
2016,8,3,,"Steele Rebuilding","Lester",1699,,"Brave Hartung","Luke",1579,120,1,0,0,5,16,4,0,4,12896,13014,99.09,4.57,0.48149,0.23672,0.11534,0.09639
2016,8,4,,"Bontback Mountain","Anthony",1546,,"Such is Fyfe","Paul",1807,-261,0,0,1,6,16,4,0,4,13208,13338,99.03,4.38,0.51852,0.26866,0.13978,0.0827
2016,8,1,,"We're Not Gwilty","James",1663,,"Cotch Me If Ya Can","Jordan",1525,138,1,0,0,7,12,3,0,5,12942,12814,101,5.47,0.30853,0.15517,0.07877,0.18755
2016,8,1,,"Cotch Me If Ya Can","Jordan",1525,,"We're Not Gwilty","James",1663,-138,0,0,1,8,8,2,0,6,12223,13297,91.92,6.64,0.12788,0.05835,0.02707,0.43936
2016,9,3,,"Gawn Girl","Simon",1647,,"Brave Hartung","Luke",1456,191,1,0,0,1,24,6,0,3,14538,14470,100.47,3.09,0.75923,0.36297,0.16958,0.02496
2016,9,2,,"Game of Jones","Mark",1739,,"We're Not Gwilty","James",1489,250,1,0,0,2,20,5,0,4,15010,14439,103.95,3.78,0.63411,0.3367,0.17981,0.04887
2016,9,4,,"Such is Fyfe","Paul",1628,,"Steele Rebuilding","Lester",1835,-207,0,0,1,3,20,5,0,4,14749,14366,102.67,3.93,0.60856,0.30833,0.15528,0.0563
2016,9,3,,"Brave Hartung","Luke",1456,,"Gawn Girl","Simon",1647,-191,0,0,1,4,20,5,0,4,14598,14383,101.49,4.02,0.59092,0.289,0.14213,0.06158
2016,9,4,,"Steele Rebuilding","Lester",1835,,"Such is Fyfe","Paul",1628,207,1,0,0,5,20,5,0,4,14731,14642,100.61,3.94,0.60755,0.30417,0.15294,0.057
