SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS,SC COACH
2017,6,Show Me The Mundy,S.Ross,STK,MID,111,105,PMAC
2017,6,Show Me The Mundy,J.Jenkins,ADE,FWD,49,55,PMAC
2017,6,Show Me The Mundy,A.Gaff,WCE,MID,87,98,PMAC
2017,6,Show Me The Mundy,L.Hodge,HAW,BEN,102,97,PMAC
2017,6,Show Me The Mundy,J.Lewis,MEL,BEN,101,88,PMAC
2017,6,Show Me The Mundy,J.Waite,NTH,BEN,88,0,PMAC
2017,6,Show Me The Mundy,D.Lang,GEE,BEN,55,71,PMAC
2017,7,Show Me The Mundy,L.Hodge,HAW,DEF,105,92,PMAC
2017,7,Show Me The Mundy,J.Macrae,WBD,FWD,107,117,PMAC
2017,7,Show Me The Mundy,J.Lewis,MEL,MID,101,98,PMAC
2017,7,Show Me The Mundy,N.Hrovat,NTH,FWD,83,75,PMAC
2017,7,Show Me The Mundy,J.Waite,NTH,FWD,117,190,PMAC
2017,7,Show Me The Mundy,S.Docherty,CAR,DEF,109,103,PMAC
2017,7,Show Me The Mundy,Z.Jones,SYD,DEF,93,143,PMAC
2017,7,Show Me The Mundy,J.P.Kennedy,SYD,MID,96,77,PMAC
2017,7,Show Me The Mundy,M.Duncan,GEE,MID,103,84,PMAC
2017,7,Show Me The Mundy,D.Shiel,GWS,MID,98,96,PMAC
2017,7,Show Me The Mundy,J.Pittard,PTA,DEF,77,74,PMAC
2017,7,Show Me The Mundy,P.Ryder,PTA,FWD,104,139,PMAC
2017,7,Show Me The Mundy,J.Harbrow,GCS,DEF,102,100,PMAC
2017,7,Show Me The Mundy,D.Mundy,FRE,MID,96,85,PMAC
2017,7,Show Me The Mundy,A.Sandilands,FRE,RUC,88,77,PMAC
2017,7,Show Me The Mundy,S.Ross,STK,MID,111,111,PMAC
2017,7,Show Me The Mundy,J.Steele,STK,FWD,93,79,PMAC
2017,7,Show Me The Mundy,A.Gaff,WCE,MID,83,70,PMAC
2017,7,Show Me The Mundy,J.Crisp,COL,BEN,74,40,PMAC
2017,7,Show Me The Mundy,T.Greene,GWS,BEN,94,0,PMAC
2017,7,Show Me The Mundy,M.Barlow,GCS,BEN,88,91,PMAC
2017,7,Show Me The Mundy,J.Jenkins,ADE,BEN,50,58,PMAC
2017,8,Show Me The Mundy,L.Hodge,HAW,DEF,113,110,PMAC
2017,8,Show Me The Mundy,J.Macrae,WBD,FWD,106,105,PMAC
2017,8,Show Me The Mundy,J.Lewis,MEL,MID,98,85,PMAC
2017,8,Show Me The Mundy,M.Wood,NTH,FWD,59,36,PMAC
2017,8,Show Me The Mundy,S.Docherty,CAR,DEF,113,132,PMAC
2017,8,Show Me The Mundy,Z.Jones,SYD,DEF,87,63,PMAC
2017,8,Show Me The Mundy,J.P.Kennedy,SYD,MID,101,136,PMAC
2017,8,Show Me The Mundy,M.Duncan,GEE,MID,94,70,PMAC
2017,8,Show Me The Mundy,D.Shiel,GWS,MID,98,83,PMAC
2017,8,Show Me The Mundy,J.Pittard,PTA,DEF,85,102,PMAC
2017,8,Show Me The Mundy,P.Ryder,PTA,FWD,113,115,PMAC
2017,8,Show Me The Mundy,J.Harbrow,GCS,DEF,104,105,PMAC
2017,8,Show Me The Mundy,D.Mundy,FRE,MID,89,104,PMAC
2017,8,Show Me The Mundy,A.Sandilands,FRE,RUC,88,104,PMAC
2017,8,Show Me The Mundy,S.Edwards,RIC,FWD,90,81,PMAC
2017,8,Show Me The Mundy,S.Ross,STK,MID,118,129,PMAC
2017,8,Show Me The Mundy,J.Steele,STK,FWD,98,114,PMAC
2017,8,Show Me The Mundy,A.Gaff,WCE,MID,83,121,PMAC
2017,8,Show Me The Mundy,J.Waite,NTH,BEN,117,0,PMAC
2017,8,Show Me The Mundy,T.Greene,GWS,BEN,94,0,PMAC
2017,8,Show Me The Mundy,M.Barlow,GCS,BEN,84,83,PMAC
2017,8,Show Me The Mundy,A.McGrath,ESS,BEN,79,66,PMAC
2017,9,Show Me The Mundy,L.Hodge,HAW,DEF,105,81,PMAC
2017,9,Show Me The Mundy,J.Macrae,WBD,FWD,102,84,PMAC
2017,9,Show Me The Mundy,J.Lewis,MEL,MID,97,98,PMAC
2017,9,Show Me The Mundy,J.Waite,NTH,FWD,114,31,PMAC
2017,9,Show Me The Mundy,S.Docherty,CAR,DEF,112,101,PMAC
2017,9,Show Me The Mundy,Z.Jones,SYD,DEF,84,49,PMAC
2017,9,Show Me The Mundy,J.P.Kennedy,SYD,MID,99,102,PMAC
2017,9,Show Me The Mundy,M.Duncan,GEE,MID,95,130,PMAC
2017,9,Show Me The Mundy,T.Greene,GWS,FWD,82,70,PMAC
2017,9,Show Me The Mundy,D.Shiel,GWS,MID,90,75,PMAC
2017,9,Show Me The Mundy,A.McGrath,ESS,DEF,79,59,PMAC
2017,9,Show Me The Mundy,D.Mundy,FRE,MID,90,128,PMAC
2017,9,Show Me The Mundy,A.Sandilands,FRE,RUC,90,102,PMAC
2017,9,Show Me The Mundy,S.Edwards,RIC,FWD,85,66,PMAC
2017,9,Show Me The Mundy,S.Ross,STK,MID,120,112,PMAC
2017,9,Show Me The Mundy,J.Steele,STK,FWD,97,87,PMAC
2017,9,Show Me The Mundy,J.Lever,ADE,DEF,78,65,PMAC
2017,9,Show Me The Mundy,A.Gaff,WCE,MID,85,90,PMAC
2017,9,Show Me The Mundy,J.Pittard,PTA,BEN,85,0,PMAC
2017,9,Show Me The Mundy,P.Ryder,PTA,BEN,113,0,PMAC
2017,9,Show Me The Mundy,J.Harbrow,GCS,BEN,104,0,PMAC
2017,9,Show Me The Mundy,M.Barlow,GCS,BEN,84,0,PMAC
2017,10,Show Me The Mundy,L.Hodge,HAW,DEF,114,107,PMAC
2017,10,Show Me The Mundy,J.Macrae,WBD,FWD,95,85,PMAC
2017,10,Show Me The Mundy,A.Neal-Bullen,MEL,FWD,92,96,PMAC
2017,10,Show Me The Mundy,J.Lewis,MEL,MID,100,92,PMAC
2017,10,Show Me The Mundy,J.Waite,NTH,FWD,115,63,PMAC
2017,10,Show Me The Mundy,S.Docherty,CAR,DEF,118,124,PMAC
2017,10,Show Me The Mundy,Z.Jones,SYD,DEF,81,103,PMAC
2017,10,Show Me The Mundy,J.P.Kennedy,SYD,MID,105,118,PMAC
2017,10,Show Me The Mundy,M.Duncan,GEE,MID,93,99,PMAC
2017,10,Show Me The Mundy,D.Shiel,GWS,MID,95,98,PMAC
2017,10,Show Me The Mundy,T.Greene,GWS,FWD,85,112,PMAC
2017,10,Show Me The Mundy,J.Pittard,PTA,DEF,81,71,PMAC
2017,10,Show Me The Mundy,P.Ryder,PTA,RUC,110,69,PMAC
2017,10,Show Me The Mundy,J.Harbrow,GCS,DEF,100,77,PMAC
2017,10,Show Me The Mundy,D.Mundy,FRE,MID,79,38,PMAC
2017,10,Show Me The Mundy,S.Ross,STK,MID,114,94,PMAC
2017,10,Show Me The Mundy,J.Steele,STK,FWD,98,86,PMAC
2017,10,Show Me The Mundy,A.Gaff,WCE,MID,90,107,PMAC
2017,10,Show Me The Mundy,J.Harmes,MEL,BEN,93,90,PMAC
2017,10,Show Me The Mundy,M.Barlow,GCS,BEN,94,74,PMAC
2017,10,Show Me The Mundy,D.Swallow,GCS,BEN,74,69,PMAC
2017,10,Show Me The Mundy,A.Sandilands,FRE,BEN,90,0,PMAC
2017,11,Show Me The Mundy,L.Hodge,HAW,DEF,113,92,PMAC
2017,11,Show Me The Mundy,J.Macrae,WBD,FWD,95,0,PMAC
2017,11,Show Me The Mundy,J.Waite,NTH,FWD,110,54,PMAC
2017,11,Show Me The Mundy,S.Docherty,CAR,DEF,118,0,PMAC
2017,11,Show Me The Mundy,Z.Jones,SYD,DEF,81,0,PMAC
2017,11,Show Me The Mundy,J.P.Kennedy,SYD,MID,105,0,PMAC
2017,11,Show Me The Mundy,M.Duncan,GEE,MID,89,90,PMAC
2017,11,Show Me The Mundy,D.Shiel,GWS,MID,95,105,PMAC
2017,11,Show Me The Mundy,T.Greene,GWS,FWD,87,95,PMAC
2017,11,Show Me The Mundy,J.Pittard,PTA,DEF,78,58,PMAC
2017,11,Show Me The Mundy,P.Ryder,PTA,FWD,110,81,PMAC
2017,11,Show Me The Mundy,J.Polec,PTA,MID,96,94,PMAC
2017,11,Show Me The Mundy,M.Barlow,GCS,MID,85,72,PMAC
2017,11,Show Me The Mundy,J.Harbrow,GCS,DEF,103,81,PMAC
2017,11,Show Me The Mundy,A.Sandilands,FRE,RUC,90,0,PMAC
2017,11,Show Me The Mundy,D.Mundy,FRE,MID,83,83,PMAC
2017,11,Show Me The Mundy,J.Steele,STK,FWD,98,0,PMAC
2017,11,Show Me The Mundy,A.Gaff,WCE,MID,86,75,PMAC
2017,11,Show Me The Mundy,J.Harmes,MEL,BEN,93,0,PMAC
2017,11,Show Me The Mundy,J.Lewis,MEL,BEN,100,0,PMAC
2017,11,Show Me The Mundy,A.Neal-Bullen,MEL,BEN,92,0,PMAC
2017,11,Show Me The Mundy,S.Ross,STK,BEN,114,0,PMAC
2017,12,Show Me The Mundy,L.Hodge,HAW,DEF,113,0,PMAC
2017,12,Show Me The Mundy,J.Macrae,WBD,FWD,99,123,PMAC
2017,12,Show Me The Mundy,J.Lewis,MEL,MID,82,34,PMAC
2017,12,Show Me The Mundy,J.Harmes,MEL,DEF,80,64,PMAC
2017,12,Show Me The Mundy,A.Neal-Bullen,MEL,FWD,82,81,PMAC
2017,12,Show Me The Mundy,S.Docherty,CAR,DEF,117,144,PMAC
2017,12,Show Me The Mundy,Z.Jones,SYD,DEF,78,71,PMAC
2017,12,Show Me The Mundy,J.P.Kennedy,SYD,MID,107,101,PMAC
2017,12,Show Me The Mundy,D.Shiel,GWS,MID,101,122,PMAC
2017,12,Show Me The Mundy,T.Greene,GWS,FWD,85,103,PMAC
2017,12,Show Me The Mundy,J.Pittard,PTA,DEF,75,68,PMAC
2017,12,Show Me The Mundy,J.Polec,PTA,MID,95,72,PMAC
2017,12,Show Me The Mundy,P.Ryder,PTA,FWD,107,81,PMAC
2017,12,Show Me The Mundy,M.Barlow,GCS,MID,88,90,PMAC
2017,12,Show Me The Mundy,T.Bellchambers,ESS,RUC,78,73,PMAC
2017,12,Show Me The Mundy,D.Mundy,FRE,MID,86,100,PMAC
2017,12,Show Me The Mundy,S.Ross,STK,MID,113,101,PMAC
2017,12,Show Me The Mundy,J.Steele,STK,FWD,85,53,PMAC
2017,12,Show Me The Mundy,M.Duncan,GEE,BEN,89,0,PMAC
2017,12,Show Me The Mundy,Z.Smith,GEE,BEN,103,0,PMAC
2017,12,Show Me The Mundy,J.Harbrow,GCS,BEN,103,0,PMAC
2017,12,Show Me The Mundy,A.Gaff,WCE,BEN,86,0,PMAC
2017,13,Show Me The Mundy,L.Hodge,HAW,DEF,113,0,PMAC
2017,13,Show Me The Mundy,J.Macrae,WBD,FWD,90,70,PMAC
2017,13,Show Me The Mundy,J.Lewis,MEL,MID,78,79,PMAC
2017,13,Show Me The Mundy,J.Harmes,MEL,DEF,80,72,PMAC
2017,13,Show Me The Mundy,A.Neal-Bullen,MEL,FWD,75,55,PMAC
2017,13,Show Me The Mundy,S.Docherty,CAR,DEF,127,153,PMAC
2017,13,Show Me The Mundy,Z.Jones,SYD,DEF,67,80,PMAC
2017,13,Show Me The Mundy,J.P.Kennedy,SYD,MID,112,104,PMAC
2017,13,Show Me The Mundy,M.Duncan,GEE,MID,96,118,PMAC
2017,13,Show Me The Mundy,D.Menzel,GEE,FWD,60,72,PMAC
2017,13,Show Me The Mundy,Z.Smith,GEE,RUC,110,64,PMAC
2017,13,Show Me The Mundy,D.Shiel,GWS,MID,101,0,PMAC
2017,13,Show Me The Mundy,P.Ryder,PTA,FWD,102,119,PMAC
2017,13,Show Me The Mundy,J.Polec,PTA,MID,91,69,PMAC
2017,13,Show Me The Mundy,C.Hooker,ESS,DEF,93,0,PMAC
2017,13,Show Me The Mundy,S.Ross,STK,MID,115,120,PMAC
2017,13,Show Me The Mundy,J.Steele,STK,FWD,85,0,PMAC
2017,13,Show Me The Mundy,A.Gaff,WCE,MID,95,120,PMAC
2017,13,Show Me The Mundy,T.Greene,GWS,BEN,85,0,PMAC
2017,13,Show Me The Mundy,J.Pittard,PTA,BEN,75,0,PMAC
2017,13,Show Me The Mundy,J.Harbrow,GCS,BEN,103,0,PMAC
2017,13,Show Me The Mundy,D.Mundy,FRE,BEN,86,0,PMAC
2017,14,Show Me The Mundy,L.Hodge,HAW,DEF,106,62,PMAC
2017,14,Show Me The Mundy,J.Macrae,WBD,FWD,93,122,PMAC
2017,14,Show Me The Mundy,M.Daw,NTH,FWD,75,70,PMAC
2017,14,Show Me The Mundy,S.Docherty,CAR,DEF,125,120,PMAC
2017,14,Show Me The Mundy,J.P.Kennedy,SYD,MID,111,127,PMAC
2017,14,Show Me The Mundy,M.Duncan,GEE,MID,100,95,PMAC
2017,14,Show Me The Mundy,D.Shiel,GWS,MID,113,143,PMAC
2017,14,Show Me The Mundy,T.Greene,GWS,FWD,91,127,PMAC
2017,14,Show Me The Mundy,J.Pittard,PTA,DEF,75,76,PMAC
2017,14,Show Me The Mundy,P.Ryder,PTA,FWD,96,86,PMAC
2017,14,Show Me The Mundy,J.Harbrow,GCS,DEF,103,119,PMAC
2017,14,Show Me The Mundy,J.Watson,ESS,MID,93,65,PMAC
2017,14,Show Me The Mundy,T.Bellchambers,ESS,RUC,91,103,PMAC
2017,14,Show Me The Mundy,D.Mundy,FRE,MID,84,91,PMAC
2017,14,Show Me The Mundy,D.Astbury,RIC,DEF,82,70,PMAC
2017,14,Show Me The Mundy,S.Ross,STK,MID,107,88,PMAC
2017,14,Show Me The Mundy,R.Douglas,ADE,FWD,70,63,PMAC
2017,14,Show Me The Mundy,A.Gaff,WCE,MID,90,95,PMAC
2017,14,Show Me The Mundy,J.Lewis,MEL,BEN,77,80,PMAC
2017,14,Show Me The Mundy,Z.Jones,SYD,BEN,67,0,PMAC
2017,14,Show Me The Mundy,C.Hooker,ESS,BEN,93,0,PMAC
2017,14,Show Me The Mundy,J.Steele,STK,BEN,85,0,PMAC
2017,15,Show Me The Mundy,L.Hodge,HAW,DEF,98,76,PMAC
2017,15,Show Me The Mundy,J.Macrae,WBD,FWD,93,81,PMAC
2017,15,Show Me The Mundy,J.Elliott,COL,FWD,73,33,PMAC
2017,15,Show Me The Mundy,S.Docherty,CAR,DEF,129,122,PMAC
2017,15,Show Me The Mundy,Z.Jones,SYD,DEF,75,114,PMAC
2017,15,Show Me The Mundy,J.P.Kennedy,SYD,MID,111,102,PMAC
2017,15,Show Me The Mundy,M.Duncan,GEE,MID,94,96,PMAC
2017,15,Show Me The Mundy,D.Shiel,GWS,MID,117,90,PMAC
2017,15,Show Me The Mundy,J.Pittard,PTA,DEF,68,64,PMAC
2017,15,Show Me The Mundy,P.Ryder,PTA,FWD,108,127,PMAC
2017,15,Show Me The Mundy,J.Harbrow,GCS,DEF,104,102,PMAC
