feed_id,season,round,pts,median,player_id,first_name,last_name,team_abbrev,pos_1,pos_2,projected_points,points,avg,avg3,avg5,price,user_team_id,team,coach,picked,type,position,na_flg,na_streak,pts_adj,median_adj,median_fnl,n,scr,pos_scr,scr_pos,weight,scr_wgt,rank,x
293535,2022,2,198,107,74,Lachie,Neale,BRL,MID,,,198,169,169,169,543200,10883,Love is Hind,Lester,TRUE,scoring,MID,FALSE,4,198,98,107,1,1.006,0.541,MID,0.391,0.8241850000000001,36,PREMO
297401,2022,2,87,107,6,Matt,Crouch,ADE,MID,,,87,97,97,97,482000,10883,Love is Hind,Lester,TRUE,scoring,MID,FALSE,2,87,66.5,107,1,1.006,0.541,MID,0.391,0.8241850000000001,37,PREMO
293871,2022,2,121,103,141,Jack,Crisp,COL,DEF,MID,,121,95,95,95,571000,10834,Dunkley's Donuts,Mark,TRUE,scoring,DEF,FALSE,11,121,103,103,1,0.69,1.015,DEF,0.261,0.774825,38,PREMO
261510,2022,2,33,100,323,Tom,Hawkins,GEE,FWD,,,33,90.5,90.5,90.5,510900,11125,No Way Sloane,Simon,TRUE,scoring,FWD,FALSE,13,33,100,100,1,0.453,1.506,FWD,0.261,0.727833,39,PREMO
294036,2022,2,117,102,104,George,Hewett,CAR,DEF,MID,,117,124,124,124,399000,10882,Take Me To Parish,James,TRUE,scoring,DEF,FALSE,11,117,102,102,1,0.611,0.917,DEF,0.261,0.690866,40,PREMO
1001026,2022,2,102,102,209,Jordan,Ridley,ESS,DEF,,,102,85,85,85,537100,10836,Cumming for the DB,Anthony,TRUE,scoring,DEF,FALSE,12,102,102,102,1,0.611,0.917,DEF,0.261,0.690866,41,PREMO
297373,2022,2,105,105,693,Marcus,Bontempelli,WBD,MID,,,105,105,105,105,651700,10836,Cumming for the DB,Anthony,TRUE,scoring,MID,FALSE,12,105,105,105,1,0.848,0.388,MID,0.391,0.66814,42,PREMO
1004592,2022,2,99,99,704,Tim,English,WBD,RUC,FWD,,99,111,111,111,482600,10836,Cumming for the DB,Anthony,TRUE,scoring,RUC,FALSE,12,99,99,99,1,0.374,1.402,FWD,0.261,0.642308,43,PREMO
293716,2022,2,99,104,65,Jarryd,Lyons,BRL,MID,,,99,93,93,93,640100,10836,Cumming for the DB,Anthony,TRUE,scoring,MID,FALSE,12,99,104,104,1,0.769,0.311,MID,0.391,0.589922,44,PREMO
1006130,2022,2,,104,726,Bailey,Smith,WBD,MID,,,,139,139,139,472800,10834,Dunkley's Donuts,Mark,FALSE,nonscoring,MID,TRUE,1,75,104,104,1,0.769,0.311,MID,0.391,0.589922,45,PREMO
281065,2022,2,74,98,319,Mitch,Duncan,GEE,MID,FWD,,74,74,74,74,540000,63015,Wolf of Walsh St,Jordan,TRUE,scoring,FWD,FALSE,1,74,73,98,1,0.295,1.298,FWD,0.261,0.556783,46,PREMO
290629,2022,2,72,100,189,Dyson,Heppell,ESS,DEF,,,72,57,57,57,541000,10834,Dunkley's Donuts,Mark,TRUE,scoring,DEF,FALSE,4,72,96,100,1,0.453,0.721,DEF,0.261,0.522948,47,PREMO
295136,2022,2,66,100,700,Caleb,Daniel,WBD,DEF,,,66,84.5,84.5,84.5,510900,14003,Bring Me To Fyfe,Luke,TRUE,scoring,DEF,FALSE,12,66,100,100,1,0.453,0.721,DEF,0.261,0.522948,48,PREMO
990840,2022,2,68,97.5,780,Jack,Hayes,STK,FWD,RUC,,68,97.5,97.5,97.5,102400,63015,Wolf of Walsh St,Jordan,TRUE,scoring,FWD,FALSE,2,68,97.5,97.5,1,0.255,1.246,FWD,0.261,0.513651,49,PREMO
291776,2022,2,59,103,133,Taylor,Adams,COL,MID,,,59,79.5,79.5,79.5,516700,14003,Bring Me To Fyfe,Luke,TRUE,scoring,MID,FALSE,11,59,103,103,1,0.69,0.234,MID,0.391,0.5117039999999999,50,PREMO
993834,2022,2,97,97,702,Josh,Dunkley,WBD,MID,FWD,,97,107,107,107,558200,10834,Dunkley's Donuts,Mark,TRUE,scoring,FWD,FALSE,6,97,71,97,1,0.216,1.194,FWD,0.261,0.471258,51,PREMO
281091,2022,2,113,102,495,Hugh,Greenwood,NTH,MID,,,113,97.5,97.5,97.5,507300,10834,Dunkley's Donuts,Mark,TRUE,scoring,MID,FALSE,2,113,74.5,102,1,0.611,0.158,MID,0.391,0.43387699999999996,52,PREMO
290528,2022,2,88,100,447,Max,Gawn,MEL,RUC,,,88,90,90,90,657400,14003,Bring Me To Fyfe,Luke,TRUE,scoring,RUC,FALSE,11,88,100,100,1,0.453,-0.05,RUC,0.087,0.409239,53,PREMO
294266,2022,2,73,100,662,Tom,Hickey,SYD,RUC,,,73,86.5,86.5,86.5,562000,11125,No Way Sloane,Simon,TRUE,scoring,RUC,FALSE,11,73,100,100,1,0.453,-0.05,RUC,0.087,0.409239,54,PREMO
992468,2022,2,67,100,633,Rowan,Marshall,STK,RUC,,,67,95.5,95.5,95.5,536800,11125,No Way Sloane,Simon,TRUE,scoring,RUC,FALSE,6,67,100,100,1,0.453,-0.05,RUC,0.087,0.409239,55,PREMO
994389,2022,2,114,98,642,Jack,Sinclair,STK,DEF,,,114,107,107,107,469700,14003,Bring Me To Fyfe,Luke,TRUE,scoring,DEF,FALSE,5,114,97,98,1,0.295,0.525,DEF,0.261,0.35502999999999996,56,PREMO
996708,2022,2,86,98,699,Bailey,Dale,WBD,DEF,,,86,101,101,101,518300,10883,Love is Hind,Lester,TRUE,scoring,DEF,FALSE,12,86,98,98,1,0.295,0.525,DEF,0.261,0.35502999999999996,57,PREMO
298539,2022,2,140,95,661,Isaac,Heeney,SYD,FWD,,,140,140.5,140.5,140.5,454500,10834,Dunkley's Donuts,Mark,TRUE,scoring,FWD,FALSE,11,140,95,95,1,0.058,0.985,FWD,0.261,0.299947,58,PREMO
1005729,2022,2,50,95,514,Tarryn,Thomas,NTH,MID,FWD,,50,49,49,49,459300,11125,No Way Sloane,Simon,TRUE,scoring,FWD,FALSE,5,50,84,95,1,0.058,0.985,FWD,0.261,0.299947,59,PREMO
1001398,2022,2,107,100,108,Matthew,Kennedy,CAR,MID,,,107,118.5,118.5,118.5,440900,10883,Love is Hind,Lester,FALSE,nonscoring,MID,FALSE,12,107,100,100,1,0.453,0.005,MID,0.391,0.27783199999999997,60,PREMO
1012013,2022,2,,114,779,Nic,Martin,ESS,FWD,,,,114,114,114,102400,,,,,,,TRUE,1,75,94.5,94.5,1,0.018,0.933,FWD,0.261,0.256815,61,SC RELEVANT
261323,2022,2,94,94,417,Ben,McEvoy,HAW,RUC,FWD,,94,94,94,94,483700,10834,Dunkley's Donuts,Mark,TRUE,scoring,FWD,FALSE,1,94,90,94,1,-0.021,0.881,FWD,0.261,0.214422,62,SC RELEVANT
998172,2022,2,88,94,390,Tim,Taranto,GWS,MID,FWD,,88,103.5,103.5,103.5,529700,10883,Love is Hind,Lester,TRUE,scoring,FWD,FALSE,13,88,94,94,1,-0.021,0.881,FWD,0.261,0.214422,63,SC RELEVANT
1006121,2022,2,136,94,529,Zak,Butters,PTA,FWD,,,136,125,125,125,443600,11125,No Way Sloane,Simon,TRUE,scoring,FWD,FALSE,7,136,75,94,1,-0.021,0.881,FWD,0.261,0.214422,64,SC RELEVANT
294877,2022,2,73,99,341,Isaac,Smith,GEE,MID,,,73,65,65,65,486500,,,,,,,FALSE,4,73,99,99,1,0.374,-0.072,MID,0.391,0.19961399999999999,65,SC RELEVANT
993998,2022,2,79,99,510,Jy,Simpkin,NTH,MID,,,79,95.5,95.5,95.5,529000,63015,Wolf of Walsh St,Jordan,TRUE,scoring,MID,FALSE,13,79,99,99,1,0.374,-0.072,MID,0.391,0.19961399999999999,66,SC RELEVANT
1002267,2022,2,27,99,490,Luke,Davies-Uniacke,NTH,MID,,,27,76,76,76,462100,10882,Take Me To Parish,James,TRUE,scoring,MID,FALSE,13,27,99,99,1,0.374,-0.072,MID,0.391,0.19961399999999999,67,SC RELEVANT
295518,2022,2,100,96,99,Sam,Docherty,CAR,DEF,,,100,122,122,122,533000,5535,We're the Millers,Paul,TRUE,scoring,DEF,FALSE,2,100,73.5,96,1,0.137,0.328,DEF,0.261,0.186851,68,SC RELEVANT
993832,2022,2,82,96,129,Jacob,Weitering,CAR,DEF,,,82,72,72,72,512200,10834,Dunkley's Donuts,Mark,TRUE,scoring,DEF,FALSE,12,82,96,96,1,0.137,0.328,DEF,0.261,0.186851,69,SC RELEVANT
996059,2022,2,72,96,47,Harris,Andrews,BRL,DEF,,,72,70,70,70,517900,10883,Love is Hind,Lester,TRUE,scoring,DEF,FALSE,2,72,96,96,1,0.137,0.328,DEF,0.261,0.186851,70,SC RELEVANT
291962,2022,2,40,93,435,Chad,Wingard,HAW,FWD,MID,,40,49,49,49,501500,63015,Wolf of Walsh St,Jordan,TRUE,scoring,FWD,FALSE,7,40,75,93,1,-0.101,0.777,FWD,0.261,0.128158,71,SC RELEVANT
1005247,2022,2,108,95,391,Sam,Taylor,GWS,DEF,,,108,81,81,81,475800,,,,,,,FALSE,9,108,95,95,1,0.058,0.23,DEF,0.261,0.10289200000000001,72,SC RELEVANT
