"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","played","avg","avg3","avg5","price","season"
270938,22,"Tom","Lynch","ADE","FWD",,1,89,113,1,113,113,113,459900,"2020"
290838,783,"Jack","Darling","WCE","FWD",,1,57,68,1,68,68,68,458900,"2020"
294101,747,"Jason","Johannisen","WBD","DEF",,1,72,61,1,61,61,61,458100,"2020"
260930,609,"Shane","Edwards","RIC","DEF","MID",1,89,86,1,86,86,86,458000,"2020"
271045,797,"Nic","Naitanui","WCE","RUC",,1,94,100,1,100,100,100,457800,"2020"
295584,657,"Bradley","Hill","STK","MID",,1,79,58,1,58,58,58,457400,"2020"
280858,678,"Shane","Savage","STK","DEF",,1,83,,0,0,0,0,456900,"2020"
298421,655,"Jade","Gresham","STK","FWD","MID",1,86,27,1,27,27,27,456400,"2020"
281080,808,"Brad","Sheppard","WCE","DEF",,1,80,94,1,94,94,94,455700,"2020"
290671,306,"Anthony","Miles","GCS","MID",,1,82,,0,0,0,0,455200,"2020"
296035,516,"Trent","Dumont","NTH","MID",,1,90,80,1,80,80,80,455100,"2020"
291545,767,"Mitch","Wallis","WBD","FWD","MID",1,74,59,1,59,59,59,454500,"2020"
270732,763,"Matthew","Suckling","WBD","DEF",,1,85,67,1,67,67,67,454000,"2020"
261396,570,"Robbie","Gray","PTA","FWD","MID",1,92,104,1,104,104,104,453000,"2020"
298279,464,"Angus","Brayshaw","MEL","MID",,1,86,71,1,71,71,71,452400,"2020"
294877,456,"Isaac","Smith","HAW","MID",,1,81,119,1,119,119,119,450700,"2020"
996487,166,"Tom","Phillips","COL","MID",,1,83,64,1,64,64,64,450500,"2020"
996059,47,"Harris","Andrews","BRL","DEF",,1,98,103,1,103,103,103,449300,"2020"
296733,328,"Mark","Blicavs","GEE","DEF",,1,83,86,1,86,86,86,449200,"2020"
250267,677,"Paddy","Ryder","STK","RUC","FWD",1,84,79,1,79,79,79,449100,"2020"
240700,406,"Heath","Shaw","GWS","DEF",,1,78,62,1,62,62,62,448700,"2020"
1004592,740,"Tim","English","WBD","RUC",,1,77,63,1,63,63,63,448400,"2020"
270325,537,"Robbie","Tarrant","NTH","DEF",,1,83,66,1,66,66,66,447800,"2020"
290799,751,"Tom","Liberatore","WBD","MID",,1,91,,0,0,0,0,447500,"2020"
298111,384,"Jeremy","Finlayson","GWS","FWD",,1,82,62,1,62,62,62,446400,"2020"
993905,709,"Callum","Mills","SYD","DEF",,1,86,85,1,85,85,85,444100,"2020"
996464,304,"Darcy","MacPherson","GCS","FWD","MID",1,78,56,1,56,56,56,443800,"2020"
295461,218,"Adam","Saad","ESS","DEF",,1,99,110,1,110,110,110,443500,"2020"
994539,121,"Sam","Petrevski-Seton","CAR","DEF","MID",1,73,113,1,113,113,113,443300,"2020"
280762,401,"Shane","Mumford","GWS","RUC",,1,79,,0,0,0,0,443200,"2020"
290194,526,"Jamie","Macmillan","NTH","DEF",,1,88,80,1,80,80,80,443200,"2020"
230202,131,"Kade","Simpson","CAR","DEF",,1,88,82,1,82,82,82,442600,"2020"
271001,138,"Dayne","Beams","COL","MID",,1,72,,0,0,0,0,441700,"2020"
294199,351,"Sam","Menegola","GEE","MID",,1,84,35,1,35,35,35,441700,"2020"
1003130,752,"Patrick","Lipinski","WBD","FWD","MID",1,75,,0,0,0,0,441500,"2020"
298210,491,"Christian","Petracca","MEL","FWD",,1,72,105,1,105,105,105,441300,"2020"
291902,501,"Jack","Viney","MEL","MID",,1,76,186,1,186,186,186,439300,"2020"
270588,199,"Cale","Hooker","ESS","DEF",,1,75,,0,0,0,0,438300,"2020"
294596,671,"Tim","Membrey","STK","FWD",,1,75,35,1,35,35,35,436400,"2020"
1002240,175,"Jaidyn","Stephenson","COL","FWD",,1,78,,0,0,0,0,436200,"2020"
291978,689,"Harry","Cunningham","SYD","DEF",,1,92,56,1,56,56,56,436200,"2020"
295518,99,"Sam","Docherty","CAR","DEF",,1,80,117,1,117,117,117,436100,"2020"
998129,278,"Will","Brodie","GCS","MID",,1,91,36,1,36,36,36,435800,"2020"
260750,591,"Justin","Westhoff","PTA","FWD","MID",1,82,57,1,57,57,57,435500,"2020"
1002583,635,"Sydney","Stack","RIC","DEF",,1,70,55,1,55,55,55,435100,"2020"
261892,572,"Hamish","Hartlett","PTA","DEF",,1,78,68,1,68,68,68,434900,"2020"
992010,159,"Brayden","Maynard","COL","DEF",,1,74,104,1,104,104,104,433900,"2020"
997846,208,"Conor","McKenna","ESS","DEF",,1,77,,0,0,0,0,433600,"2020"
291351,426,"Jack","Gunston","HAW","FWD",,1,77,73,1,73,73,73,433600,"2020"
990609,54,"Charlie","Cameron","BRL","FWD",,1,78,75,1,75,75,75,433200,"2020"
270935,200,"Michael","Hurley","ESS","DEF",,1,82,63,1,63,63,63,432900,"2020"
291867,509,"Ben","Brown","NTH","FWD",,1,71,81,1,81,81,81,432000,"2020"
290156,533,"Jasper","Pittard","NTH","DEF",,1,83,52,1,52,52,52,432000,"2020"
291313,153,"Jeremy","Howe","COL","DEF",,1,65,156,1,156,156,156,431900,"2020"
280804,382,"Phil","Davis","GWS","DEF",,1,85,22,1,22,22,22,431600,"2020"
270896,606,"Trent","Cotchin","RIC","MID",,1,81,94,1,94,94,94,429500,"2020"
993794,428,"Blake","Hardwick","HAW","DEF",,1,75,,0,0,0,0,429000,"2020"
270951,225,"David","Zaharakis","ESS","MID",,1,87,47,1,47,47,47,428700,"2020"
298419,356,"Brandan","Parfitt","GEE","FWD","MID",1,79,,0,0,0,0,427400,"2020"
293854,266,"Matt","Taberner","FRE","FWD",,1,73,41,1,41,41,41,426600,"2020"
290188,716,"Sam","Reid","SYD","FWD",,1,80,,0,0,0,0,426000,"2020"
294266,788,"Tom","Hickey","WCE","RUC",,1,70,26,1,26,26,26,425700,"2020"
996765,713,"Tom","Papley","SYD","FWD",,1,66,85,1,85,85,85,425500,"2020"
990290,777,"Tom","Barrass","WCE","DEF",,1,79,92,1,92,92,92,424500,"2020"
1001299,588,"Connor","Rozee","PTA","FWD",,1,88,125,1,125,125,125,422100,"2020"
294469,683,"Aliir","Aliir","SYD","DEF",,1,84,71,1,71,71,71,421100,"2020"
296190,112,"Jack","Martin","CAR","FWD","MID",1,69,107,1,107,107,107,420800,"2020"
994389,679,"Jack","Sinclair","STK","FWD","MID",1,74,,0,0,0,0,420400,"2020"
270512,294,"Pearce","Hanley","GCS","DEF",,1,75,,0,0,0,0,419800,"2020"
240254,295,"Jarrod","Harbrow","GCS","DEF",,1,90,,0,0,0,0,419400,"2020"
290073,753,"Sam","Lloyd","WBD","FWD",,1,75,48,1,48,48,48,419100,"2020"
990827,613,"Jack","Graham","RIC","MID",,1,102,40,1,40,40,40,418900,"2020"
297354,550,"Karl","Amon","PTA","MID",,1,76,92,1,92,92,92,418500,"2020"
280744,416,"Luke","Breust","HAW","FWD",,1,66,113,1,113,113,113,418100,"2020"
292145,575,"Tom","Jonas","PTA","DEF",,1,76,50,1,50,50,50,417500,"2020"
210012,417,"Shaun","Burgoyne","HAW","DEF",,1,83,126,1,126,126,126,417200,"2020"
291327,418,"Jonathon","Ceglar","HAW","RUC","FWD",1,75,101,1,101,101,101,417000,"2020"
290117,656,"Dan","Hannebery","STK","MID",,1,106,93,1,93,93,93,417000,"2020"
1006130,761,"Bailey","Smith","WBD","FWD","MID",1,65,106,1,106,106,106,415900,"2020"
261911,565,"Brad","Ebert","PTA","FWD",,1,76,104,1,104,104,104,415200,"2020"
290550,341,"Cameron","Guthrie","GEE","MID",,1,80,58,1,58,58,58,413900,"2020"
1001438,468,"Bayley","Fritsch","MEL","DEF","FWD",1,70,39,1,39,39,39,413900,"2020"
993107,391,"Harry","Himmelberg","GWS","FWD",,1,72,63,1,63,63,63,413700,"2020"
290826,782,"Jamie","Cripps","WCE","FWD",,1,85,69,1,69,69,69,413700,"2020"
290797,749,"Alex","Keath","WBD","DEF",,1,73,79,1,79,79,79,413000,"2020"
291962,459,"Chad","Wingard","HAW","FWD","MID",1,78,131,1,131,131,131,412300,"2020"
298450,231,"Connor","Blakely","FRE","DEF",,1,79,,0,0,0,0,411500,"2020"
290085,739,"Taylor","Duryea","WBD","DEF",,1,70,,0,0,0,0,411400,"2020"
998260,277,"Jack","Bowes","GCS","MID",,1,81,93,1,93,93,93,411300,"2020"
998529,634,"Ivan","Soldo","RIC","RUC",,1,76,100,1,100,100,100,411200,"2020"
998205,403,"Harry","Perryman","GWS","MID",,1,76,132,1,132,132,132,410500,"2020"
294472,1,"Rory","Atkins","ADE","MID",,1,75,87,1,87,87,87,410000,"2020"
294092,206,"Anthony","McDonald-Tipungwuti","ESS","FWD",,1,82,67,1,67,67,67,409500,"2020"
271015,383,"Matt","de Boer","GWS","MID",,1,70,68,1,68,68,68,408000,"2020"
290623,601,"Josh","Caddy","RIC","FWD","MID",1,76,84,1,84,84,84,407300,"2020"
293651,734,"Hayden","Crozier","WBD","DEF",,1,59,115,1,115,115,115,406800,"2020"
280416,160,"Chris","Mayne","COL","MID",,1,67,107,1,107,107,107,406700,"2020"
297473,19,"Jake","Kelly","ADE","DEF",,1,66,51,1,51,51,51,406300,"2020"
298288,162,"Darcy","Moore","COL","DEF",,1,81,55,1,55,55,55,405800,"2020"
295444,156,"Tom","Langdon","COL","DEF",,1,77,,0,0,0,0,405500,"2020"
298174,625,"Toby","Nankervis","RIC","RUC",,1,79,27,1,27,27,27,404300,"2020"
1000223,597,"Liam","Baker","RIC","DEF","FWD",1,77,91,1,91,91,91,403900,"2020"
290787,507,"Shaun","Atley","NTH","DEF",,1,74,67,1,67,67,67,403700,"2020"
281124,92,"Levi","Casboult","CAR","DEF","FWD",1,75,104,1,104,104,104,403500,"2020"
993979,586,"Sam","Powell-Pepper","PTA","FWD","MID",1,81,105,1,105,105,105,403300,"2020"
294068,215,"Andrew","Phillips","ESS","RUC",,1,92,,0,0,0,0,403100,"2020"
998145,240,"Sean","Darcy","FRE","RUC",,1,85,54,1,54,54,54,402800,"2020"
990882,28,"Wayne","Milera","ADE","DEF","MID",1,64,96,1,96,96,96,402500,"2020"
296254,432,"Jarman","Impey","HAW","DEF",,1,76,,0,0,0,0,402500,"2020"
1002264,649,"Hunter","Clark","STK","DEF",,1,63,84,1,84,84,84,402200,"2020"
992128,556,"Ryan","Burton","PTA","DEF",,1,73,101,1,101,101,101,401800,"2020"
294504,560,"Tom","Clurey","PTA","DEF",,1,75,61,1,61,61,61,401800,"2020"
1006096,564,"Xavier","Duursma","PTA","MID",,1,69,79,1,79,79,79,401600,"2020"
293987,577,"Jarrod","Lienert","PTA","DEF",,1,79,38,1,38,38,38,401500,"2020"
298630,203,"Kyle","Langford","ESS","FWD","MID",1,77,88,1,88,88,88,399900,"2020"
992462,431,"Daniel","Howe","HAW","DEF","MID",1,75,,0,0,0,0,399600,"2020"
280819,614,"Dylan","Grimes","RIC","DEF",,1,64,50,1,50,50,50,399500,"2020"
998102,207,"Andrew","McGrath","ESS","MID",,1,65,113,1,113,113,113,399400,"2020"
993816,268,"Darcy","Tucker","FRE","FWD","MID",1,73,76,1,76,76,76,398400,"2020"
250222,477,"Nathan","Jones","MEL","DEF","MID",1,75,,0,0,0,0,397900,"2020"
999824,353,"Quinton","Narkle","GEE","MID",,1,104,82,1,82,82,82,396600,"2020"
294737,721,"Callum","Sinclair","SYD","RUC",,1,67,,0,0,0,0,396400,"2020"
240399,694,"Lance","Franklin","SYD","FWD",,1,74,,0,0,0,0,394200,"2020"
998128,88,"Alex","Witherden","BRL","DEF",,1,58,41,1,41,41,41,392800,"2020"
294624,125,"Lachie","Plowman","CAR","DEF",,1,83,36,1,36,36,36,392800,"2020"
294733,34,"Paul","Seedsman","ADE","MID",,1,69,58,1,58,58,58,392700,"2020"
1000972,563,"Willem","Drew","PTA","MID",,1,72,,0,0,0,0,392600,"2020"
1002242,333,"Charlie","Constable","GEE","MID",,1,74,,0,0,0,0,391000,"2020"
291819,499,"Adam","Tomlinson","MEL","MID",,1,82,51,1,51,51,51,390200,"2020"
998134,641,"Josh","Battle","STK","DEF",,1,53,,0,0,0,0,390100,"2020"
291849,161,"Brody","Mihocek","COL","FWD",,1,66,127,1,127,127,127,390000,"2020"
296041,445,"Tim","O'Brien","HAW","DEF","FWD",1,64,60,1,60,60,60,389300,"2020"
293813,618,"Tom J.","Lynch","RIC","FWD",,1,69,55,1,55,55,55,388800,"2020"
996708,735,"Bailey","Dale","WBD","FWD",,1,68,16,1,16,16,16,388000,"2020"
297438,193,"Martin","Gleeson","ESS","DEF",,1,81,,0,0,0,0,387400,"2020"
291533,486,"Tom","McDonald","MEL","FWD",,1,66,40,1,40,40,40,387000,"2020"
290722,696,"Sam","Gray","SYD","FWD",,1,71,73,1,73,73,73,386600,"2020"
291773,117,"Jack","Newnes","CAR","MID",,1,59,67,1,67,67,67,386400,"2020"
292511,370,"Zach","Tuohy","GEE","DEF",,1,65,64,1,64,64,64,386300,"2020"
293884,223,"Jake","Stringer","ESS","FWD",,1,86,74,1,74,74,74,384600,"2020"
296294,227,"Blake","Acres","FRE","FWD","MID",1,60,,0,0,0,0,384400,"2020"
261497,369,"Harry","Taylor","GEE","DEF",,1,68,85,1,85,85,85,384300,"2020"
298281,482,"Jake","Lever","MEL","DEF",,1,71,53,1,53,53,53,384200,"2020"
281085,484,"Steven","May","MEL","DEF",,1,61,69,1,69,69,69,384200,"2020"
296422,682,"Callum","Wilkie","STK","DEF",,1,71,79,1,79,79,79,383800,"2020"
993832,134,"Jacob","Weitering","CAR","DEF",,1,71,102,1,102,102,102,383700,"2020"
996692,473,"Marty","Hore","MEL","DEF",,1,72,,0,0,0,0,383600,"2020"
993998,536,"Jy","Simpkin","NTH","FWD","MID",1,67,131,1,131,131,131,383000,"2020"
1002232,232,"Andrew","Brayshaw","FRE","FWD","MID",1,66,66,1,66,66,66,382800,"2020"
281281,792,"Lewis","Jetta","WCE","DEF",,1,73,104,1,104,104,104,382600,"2020"
291720,152,"Will","Hoskin-Elliott","COL","FWD",,1,84,96,1,96,96,96,382000,"2020"
293801,149,"Jamie","Elliott","COL","FWD",,1,70,70,1,70,70,70,380500,"2020"
996483,756,"Toby","McLean","WBD","FWD",,1,76,,0,0,0,0,380100,"2020"
997078,216,"Mason","Redman","ESS","DEF",,1,69,79,1,79,79,79,379800,"2020"
993993,599,"Shai","Bolton","RIC","FWD",,1,59,102,1,102,102,102,379100,"2020"
280934,40,"Daniel","Talia","ADE","DEF",,1,63,79,1,79,79,79,377700,"2020"
1000959,419,"James","Cousins","HAW","MID",,1,63,,0,0,0,0,376500,"2020"
993480,659,"Dougal","Howard","STK","DEF","FWD",1,73,70,1,70,70,70,376500,"2020"
261374,404,"Sam J.","Reid","GWS","DEF",,1,66,,0,0,0,0,375700,"2020"
