SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2018,7,Danger Things,J.Viney,MEL,BEN,73,0
2018,8,Danger Things,B.Goddard,ESS,MID,97,40
2018,8,Danger Things,J.Westhoff,PTA,FWD,108,116
2018,8,Danger Things,T.Stewart,GEE,DEF,84,123
2018,8,Danger Things,P.Dangerfield,GEE,MID,111,137
2018,8,Danger Things,J.Martin,GCS,FWD,79,94
2018,8,Danger Things,T.Cotchin,RIC,MID,121,155
2018,8,Danger Things,D.Astbury,RIC,DEF,87,55
2018,8,Danger Things,J.Caddy,RIC,FWD,113,113
2018,8,Danger Things,A.Treloar,COL,MID,130,104
2018,8,Danger Things,P.Seedsman,ADE,DEF,99,68
2018,8,Danger Things,C.Sinclair,SYD,RUC,103,94
2018,8,Danger Things,H.Andrews,BRL,DEF,86,107
2018,8,Danger Things,M.Robinson,BRL,FWD,100,76
2018,8,Danger Things,E.Yeo,WCE,DEF,136,113
2018,8,Danger Things,L.Whitfield,GWS,MID,94,95
2018,8,Danger Things,M.de Boer,GWS,FWD,79,28
2018,8,Danger Things,S.Higgins,NTH,MID,99,103
2018,8,Danger Things,J.Steven,STK,MID,97,88
2018,8,Danger Things,J.Thomas,COL,BEN,78,67
2018,8,Danger Things,B.Crouch,ADE,BEN,121,0
2018,8,Danger Things,J.Viney,MEL,BEN,73,0
2018,8,Danger Things,M.Wood,NTH,BEN,62,41
2018,9,Danger Things,B.Goddard,ESS,MID,92,84
2018,9,Danger Things,J.Westhoff,PTA,FWD,109,89
2018,9,Danger Things,T.Stewart,GEE,DEF,81,57
2018,9,Danger Things,P.Dangerfield,GEE,MID,113,114
2018,9,Danger Things,J.Martin,GCS,FWD,79,0
2018,9,Danger Things,J.Caddy,RIC,FWD,116,99
2018,9,Danger Things,T.Cotchin,RIC,MID,113,84
2018,9,Danger Things,A.Treloar,COL,MID,120,73
2018,9,Danger Things,E.Langdon,FRE,FWD,92,93
2018,9,Danger Things,P.Seedsman,ADE,DEF,104,94
2018,9,Danger Things,C.Sinclair,SYD,RUC,95,71
2018,9,Danger Things,M.Robinson,BRL,FWD,96,73
2018,9,Danger Things,H.Andrews,BRL,DEF,89,115
2018,9,Danger Things,E.Yeo,WCE,DEF,127,113
2018,9,Danger Things,M.Hibberd,MEL,DEF,80,48
2018,9,Danger Things,L.Whitfield,GWS,MID,92,81
2018,9,Danger Things,S.Higgins,NTH,MID,97,76
2018,9,Danger Things,J.Steven,STK,MID,102,104
2018,9,Danger Things,J.Dunkley,WBD,BEN,57,40
2018,9,Danger Things,D.Rampe,SYD,BEN,86,116
2018,9,Danger Things,J.Finlayson,GWS,BEN,68,62
2018,9,Danger Things,J.Billings,STK,BEN,62,57
2018,10,Danger Things,B.Goddard,ESS,MID,87,102
2018,10,Danger Things,C.Hooker,ESS,FWD,104,50
2018,10,Danger Things,T.Stewart,GEE,DEF,96,135
2018,10,Danger Things,P.Dangerfield,GEE,MID,113,133
2018,10,Danger Things,J.Caddy,RIC,FWD,130,146
2018,10,Danger Things,T.Cotchin,RIC,MID,114,125
2018,10,Danger Things,A.Treloar,COL,MID,122,133
2018,10,Danger Things,E.Langdon,FRE,FWD,96,104
2018,10,Danger Things,C.Sinclair,SYD,RUC,90,45
2018,10,Danger Things,G.Hewett,SYD,FWD,75,110
2018,10,Danger Things,D.Rampe,SYD,DEF,80,68
2018,10,Danger Things,M.Robinson,BRL,FWD,110,172
2018,10,Danger Things,H.Andrews,BRL,DEF,82,91
2018,10,Danger Things,E.Yeo,WCE,DEF,124,100
2018,10,Danger Things,M.Hibberd,MEL,DEF,87,95
2018,10,Danger Things,L.Whitfield,GWS,MID,93,96
2018,10,Danger Things,S.Higgins,NTH,MID,91,92
2018,10,Danger Things,J.Steven,STK,MID,100,112
2018,10,Danger Things,J.Westhoff,PTA,BEN,109,0
2018,10,Danger Things,J.Martin,GCS,BEN,79,0
2018,10,Danger Things,P.Seedsman,ADE,BEN,104,0
2018,10,Danger Things,H.Grundy,SYD,BEN,87,69
2018,11,Danger Things,B.Goddard,ESS,MID,83,69
2018,11,Danger Things,J.Westhoff,PTA,FWD,102,75
2018,11,Danger Things,T.Stewart,GEE,DEF,100,96
2018,11,Danger Things,P.Dangerfield,GEE,MID,113,100
2018,11,Danger Things,J.Caddy,RIC,FWD,125,90
2018,11,Danger Things,T.Cotchin,RIC,MID,115,78
2018,11,Danger Things,A.Treloar,COL,MID,110,107
2018,11,Danger Things,E.Langdon,FRE,FWD,82,72
2018,11,Danger Things,P.Seedsman,ADE,DEF,97,81
2018,11,Danger Things,C.Sinclair,SYD,RUC,91,132
2018,11,Danger Things,G.Hewett,SYD,FWD,74,81
2018,11,Danger Things,M.Robinson,BRL,FWD,101,85
2018,11,Danger Things,H.Andrews,BRL,DEF,85,102
2018,11,Danger Things,E.Yeo,WCE,DEF,118,70
2018,11,Danger Things,M.Hibberd,MEL,DEF,80,63
2018,11,Danger Things,L.Whitfield,GWS,MID,89,106
2018,11,Danger Things,S.Higgins,NTH,MID,104,127
2018,11,Danger Things,J.Steven,STK,MID,99,93
2018,11,Danger Things,J.Martin,GCS,BEN,74,57
2018,11,Danger Things,B.Hardwick,HAW,BEN,86,69
2018,11,Danger Things,D.Rampe,SYD,BEN,74,53
2018,11,Danger Things,R.Lobb,GWS,BEN,93,77
2018,12,Danger Things,A.Saad,ESS,DEF,96,117
2018,12,Danger Things,B.Goddard,ESS,MID,76,60
2018,12,Danger Things,J.Westhoff,PTA,FWD,91,92
2018,12,Danger Things,P.Dangerfield,GEE,MID,112,103
2018,12,Danger Things,T.Stewart,GEE,DEF,104,100
2018,12,Danger Things,J.Caddy,RIC,FWD,115,47
2018,12,Danger Things,T.Cotchin,RIC,MID,106,68
2018,12,Danger Things,B.Maynard,COL,DEF,95,49
2018,12,Danger Things,A.Treloar,COL,MID,109,105
2018,12,Danger Things,E.Langdon,FRE,FWD,88,87
2018,12,Danger Things,P.Seedsman,ADE,DEF,95,84
2018,12,Danger Things,G.Hewett,SYD,FWD,69,55
2018,12,Danger Things,C.Sinclair,SYD,RUC,92,123
2018,12,Danger Things,H.Andrews,BRL,DEF,98,152
2018,12,Danger Things,L.Whitfield,GWS,MID,96,115
2018,12,Danger Things,M.de Boer,GWS,FWD,86,131
2018,12,Danger Things,S.Higgins,NTH,MID,104,123
2018,12,Danger Things,J.Steven,STK,MID,88,46
2018,12,Danger Things,J.Martin,GCS,BEN,61,27
