SEASON,ROUND,SC TEAM,PLAYER,TEAM,POS,PROJ,PTS
2019,1,Barbeques Treloar,S.Powell-Pepper,PTA,MID,78,52
2019,1,Barbeques Treloar,T.Jonas,PTA,DEF,87,64
2019,1,Barbeques Treloar,J.Riewoldt,RIC,FWD,81,50
2019,1,Barbeques Treloar,B.Cunnington,NTH,MID,100,91
2019,1,Barbeques Treloar,N.Fyfe,FRE,MID,121,147
2019,1,Barbeques Treloar,J.McGovern,WCE,DEF,85,87
2019,1,Barbeques Treloar,J.Gunston,HAW,FWD,95,103
2019,1,Barbeques Treloar,L.Breust,HAW,FWD,79,72
2019,1,Barbeques Treloar,J.Webster,STK,DEF,92,70
2019,1,Barbeques Treloar,D.Parish,ESS,BEN,89,0
2019,1,Barbeques Treloar,A.Gaff,WCE,BEN,114,0
2019,1,Barbeques Treloar,W.Rioli,WCE,BEN,64,0
2019,1,Barbeques Treloar,L.Weller,GCS,BEN,75,55
2019,1,Casting Crouch,I.Heeney,SYD,FWD,89,85
2019,1,Casting Crouch,J.Howe,COL,DEF,103,89
2019,1,Casting Crouch,J.Macrae,WBD,MID,127,132
2019,1,Casting Crouch,M.Suckling,WBD,DEF,98,85
2019,1,Casting Crouch,S.Menegola,GEE,FWD,96,101
2019,1,Casting Crouch,Z.Williams,GWS,DEF,82,82
2019,1,Casting Crouch,M.Robinson,BRL,FWD,81,70
2019,1,Casting Crouch,T.Cotchin,RIC,MID,77,98
2019,1,Casting Crouch,B.Smith,ADE,DEF,78,81
2019,1,Casting Crouch,M.Crouch,ADE,MID,120,138
2019,1,Casting Crouch,B.Gibbs,ADE,MID,97,69
2019,1,Casting Crouch,S.Higgins,NTH,MID,96,84
2019,1,Casting Crouch,J.Polec,NTH,MID,91,100
2019,1,Casting Crouch,N.Newman,CAR,DEF,87,134
2019,1,Casting Crouch,T.Miller,GCS,MID,96,101
2019,1,Casting Crouch,J.Martin,GCS,FWD,83,79
2019,1,Casting Crouch,B.McEvoy,HAW,RUC,113,102
2019,1,Casting Crouch,J.Billings,STK,FWD,84,88
2019,1,Casting Crouch,B.Parfitt,GEE,BEN,78,96
2019,1,Casting Crouch,A.Kennedy,GWS,BEN,85,78
2019,1,Casting Crouch,S.Walsh,CAR,BEN,68,68
2019,1,Casting Crouch,P.Hanley,GCS,BEN,51,46
2019,1,Man of Steele,A.Brayshaw,MEL,MID,101,89
2019,1,Man of Steele,A.Aliir,SYD,DEF,76,83
2019,1,Man of Steele,J.P.Kennedy,SYD,MID,94,94
2019,1,Man of Steele,B.Grundy,COL,RUC,104,81
2019,1,Man of Steele,C.Daniel,WBD,FWD,79,104
2019,1,Man of Steele,M.Duncan,GEE,MID,113,100
2019,1,Man of Steele,T.Stewart,GEE,DEF,87,95
2019,1,Man of Steele,H.Shaw,GWS,DEF,89,84
2019,1,Man of Steele,D.Shiel,ESS,MID,99,101
2019,1,Man of Steele,S.Lycett,PTA,FWD,82,69
2019,1,Man of Steele,B.Houli,RIC,DEF,86,112
2019,1,Man of Steele,J.Higgins,RIC,FWD,74,94
2019,1,Man of Steele,K.Lambert,RIC,FWD,91,95
2019,1,Man of Steele,R.Laird,ADE,DEF,106,102
2019,1,Man of Steele,D.Mundy,FRE,FWD,97,73
2019,1,Man of Steele,E.Yeo,WCE,MID,104,83
2019,1,Man of Steele,J.Steele,STK,MID,110,115
2019,1,Man of Steele,S.Ross,STK,MID,97,86
2019,1,Man of Steele,J.Harmes,MEL,BEN,82,103
2019,1,Man of Steele,R.Clarke,SYD,BEN,67,63
2019,1,Man of Steele,T.Phillips,COL,BEN,90,79
2019,1,Man of Steele,A.Francis,ESS,BEN,84,52
2019,2,TryingAnewStratton,C.Petracca,MEL,FWD,78,83
2019,2,TryingAnewStratton,J.Lloyd,SYD,DEF,110,124
2019,2,TryingAnewStratton,L.Parker,SYD,MID,99,109
2019,2,TryingAnewStratton,J.Crisp,COL,DEF,91,123
2019,2,TryingAnewStratton,J.De Goey,COL,FWD,74,82
2019,2,TryingAnewStratton,J.Dunkley,WBD,FWD,99,76
2019,2,TryingAnewStratton,J.Hopper,GWS,MID,89,84
2019,2,TryingAnewStratton,D.Heppell,ESS,MID,88,88
2019,2,TryingAnewStratton,M.Walters,FRE,FWD,69,50
2019,2,TryingAnewStratton,B.Hill,FRE,MID,104,133
2019,2,TryingAnewStratton,S.Hurn,WCE,DEF,108,89
2019,2,TryingAnewStratton,E.Curnow,CAR,MID,90,39
2019,2,TryingAnewStratton,D.Thomas,CAR,DEF,88,75
2019,2,TryingAnewStratton,Z.Fisher,CAR,FWD,78,68
2019,2,TryingAnewStratton,J.Witts,GCS,RUC,80,88
2019,2,TryingAnewStratton,B.Fiorini,GCS,MID,85,86
2019,2,TryingAnewStratton,T.Scully,HAW,MID,26,48
2019,2,TryingAnewStratton,J.Sicily,HAW,DEF,80,81
2019,2,TryingAnewStratton,T.Adams,COL,BEN,95,0
2019,2,TryingAnewStratton,T.Greene,GWS,BEN,61,0
2019,2,TryingAnewStratton,O.Wines,PTA,BEN,100,0
2019,2,TryingAnewStratton,J.J.Kennedy,WCE,BEN,64,52
2019,2,Swimming n Titch,S.May,MEL,DEF,74,23
2019,2,Swimming n Titch,M.Bontempelli,WBD,MID,109,97
2019,2,Swimming n Titch,P.Dangerfield,GEE,FWD,119,154
2019,2,Swimming n Titch,D.Rich,BRL,DEF,96,127
2019,2,Swimming n Titch,D.Zorko,BRL,MID,99,76
2019,2,Swimming n Titch,A.Witherden,BRL,DEF,95,77
2019,2,Swimming n Titch,M.Hurley,ESS,DEF,85,101
2019,2,Swimming n Titch,D.Zaharakis,ESS,MID,75,60
2019,2,Swimming n Titch,R.Gray,PTA,FWD,88,106
2019,2,Swimming n Titch,D.Prestia,RIC,MID,77,63
2019,2,Swimming n Titch,T.J. Lynch,RIC,FWD,58,70
2019,2,Swimming n Titch,T.Nankervis,RIC,RUC,93,78
2019,2,Swimming n Titch,C.McCarthy,FRE,FWD,69,49
2019,2,Swimming n Titch,E.Langdon,FRE,MID,88,85
2019,2,Swimming n Titch,L.Ryan,FRE,DEF,82,78
2019,2,Swimming n Titch,L.Shuey,WCE,MID,97,105
2019,2,Swimming n Titch,J.Redden,WCE,MID,109,77
2019,2,Swimming n Titch,J.Gresham,STK,FWD,78,121
2019,2,Swimming n Titch,J.Kelly,GWS,BEN,96,0
2019,2,Swimming n Titch,J.Hogan,FRE,BEN,80,96
2019,2,Swimming n Titch,C.Wingard,HAW,BEN,110,0
2019,2,Swimming n Titch,B.Acres,STK,BEN,70,56
2019,2,Salt&VinegarCripps,T.McDonald,MEL,FWD,79,51
2019,2,Salt&VinegarCripps,J.McVeigh,SYD,DEF,101,95
2019,2,Salt&VinegarCripps,L.Franklin,SYD,FWD,88,77
2019,2,Salt&VinegarCripps,T.Langdon,COL,DEF,82,88
2019,2,Salt&VinegarCripps,T.McLean,WBD,FWD,78,92
2019,2,Salt&VinegarCripps,T.Kelly,GEE,FWD,106,111
2019,2,Salt&VinegarCripps,L.Dahlhaus,GEE,FWD,84,105
2019,2,Salt&VinegarCripps,G.Ablett,GEE,MID,81,63
2019,2,Salt&VinegarCripps,J.Berry,BRL,MID,89,91
2019,2,Salt&VinegarCripps,L.Neale,BRL,MID,125,140
2019,2,Salt&VinegarCripps,D.Houston,PTA,DEF,81,81
2019,2,Salt&VinegarCripps,D.Martin,RIC,MID,92,66
2019,2,Salt&VinegarCripps,T.Goldstein,NTH,RUC,97,66
2019,2,Salt&VinegarCripps,D.Sheed,WCE,MID,89,100
2019,2,Salt&VinegarCripps,P.Cripps,CAR,MID,129,116
2019,2,Salt&VinegarCripps,M.Murphy,CAR,MID,89,51
2019,2,Salt&VinegarCripps,K.Simpson,CAR,DEF,103,72
2019,2,Salt&VinegarCripps,B.Hardwick,HAW,DEF,82,77
2019,2,Salt&VinegarCripps,J.Johannisen,WBD,BEN,95,0
2019,2,Salt&VinegarCripps,C.Ward,GWS,BEN,103,0
2019,2,Salt&VinegarCripps,K.Langford,ESS,BEN,79,45
2019,2,Salt&VinegarCripps,C.Blakely,FRE,BEN,99,0
2019,2,Barbeques Treloar,C.Sinclair,SYD,RUC,87,56
2019,2,Barbeques Treloar,A.Treloar,COL,MID,109,135
2019,2,Barbeques Treloar,L.Hunter,WBD,MID,107,95
2019,2,Barbeques Treloar,T.Liberatore,WBD,MID,52,128
2019,2,Barbeques Treloar,T.Hawkins,GEE,FWD,103,112
2019,2,Barbeques Treloar,J.Selwood,GEE,MID,112,108
2019,2,Barbeques Treloar,H.Andrews,BRL,DEF,105,88
2019,2,Barbeques Treloar,A.McGrath,ESS,DEF,71,74
2019,2,Barbeques Treloar,J.Westhoff,PTA,FWD,106,47
2019,2,Barbeques Treloar,B.Ebert,PTA,MID,81,106
2019,2,Barbeques Treloar,T.Jonas,PTA,DEF,86,82
2019,2,Barbeques Treloar,J.Riewoldt,RIC,FWD,69,33
2019,2,Barbeques Treloar,B.Cunnington,NTH,MID,114,159
2019,2,Barbeques Treloar,N.Fyfe,FRE,MID,123,124
2019,2,Barbeques Treloar,J.McGovern,WCE,DEF,93,134
2019,2,Barbeques Treloar,J.Gunston,HAW,FWD,97,110
2019,2,Barbeques Treloar,L.Breust,HAW,FWD,76,82
2019,2,Barbeques Treloar,J.Webster,STK,DEF,89,72
2019,2,Barbeques Treloar,C.Cameron,BRL,BEN,86,87
2019,2,Barbeques Treloar,A.Saad,ESS,BEN,95,104
2019,2,Barbeques Treloar,D.Parish,ESS,BEN,88,74
2019,2,Barbeques Treloar,A.Gaff,WCE,BEN,110,0
2019,2,Man of Steele,A.Brayshaw,MEL,MID,106,124
2019,2,Man of Steele,J.P.Kennedy,SYD,MID,102,136
2019,2,Man of Steele,B.Grundy,COL,RUC,105,137
2019,2,Man of Steele,C.Daniel,WBD,FWD,87,120
2019,2,Man of Steele,T.Stewart,GEE,DEF,93,120
2019,2,Man of Steele,M.Duncan,GEE,MID,112,103
2019,2,Man of Steele,H.Shaw,GWS,DEF,83,61
2019,2,Man of Steele,D.Shiel,ESS,MID,105,116
2019,2,Man of Steele,S.Lycett,PTA,FWD,100,167
2019,2,Man of Steele,R.Burton,PTA,DEF,66,78
2019,2,Man of Steele,J.Higgins,RIC,FWD,69,46
2019,2,Man of Steele,K.Lambert,RIC,FWD,80,34
2019,2,Man of Steele,R.Laird,ADE,DEF,102,89
2019,2,Man of Steele,J.Pittard,NTH,DEF,62,54
2019,2,Man of Steele,D.Mundy,FRE,FWD,84,35
2019,2,Man of Steele,E.Yeo,WCE,MID,97,72
2019,2,Man of Steele,J.Steele,STK,MID,111,100
2019,2,Man of Steele,S.Ross,STK,MID,92,80
2019,2,Man of Steele,J.Harmes,MEL,BEN,84,92
2019,2,Man of Steele,T.Papley,SYD,BEN,83,63
2019,2,Man of Steele,T.Phillips,COL,BEN,94,109
2019,2,Man of Steele,B.Houli,RIC,BEN,84,0
2019,2,DEVQON.1,C.Salem,MEL,DEF,99,75
2019,2,DEVQON.1,C.Oliver,MEL,MID,98,141
2019,2,DEVQON.1,D.Moore,COL,FWD,54,93
2019,2,DEVQON.1,S.Sidebottom,COL,MID,94,66
2019,2,DEVQON.1,S.Coniglio,GWS,MID,94,52
2019,2,DEVQON.1,T.Taranto,GWS,MID,88,78
2019,2,DEVQON.1,S.Martin,BRL,RUC,117,108
2019,2,DEVQON.1,D.Smith,ESS,FWD,94,78
2019,2,DEVQON.1,T.Boak,PTA,FWD,109,123
2019,2,DEVQON.1,T.Rockliff,PTA,MID,105,116
2019,2,DEVQON.1,R.Sloane,ADE,MID,111,105
2019,2,DEVQON.1,W.Milera,ADE,DEF,88,105
2019,2,DEVQON.1,T.Lynch,ADE,FWD,73,84
2019,2,DEVQON.1,J.Macmillan,NTH,DEF,85,79
2019,2,DEVQON.1,J.Harbrow,GCS,DEF,91,115
2019,2,DEVQON.1,J.Steven,STK,MID,89,67
2019,2,DEVQON.1,S.Savage,STK,DEF,95,94
2019,2,DEVQON.1,J.Newnes,STK,FWD,81,83
2019,2,DEVQON.1,Z.Tuohy,GEE,BEN,89,0
2019,2,DEVQON.1,J.Watts,PTA,BEN,66,72
2019,2,DEVQON.1,D.Tucker,FRE,BEN,77,62
2019,2,DEVQON.1,A.Miles,GCS,BEN,87,75
2019,2,Casting Crouch,Z.Jones,SYD,DEF,101,92
2019,2,Casting Crouch,I.Heeney,SYD,FWD,83,67
2019,2,Casting Crouch,J.Howe,COL,DEF,105,99
2019,2,Casting Crouch,M.Suckling,WBD,DEF,100,103
2019,2,Casting Crouch,J.Macrae,WBD,MID,127,127
2019,2,Casting Crouch,B.Parfitt,GEE,FWD,79,85
2019,2,Casting Crouch,S.Menegola,GEE,FWD,90,70
2019,2,Casting Crouch,Z.Williams,GWS,DEF,88,95
2019,2,Casting Crouch,H.McCluggage,BRL,MID,84,103
2019,2,Casting Crouch,W.Drew,PTA,FWD,97,90
2019,2,Casting Crouch,T.Cotchin,RIC,MID,75,76
2019,2,Casting Crouch,M.Crouch,ADE,MID,119,96
2019,2,Casting Crouch,S.Higgins,NTH,MID,93,86
2019,2,Casting Crouch,J.Polec,NTH,MID,94,110
2019,2,Casting Crouch,N.Newman,CAR,DEF,88,82
2019,2,Casting Crouch,T.Miller,GCS,MID,96,90
2019,2,Casting Crouch,B.McEvoy,HAW,RUC,114,104
2019,2,Casting Crouch,J.Billings,STK,FWD,84,84
2019,2,Casting Crouch,M.Robinson,BRL,BEN,79,80
2019,2,Casting Crouch,B.Smith,ADE,BEN,79,97
2019,2,Casting Crouch,B.Gibbs,ADE,BEN,96,93
2019,2,Casting Crouch,J.Martin,GCS,BEN,91,118
2019,2,Fire The Worpedo,M.Gawn,MEL,RUC,116,116
2019,2,Fire The Worpedo,C.Mills,SYD,DEF,76,49
2019,2,Fire The Worpedo,S.Pendlebury,COL,MID,119,133
2019,2,Fire The Worpedo,D.Beams,COL,MID,93,104
2019,2,Fire The Worpedo,M.Wallis,WBD,FWD,86,89
2019,2,Fire The Worpedo,A.Tomlinson,GWS,MID,71,77
2019,2,Fire The Worpedo,L.Whitfield,GWS,DEF,100,123
2019,2,Fire The Worpedo,L.Hodge,BRL,DEF,76,85
2019,2,Fire The Worpedo,R.Mathieson,BRL,FWD,75,71
2019,2,Fire The Worpedo,J.Lyons,BRL,MID,91,78
2019,2,Fire The Worpedo,Z.Merrett,ESS,MID,99,108
2019,2,Fire The Worpedo,B.Ellis,RIC,DEF,78,89
2019,2,Fire The Worpedo,J.Short,RIC,DEF,95,91
2019,2,Fire The Worpedo,S.Edwards,RIC,FWD,80,81
2019,2,Fire The Worpedo,B.Crouch,ADE,MID,86,104
2019,2,Fire The Worpedo,J.Darling,WCE,FWD,94,90
2019,2,Fire The Worpedo,J.O'Meara,HAW,MID,88,104
2019,2,Fire The Worpedo,J.Worpel,HAW,FWD,80,92
2019,2,Fire The Worpedo,J.Viney,MEL,BEN,79,109
2019,2,Fire The Worpedo,J.Melksham,MEL,BEN,73,68
2019,2,Fire The Worpedo,J.Cameron,GWS,BEN,67,68
2019,2,Fire The Worpedo,B.Brown,NTH,BEN,66,72
2019,3,TryingAnewStratton,C.Petracca,MEL,FWD,0,76
2019,3,TryingAnewStratton,J.Lloyd,SYD,DEF,0,130
2019,3,TryingAnewStratton,L.Parker,SYD,MID,0,90
2019,3,TryingAnewStratton,J.De Goey,COL,FWD,0,113
2019,3,TryingAnewStratton,T.Adams,COL,MID,0,97
2019,3,TryingAnewStratton,J.Crisp,COL,DEF,0,56
2019,3,TryingAnewStratton,J.Dunkley,WBD,FWD,0,80
2019,3,TryingAnewStratton,A.Kennedy,GWS,DEF,0,66
2019,3,TryingAnewStratton,J.Hopper,GWS,MID,0,114
2019,3,TryingAnewStratton,D.Heppell,ESS,MID,0,125
2019,3,TryingAnewStratton,O.Wines,PTA,MID,0,68
2019,3,TryingAnewStratton,B.Hill,FRE,MID,0,81
2019,3,TryingAnewStratton,M.Walters,FRE,FWD,0,120
2019,3,TryingAnewStratton,S.Hurn,WCE,DEF,111,109
2019,3,TryingAnewStratton,Z.Fisher,CAR,FWD,0,85
2019,3,TryingAnewStratton,B.Fiorini,GCS,MID,0,117
2019,3,TryingAnewStratton,J.Witts,GCS,RUC,0,70
2019,3,TryingAnewStratton,J.Sicily,HAW,DEF,0,95
2019,3,TryingAnewStratton,T.Greene,GWS,BEN,0,0
2019,3,TryingAnewStratton,J.Caddy,RIC,BEN,0,0
2019,3,TryingAnewStratton,J.Bowes,GCS,BEN,0,117
2019,3,TryingAnewStratton,T.Scully,HAW,BEN,0,51
2019,3,Barbeques Treloar,C.Sinclair,SYD,RUC,0,109
2019,3,Barbeques Treloar,A.Treloar,COL,MID,105,86
2019,3,Barbeques Treloar,L.Hunter,WBD,MID,0,105
2019,3,Barbeques Treloar,T.Liberatore,WBD,MID,0,150
2019,3,Barbeques Treloar,J.Selwood,GEE,MID,0,46
2019,3,Barbeques Treloar,T.Hawkins,GEE,FWD,0,69
2019,3,Barbeques Treloar,H.Andrews,BRL,DEF,0,40
2019,3,Barbeques Treloar,C.Cameron,BRL,FWD,0,50
2019,3,Barbeques Treloar,A.Saad,ESS,DEF,0,52
2019,3,Barbeques Treloar,T.Jonas,PTA,DEF,0,83
2019,3,Barbeques Treloar,J.Westhoff,PTA,FWD,93,39
2019,3,Barbeques Treloar,B.Cunnington,NTH,MID,0,118
2019,3,Barbeques Treloar,N.Fyfe,FRE,MID,0,63
2019,3,Barbeques Treloar,A.Gaff,WCE,MID,0,103
2019,3,Barbeques Treloar,J.McGovern,WCE,DEF,0,66
2019,3,Barbeques Treloar,J.Gunston,HAW,FWD,0,64
2019,3,Barbeques Treloar,L.Breust,HAW,FWD,0,107
2019,3,Barbeques Treloar,J.Webster,STK,DEF,0,57
2019,3,Barbeques Treloar,A.McGrath,ESS,BEN,0,88
2019,3,Barbeques Treloar,B.Ebert,PTA,BEN,0,70
2019,3,Barbeques Treloar,J.Riewoldt,RIC,BEN,0,0
2019,3,Barbeques Treloar,A.Sexton,GCS,BEN,0,84
2019,3,Swimming n Titch,M.Bontempelli,WBD,MID,0,124
2019,3,Swimming n Titch,P.Dangerfield,GEE,FWD,121,128
2019,3,Swimming n Titch,N.Haynes,GWS,DEF,0,67
2019,3,Swimming n Titch,J.Kelly,GWS,MID,0,95
2019,3,Swimming n Titch,A.Witherden,BRL,DEF,0,92
2019,3,Swimming n Titch,D.Zorko,BRL,MID,0,105
2019,3,Swimming n Titch,D.Rich,BRL,DEF,0,101
2019,3,Swimming n Titch,M.Hurley,ESS,DEF,79,59
2019,3,Swimming n Titch,D.Zaharakis,ESS,MID,83,135
2019,3,Swimming n Titch,R.Gray,PTA,FWD,0,91
2019,3,Swimming n Titch,T.J. Lynch,RIC,FWD,0,68
2019,3,Swimming n Titch,D.Prestia,RIC,MID,0,92
2019,3,Swimming n Titch,T.Nankervis,RIC,RUC,0,88
2019,3,Swimming n Titch,L.Ryan,FRE,DEF,0,156
2019,3,Swimming n Titch,J.Hogan,FRE,FWD,0,59
2019,3,Swimming n Titch,J.Redden,WCE,MID,0,70
2019,3,Swimming n Titch,L.Shuey,WCE,MID,0,96
2019,3,Swimming n Titch,J.Gresham,STK,FWD,0,95
2019,3,Swimming n Titch,E.Langdon,FRE,BEN,0,76
2019,3,Swimming n Titch,B.Sheppard,WCE,BEN,0,86
2019,3,Swimming n Titch,C.Wingard,HAW,BEN,0,82
2019,3,Swimming n Titch,B.Acres,STK,BEN,0,51
2019,3,Man of Steele,A.Brayshaw,MEL,MID,0,108
2019,3,Man of Steele,J.P.Kennedy,SYD,MID,105,113
2019,3,Man of Steele,T.Papley,SYD,FWD,0,105
2019,3,Man of Steele,B.Grundy,COL,RUC,0,132
2019,3,Man of Steele,C.Daniel,WBD,FWD,0,96
