"id","feed_id","player_name","team","pos","avg","adp"
114,"297255","M.McGovern","CAR","DEF",80,165.8
162,"1000072","J.Noble","COL","DEF",80,167.4
50,"990609","C.Cameron","BRL","FWD",72,167.4
434,"296351","J.Billings","MEL","FWD",62,167.5
299,"1023736","J.Walter","GCS","FWD",0,167.7
11,"1028671","C.Edwards","ADE","DEF/MID",0,167.9
172,"1027899","N.Caddy","ESS","FWD",0,168.5
502,"296355","L.McDonald","NTH","DEF",78,168.8
677,"1003203","H.McLean","SYD","RUC/FWD",72,171.4
357,"1002251","B.Daniels","GWS","FWD",75,171.6
583,"293813","T.Lynch","RIC","FWD",64,172.7
776,"1006114","B.Williams","WCE","RUC",77,173
352,"1009708","J.Buckley","GWS","DEF",79,173.4
75,"1002235","C.Rayner","BRL","FWD",69,173.5
567,"295203","N.Broad","RIC","DEF",80,173.8
658,"998103","O.Florent","SYD","DEF",75,174.2
151,"1003130","P.Lipinski","COL","FWD",70,175.2
405,"296254","J.Impey","HAW","DEF",78,176.3
508,"1006058","B.Scott","NTH","MID",76,176.8
295,"294643","A.Sexton","GCS","FWD",24,177.7
263,"1008454","C.Budarick","GCS","DEF",77,178.2
142,"293801","J.Elliott","COL","FWD",73,178.5
330,"993878","S.Mannagh","GEE","MID/FWD",0,178.9
269,"293713","B.Ellis","GCS","MID",79,179.3
23,"990882","W.Milera","ADE","DEF",78,179.5
446,"294557","L.Hunter","MEL","MID",78,180
356,"1001396","I.Cumming","GWS","DEF/MID",69,180
499,"1012852","C.Lazzaro","NTH","MID/FWD",36,180.3
647,"1023270","M.Windhager","STK","DEF/MID",58,181
621,"1005988","L.Henry","STK","MID",72,181.3
475,"1027821","C.Windsor","MEL","MID/FWD",0,181.5
201,"1012817","Z.Reid","ESS","DEF",0,182.1
48,"998133","J.Berry","BRL","MID",76,183
186,"1017088","B.Hobbs","ESS","MID",74,183.4
533,"1002253","K.Farrell","PTA","DEF",77,183.9
754,"1023025","R.Ginbey","WCE","MID",63,185.3
736,"1004385","O.Allen","WCE","FWD",70,185.9
35,"270963","R.Sloane","ADE","MID",77,186.4
306,"1012805","T.Bruhn","GEE","MID",69,187
520,"294469","A.Aliir","PTA","DEF",75,187.3
654,"1013133","B.Campbell","SYD","DEF/MID",69,188.2
379,"998205","H.Perryman","GWS","DEF",74,188.8
407,"1000887","M.Lewis","HAW","FWD",71,188.9
461,"1008541","K.Pickett","MEL","FWD",68,189.2
115,"1000953","H.McKay","CAR","FWD",71,189.3
758,"994385","J.Hunt","WCE","DEF",76,189.6
635,"1020137","M.Phillipou","STK","FWD",51,189.8
225,"1020695","T.Emmett","FRE","FWD",82,190.4
563,"1002245","N.Balta","RIC","DEF",74,190.6
450,"298281","J.Lever","MEL","DEF",75,191.8
17,"1006203","C.Jones","ADE","DEF/MID",74,192.3
291,"1018123","J.Rogers","GCS","MID",0,192.6
457,"296420","A.Neal-Bullen","MEL","FWD",72,193.2
428,"1017110","J.Ward","HAW","MID",73,193.5
423,"998114","J.Scrimshaw","HAW","DEF",75,193.6
110,"1001398","M.Kennedy","CAR","MID",75,193.7
623,"295584","B.Hill","STK","MID/FWD",68,193.8
37,"1017109","J.Soligo","ADE","MID",73,194
519,"998484","C.Zurhaar","NTH","FWD",69,194.8
731,"1009301","J.Ugle-Hagan","WBD","FWD",61,195
525,"992128","R.Burton","PTA","DEF",76,196
296,"290832","D.Swallow","GCS","MID",75,198.4
244,"1027656","C.Simpson","FRE","MID/FWD",0,199
206,"293884","J.Stringer","ESS","FWD",65,199.3
646,"1027875","D.Wilson","STK","MID/FWD",0,199.6
712,"294101","J.Johannisen","WBD","DEF",75,200
155,"1004757","B.McCreery","COL","FWD",54,201.2
147,"291313","J.Howe","COL","DEF",71,201.6
410,"1023482","C.Mackenzie","HAW","FWD",49,201.8
596,"1006133","J.Ross","RIC","MID",75,202.3
441,"1001438","B.Fritsch","MEL","FWD",71,202.8
199,"1015873","A.Perkins","ESS","FWD",66,202.9
505,"1012829","W.Phillips","NTH","MID",73,203.2
535,"1010174","M.Georgiades","PTA","FWD",59,203.6
207,"1023785","E.Tsatas","ESS","MID/FWD",55,204.6
42,"1011981","J.Worrell","ADE","DEF",74,205.4
683,"290307","D.Rampe","SYD","DEF",75,206
212,"295067","J.Aish","FRE","MID",73,206.1
336,"1027877","C.O'Sullivan","GEE","DEF",0,206.3
628,"1006143","M.King","STK","FWD",61,207.5
386,"280109","C.Ward","GWS","MID",75,208.1
507,"1011659","T.Powell","NTH","FWD",56,208.3
179,"1006096","X.Duursma","ESS","MID",67,208.4
320,"1004870","Z.Guthrie","GEE","DEF",74,209
84,"1017067","D.Wilmot","BRL","DEF",71,210.4
290,"1027033","E.Read","GCS","RUC",0,210.7
217,"1013224","H.Chapman","FRE","DEF",64,212.1
704,"1017126","S.Darcy","WBD","FWD",19,212.3
250,"993940","C.Wagner","FRE","DEF",73,214.2
109,"1009241","B.Kemp","CAR","DEF",73,215.2
619,"990840","J.Hayes","STK","FWD",51,215.2
753,"290801","A.Gaff","WCE","MID",71,215.9
216,"998129","W.Brodie","FRE","MID",71,217.2
353,"1019038","A.Cadman","GWS","FWD",23,217.3
527,"991930","D.Byrne-Jones","PTA","FWD",70,217.5
589,"298144","S.Naismith","RIC","RUC",0,218.5
123,"298290","M.Pittonet","CAR","RUC",70,218.6
178,"1015810","S.Durham","ESS","MID",65,218.8
549,"993979","S.Powell-Pepper","PTA","FWD",67,219
448,"298264","E.Langdon","MEL","MID",72,219.4
400,"1012857","J.Ginnivan","HAW","FWD",53,219.5
305,"998260","J.Bowes","GEE","DEF",61,219.7
343,"292511","Z.Tuohy","GEE","MID",72,219.8
205,"291783","D.Shiel","ESS","MID",69,219.9
574,"1009226","T.Dow","RIC","MID",57,219.9
145,"1006148","B.Hill","COL","FWD",57,220.9
700,"1005717","N.Coffield","WBD","DEF",0,221
29,"1012218","L.Pedlar","ADE","FWD",56,221.3
616,"1002256","P.Dow","STK","MID",55,221.5
61,"291548","R.Lester","BRL","DEF",73,221.6
554,"1017078","J.Sinn","PTA","MID",22,221.6
266,"295446","S.Collins","GCS","DEF",73,221.9
339,"280317","R.Stanley","GEE","RUC",71,222.2
576,"1017059","J.Gibcus","RIC","DEF",0,223
135,"998647","M.Cox","COL","RUC/FWD",64,223.3
676,"1011936","J.McInerney","SYD","MID",72,223.4
577,"990827","J.Graham","RIC","FWD",66,224
757,"1023167","B.Hough","WCE","DEF",63,224
466,"1003546","J.Smith","MEL","FWD",44,224.3
366,"295265","N.Haynes","GWS","DEF",73,224.9
40,"1008384","R.Thilthorpe","ADE","FWD",59,225.2
243,"1009380","J.Sharp","FRE","MID",0,225.8
421,"1001024","N.Reeves","HAW","RUC",67,226.7
53,"1000932","T.Doedee","BRL","DEF",68,227
406,"998390","C.Jiath","HAW","DEF",62,227.3
396,"1005144","M.D'Ambrosio","HAW","DEF",40,227.5
746,"1020802","J.Culley","WCE","MID/FWD",43,229.1
12,"999331","D.Fogarty","ADE","FWD",68,229.5
260,"1008882","C.Ballard","GCS","DEF",72,229.7
687,"1020339","A.Sheldrick","SYD","MID",60,230
674,"1008198","T.McCartin","SYD","DEF",71,230.1
185,"297452","N.Hind","ESS","DEF",70,230.1
685,"1012210","M.Roberts","SYD","MID",31,230.1
247,"992059","S.Switkowski","FRE","FWD",68,230.6
556,"992330","J.Sweet","PTA","RUC",0,231.1
404,"1023680","H.Hustwaite","HAW","MID",66,231.4
211,"298289","P.Wright","ESS","FWD",64,231.8
745,"290826","J.Cripps","WCE","FWD",69,231.9
284,"996464","D.Macpherson","GCS","DEF",71,233.2
259,"294472","R.Atkins","GCS","DEF",72,233.6
435,"1012825","J.Bowey","MEL","DEF",70,234.6
522,"1009191","M.Bergman","PTA","DEF",66,235
125,"1001028","J.Silvagni","CAR","FWD",69,235.7
512,"1004848","D.Stephens","NTH","MID",58,236
308,"1023537","J.Clark","GEE","MID",13,236.6
670,"997142","P.Ladhams","SYD","RUC",70,237.1
191,"298280","J.Laverde","ESS","DEF",72,237.7
735,"992351","B.Williams","WBD","MID",70,238.2
311,"1017063","T.Conway","GEE","RUC",46,240.5
718,"990740","R.Lobb","WBD","FWD",67,240.8
104,"296334","O.Fantasia","CAR","FWD",39,241.2
600,"1017114","T.Sonsie","RIC","FWD",30,241.5
468,"999391","T.Sparrow","MEL","MID",67,241.7
472,"1017720","J.van Rooyen","MEL","FWD",65,241.9
756,"1020670","E.Hewett","WCE","MID/FWD",46,242.4
480,"1015781","C.Comben","NTH","FWD",45,243.2
107,"1012862","E.Hollands","CAR","MID",49,246
444,"996692","M.Hore","MEL","DEF",0,246.7
510,"280737","L.Shiels","NTH","MID",70,247.4
158,"291849","B.Mihocek","COL","FWD",65,252.3
612,"1002264","H.Clark","STK","MID",63,252.3
226,"1020250","N.Erasmus","FRE","MID",43,253
335,"1007102","M.O'Connor","GEE","DEF/MID",67,253.5
460,"1008893","H.Petty","MEL","DEF/FWD",61,253.6
24,"1000998","L.Murphy","ADE","FWD",68,255.4
523,"250365","T.Boak","PTA","MID",66,255.7
108,"1023495","O.Hollands","CAR","MID",58,256.9
761,"998791","J.Jones","WCE","DEF",68,257.6
231,"1016825","M.Johnson","FRE","MID",54,258.2
636,"293846","S.Ross","STK","MID",68,259.2
479,"1000061","C.Coleman-Jones","NTH","FWD",45,259.3
665,"997100","W.Hayward","SYD","FWD",67,260
55,"1023708","J.Fletcher","BRL","MID",52,260.4
171,"1011954","N.Bryan","ESS","RUC",66,260.8
95,"1008154","M.Cottrell","CAR","MID/FWD",60,263.7
602,"1031829","J.Trezise","RIC","DEF",93,264.2
675,"1013230","L.McDonald","SYD","FWD",59,264.6
481,"294508","A.Corr","NTH","DEF",69,265.1
310,"999326","B.Close","GEE","FWD",67,266
413,"1000980","L.Meek","HAW","RUC",64,267.3
280,"1006144","B.King","GCS","FWD",57,268.2
733,"1011803","C.Weightman","WBD","FWD",64,268.8
543,"1004998","T.Marshall","PTA","FWD",66,269.1
684,"290188","S.Reid","SYD","FWD",0,269.9
313,"1009229","S.De Koning","GEE","DEF",61,271.3
622,"1002227","J.Higgins","STK","FWD",67,271.8
561,"1004034","B.Zerk-Thatcher","PTA","DEF",67,274.1
597,"1012386","S.Ryan","RIC","RUC/FWD",54,274.2
659,"291848","R.Fox","SYD","DEF",67,275.7
77,"1009385","D.Robertson","BRL","MID/FWD",45,276.1
500,"997933","G.Logue","NTH","DEF",67,276.5
2,"1023534","H.Bond","ADE","DEF",0,276.8
324,"1012860","O.Henry","GEE","FWD",60,277.8
641,"1008312","L.Stocker","STK","DEF",68,278
395,"994077","M.Chol","HAW","FWD",49,278
195,"1002143","B.McKay","ESS","DEF",63,278.8
349,"1008139","T.Bedford","GWS","FWD",60,278.8
1,"1012807","S.Berry","ADE","MID",51,279.1
213,"1020594","J.Amiss","FRE","FWD",54,279.9
34,"1006136","L.Sholl","ADE","MID",67,281.7
625,"993480","D.Howard","STK","DEF",67,283.2
559,"1009195","D.Williams","PTA","DEF",67,283.4
607,"994599","R.Bonner","STK","MID",51,283.6
550,"1002220","E.Ratugolea","PTA","DEF",56,285.2
272,"993799","B.Fiorini","GCS","MID",65,285.4
113,"296190","J.Martin","CAR","FWD",60,286.3
416,"1000963","H.Morrison","HAW","MID",66,286.7
278,"1005992","J.Jeffrey","GCS","DEF/FWD",59,286.8
174,"1015827","N.Cox","ESS","DEF/MID",47,287.3
276,"297456","N.Holman","GCS","FWD",66,287.4
482,"1002947","P.Curtis","NTH","FWD",46,287.7
69,"997846","C.McKenna","BRL","DEF",63,288.2
516,"993816","D.Tucker","NTH","MID",62,289.4
377,"1006135","X.O'Halloran","GWS","FWD",60,289.5
323,"1000937","J.Henry","GEE","DEF",66,289.9
130,"997316","L.Young","CAR","DEF",66,291.4
227,"999321","M.Frederick","FRE","FWD",60,295.5
22,"1015370","M.Michalanney","ADE","DEF",56,296.3
551,"296225","W.Rioli","PTA","FWD",66,297.1
149,"997974","A.Johnson","COL","FWD",50,298.9
337,"298419","B.Parfitt","GEE","MID",53,299.6
380,"992644","B.Preuss","GWS","RUC",0,300.6
157,"297504","D.McStay","COL","FWD",59,303.4
414,"1018016","S.Mitchell","HAW","DEF",62,304.3
64,"293716","J.Lyons","BRL","MID",51,307.2
452,"298470","S.McAdam","MEL","FWD",67,308.6
626,"991988","Z.Jones","STK","MID",56,309
393,"280744","L.Breust","HAW","FWD",61,310.4
338,"291357","G.Rohan","GEE","FWD",61,310.8
489,"1012833","E.Ford","NTH","FWD",63,310.9
38,"1008752","K.Strachan","ADE","RUC",0,312.4
775,"996554","J.Waterman","WCE","FWD",65,313.1
439,"1005330","K.Chandler","MEL","FWD",64,313.5
588,"1002403","B.Miller","RIC","RUC/FWD",59,313.8
606,"998134","J.Battle","STK","DEF",64,314
650,"1008091","J.Amartey","SYD","FWD",56,314.1
631,"294596","T.Membrey","STK","FWD",55,315.4
741,"1013511","T.Brockman","WCE","FWD",55,316.7
153,"298358","O.Markov","COL","DEF",54,317.4
744,"993820","T.Cole","WCE","DEF",65,319.3
470,"291819","A.Tomlinson","MEL","DEF",66,319.9
644,"290757","J.Webster","STK","DEF",65,320
