"id","feed_id","player_name","first_name","last_name","team","pos","avg","adp"
786,"1008747","M.Lefau","Mykelti","Lefau","RIC","FWD",0,124.4
87,"296294","B.Acres","Blake","Acres","CAR","MID",88,124.8
348,"1009253","L.Ash","Lachie","Ash","GWS","DEF",84,125
384,"1005247","S.Taylor","Sam","Taylor","GWS","DEF",84,125.4
555,"998529","I.Soldo","Ivan","Soldo","PTA","RUC",87,125.5
302,"994386","T.Atkins","Tom","Atkins","GEE","MID",87,125.6
403,"993794","B.Hardwick","Blake","Hardwick","HAW","DEF",86,126.2
173,"1006103","J.Caldwell","Jye","Caldwell","ESS","MID/FWD",78,126.8
451,"281085","S.May","Steven","May","MEL","DEF",84,127.2
518,"1004965","T.Xerri","Tristan","Xerri","NTH","RUC",73,127.8
780,"1035372","K.Gallagher","Karl","Gallagher","ADE","DEF",0,128.7
127,"993832","J.Weitering","Jacob","Weitering","CAR","DEF",85,131
190,"298630","K.Langford","Kyle","Langford","ESS","FWD",79,132
511,"993998","J.Simpkin","Jy","Simpkin","NTH","MID",79,133.8
580,"1035199","O.Hayes-Brown","Oliver","Hayes-Brown","RIC","RUC",0,134.3
46,"1023517","W.Ashcroft","Will","Ashcroft","BRL","MID",84,135
325,"1015889","M.Holmes","Max","Holmes","GEE","MID",80,135.1
581,"993903","J.Hopper","Jacob","Hopper","RIC","MID",79,136.4
517,"1023477","G.Wardlaw","George","Wardlaw","NTH","MID",65,137.9
417,"1007124","C.Nash","Conor","Nash","HAW","MID",86,138.7
667,"1013409","J.Jordon","James","Jordon","SYD","MID/FWD",49,139
766,"294859","J.McGovern","Jeremy","McGovern","WCE","DEF",84,139.8
204,"998215","W.Setterfield","Will","Setterfield","ESS","MID",85,140.3
787,"1031819","T.Sellers","Tyler","Sellers","NTH","FWD",0,140.8
128,"294685","Z.Williams","Zac","Williams","CAR","DEF",0,141.2
531,"1000972","W.Drew","Willem","Drew","PTA","MID",85,142
558,"1029158","X.Walsh","Xavier","Walsh","PTA","FWD",0,142.2
686,"1006126","J.Rowbottom","James","Rowbottom","SYD","MID",84,142.3
632,"1035198","L.O'Connell","Liam","O'Connell","STK","DEF",0,142.3
92,"1027964","M.Carroll","Matthew","Carroll","CAR","DEF",0,143.2
283,"1004095","J.Lukosius","Jack","Lukosius","GCS","FWD",76,143.6
168,"280965","S.Sidebottom","Steele","Sidebottom","COL","MID",85,144.1
387,"1034066","N.Wardius","Nathan","Wardius","GWS","FWD",0,144.4
726,"1017939","R.Sanders","Ryley","Sanders","WBD","MID",0,145.2
154,"992010","B.Maynard","Brayden","Maynard","COL","DEF",80,145.4
318,"1011944","J.Furphy","Joe","Furphy","GEE","RUC",0,145.8
322,"261510","T.Hawkins","Tom","Hawkins","GEE","FWD",78,146.5
721,"1002404","A.Naughton","Aaron","Naughton","WBD","FWD",75,146.5
463,"296359","C.Salem","Christian","Salem","MEL","DEF",75,146.8
613,"1017959","L.Collard","Lance","Collard","STK","FWD",0,147.7
498,"1001017","N.Larkey","Nick","Larkey","NTH","FWD",69,148
319,"290550","C.Guthrie","Cameron","Guthrie","GEE","MID",84,149.1
164,"1008089","I.Quaynor","Isaac","Quaynor","COL","DEF",75,149.4
36,"291748","B.Smith","Brodie","Smith","ADE","DEF",82,149.6
295,"294643","A.Sexton","Alex","Sexton","GCS","FWD",24,150.6
294,"1019939","W.Rowlands","William","Rowlands","GCS","MID/FWD",0,150.6
151,"1003130","P.Lipinski","Patrick","Lipinski","COL","FWD",70,150.9
256,"998130","B.Ainsworth","Ben","Ainsworth","GCS","FWD",76,151
369,"1008083","C.Idun","Connor","Idun","GWS","DEF",81,151.1
106,"294036","G.Hewett","George","Hewett","CAR","MID",79,151.1
668,"1027058","I.Kirk","Indhi","Kirk","SYD","MID",0,151.9
409,"1017094","C.Macdonald","Connor","Macdonald","HAW","FWD",68,152.4
760,"1027969","H.Johnston","Harvey","Johnston","WCE","MID/FWD",0,152.6
300,"298524","L.Weller","Lachie","Weller","GCS","DEF",83,155
711,"297899","J.Harmes","James","Harmes","WBD","MID/FWD",46,155.5
773,"296296","D.Sheed","Dom","Sheed","WCE","MID",84,155.7
768,"1020032","L.Rawlinson","Loch","Rawlinson","WCE","MID/FWD",0,156.3
592,"290627","D.Prestia","Dion","Prestia","RIC","MID",81,158.1
487,"1023494","Z.Duursma","Zane","Duursma","NTH","MID/FWD",0,158.7
374,"1032119","J.Leake","James","Leake","GWS","DEF",0,158.8
277,"1023500","B.Humphrey","Bailey","Humphrey","GCS","FWD",59,160.3
434,"296351","J.Billings","Jack","Billings","MEL","FWD",62,160.3
496,"1023625","R.Hardeman","Riley","Hardeman","NTH","DEF",0,160.6
181,"298421","J.Gresham","Jade","Gresham","ESS","FWD",67,160.9
354,"1023266","F.Callaghan","Finn","Callaghan","GWS","MID",73,161.3
76,"1009317","B.Reville","Bruce","Reville","BRL","MID/FWD",0,161.4
681,"996765","T.Papley","Tom","Papley","SYD","FWD",73,161.5
586,"1019916","K.McAuliffe","Kane","McAuliffe","RIC","MID",0,161.5
755,"1024188","C.Hall","Clay","Hall","WCE","MID",0,161.8
485,"1028551","W.Dawson","Wil","Dawson","NTH","DEF/FWD",0,162.5
100,"1004912","T.De Koning","Tom","De Koning","CAR","RUC",74,162.6
50,"990609","C.Cameron","Charlie","Cameron","BRL","FWD",72,162.9
430,"1027935","J.Weddle","Josh","Weddle","HAW","DEF",67,163.6
238,"294613","J.O'Meara","Jaeger","O'Meara","FRE","MID",80,164.3
739,"990290","T.Barrass","Tom","Barrass","WCE","DEF",80,165.4
75,"1002235","C.Rayner","Cam","Rayner","BRL","FWD",69,165.5
637,"1024279","A.Schoenmaker","Arie","Schoenmaker","STK","DEF",0,166.1
114,"297255","M.McGovern","Mitch","McGovern","CAR","DEF",80,166.3
763,"1028291","C.Livingstone","Coen","Livingstone","WCE","RUC/FWD",0,166.3
152,"1012828","F.Macrae","Finlay","Macrae","COL","FWD",39,167.1
232,"1028371","O.Jones","Odin","Jones","FRE","RUC",0,167.1
141,"1027673","H.DeMattia","Harry","DeMattia","COL","MID",0,167.6
368,"296324","J.Hogan","Jesse","Hogan","GWS","FWD",75,167.9
162,"1000072","J.Noble","John","Noble","COL","DEF",80,168.1
361,"1032042","P.Gothard","Phoenix","Gothard","GWS","FWD",0,168.3
655,"1024057","C.Cleary","Caiden","Cleary","SYD","MID",0,168.3
341,"1023681","G.Stevens","George","Stevens","GEE","MID",0,168.5
8,"1024023","D.Curtin","Daniel","Curtin","ADE","DEF/MID",0,169.1
177,"1005577","S.Draper","Sam","Draper","ESS","RUC",76,169.5
184,"290629","D.Heppell","Dyson","Heppell","ESS","DEF",80,169.9
