"coach","wins","draws","losses","total_points","position","simulation"
"Simon",6,0,15,33777,8,35
"Lester",16,0,5,37172,1,36
"Mark",14,0,7,35817,2,36
"Paul",12,0,9,36387,3,36
"Luke",11,0,10,34344,4,36
"Anthony",10,0,11,35204,5,36
"James",9,0,12,34593,6,36
"Jordan",7,0,14,33632,7,36
"Simon",5,0,16,33785,8,36
"Lester",16,0,5,36117,1,37
"Paul",13,0,8,36226,2,37
"Anthony",13,0,8,35162,3,37
"Mark",11,0,10,35300,4,37
"Luke",10,0,11,35073,5,37
"James",10,0,11,34692,6,37
"Simon",6,0,15,34108,7,37
"Jordan",5,0,16,31981,8,37
"Lester",16,0,5,36375,1,38
"Paul",13,0,8,37134,2,38
"Luke",12,0,9,35261,3,38
"Anthony",11,0,10,35325,4,38
"Mark",11,0,10,35128,5,38
"James",10,0,11,35087,6,38
"Simon",7,0,14,34091,7,38
"Jordan",4,0,17,32822,8,38
"Anthony",14,0,7,35151,1,39
"Lester",13,0,8,36293,2,39
"Paul",12,0,9,36043,3,39
"Mark",10,0,11,36016,4,39
"Luke",10,0,11,34338,5,39
"James",9,0,12,34428,6,39
"Simon",9,0,12,34164,7,39
"Jordan",7,0,14,32718,8,39
"Lester",16,0,5,36642,1,40
"Mark",12,0,9,35986,2,40
"Luke",11,0,10,34899,3,40
"Paul",10,0,11,35817,4,40
"Anthony",10,0,11,34873,5,40
"James",9,0,12,35049,6,40
"Simon",9,0,12,33957,7,40
"Jordan",7,0,14,33378,8,40
"Lester",17,0,4,37329,1,41
"James",15,0,6,35493,2,41
"Anthony",11,0,10,34519,3,41
"Luke",10,0,11,35346,4,41
"Mark",10,0,11,34848,5,41
"Paul",9,0,12,36100,6,41
"Jordan",8,0,13,33682,7,41
"Simon",4,0,17,33594,8,41
"Paul",14,0,7,37050,1,42
"Anthony",13,0,8,35737,2,42
"Lester",12,1,8,36361,3,42
"Mark",10,0,11,35348,4,42
"James",10,0,11,35019,5,42
"Luke",10,0,11,34506,6,42
"Jordan",9,1,11,33790,7,42
"Simon",5,0,16,32775,8,42
"Lester",15,0,6,36032,1,43
"James",13,0,8,34968,2,43
"Mark",12,0,9,35782,3,43
"Paul",11,0,10,36356,4,43
"Anthony",11,0,10,35196,5,43
"Luke",10,0,11,34538,6,43
"Jordan",7,0,14,32731,7,43
"Simon",5,0,16,33026,8,43
"Paul",15,0,6,36108,1,44
"Lester",14,0,7,36577,2,44
"Anthony",12,0,9,35815,3,44
"James",11,0,10,34961,4,44
"Mark",10,0,11,35633,5,44
"Luke",10,0,11,35322,6,44
"Simon",6,0,15,33761,7,44
"Jordan",6,0,15,33283,8,44
"Lester",16,0,5,36577,1,45
"Anthony",13,0,8,35940,2,45
"Paul",12,0,9,36944,3,45
"James",12,0,9,34915,4,45
"Luke",12,0,9,34659,5,45
"Mark",7,0,14,35514,6,45
"Jordan",6,0,15,33188,7,45
"Simon",6,0,15,32852,8,45
"Lester",15,0,6,36929,1,46
"Mark",12,0,9,35507,2,46
"Anthony",12,0,9,35262,3,46
"Paul",11,0,10,35917,4,46
"Luke",10,0,11,35147,5,46
"Simon",9,0,12,33975,6,46
"James",8,0,13,35152,7,46
"Jordan",7,0,14,33429,8,46
"Lester",17,0,4,36629,1,47
"Paul",14,0,7,36746,2,47
"James",12,0,9,35148,3,47
"Anthony",11,0,10,35798,4,47
"Luke",10,0,11,35124,5,47
"Mark",9,0,12,33945,6,47
"Jordan",8,0,13,33512,7,47
"Simon",3,0,18,32807,8,47
"Lester",13,0,8,35775,1,48
"Luke",13,0,8,35286,2,48
"James",12,0,9,35079,3,48
"Paul",11,0,10,35106,4,48
"Mark",10,0,11,34958,5,48
"Jordan",10,0,11,33045,6,48
"Anthony",9,0,12,35242,7,48
"Simon",6,0,15,33241,8,48
"Lester",16,0,5,37861,1,49
"Paul",14,0,7,36323,2,49
"Mark",12,0,9,36782,3,49
"Anthony",12,0,9,35248,4,49
"James",9,0,12,35040,5,49
"Luke",8,0,13,34672,6,49
"Simon",7,0,14,33941,7,49
"Jordan",6,0,15,32481,8,49
"Lester",15,0,6,36601,1,50
"Paul",13,0,8,36726,2,50
"Anthony",13,0,8,35809,3,50
"Mark",12,0,9,36077,4,50
"James",8,0,13,34610,5,50
"Luke",8,0,13,34455,6,50
"Simon",8,0,13,34066,7,50
"Jordan",7,0,14,33103,8,50
"Lester",17,0,4,36676,1,51
"Paul",16,0,5,37463,2,51
"Mark",11,0,10,35384,3,51
"Anthony",11,0,10,35247,4,51
"Luke",9,0,12,34854,5,51
"Jordan",9,0,12,33132,6,51
"James",7,0,14,33924,7,51
"Simon",4,0,17,32463,8,51
"Paul",14,0,7,36395,1,52
"Lester",13,0,8,35748,2,52
"Mark",13,0,8,35593,3,52
"Anthony",11,0,10,34572,4,52
"Luke",10,0,11,35471,5,52
"James",10,0,11,34481,6,52
"Jordan",9,0,12,33293,7,52
"Simon",4,0,17,32539,8,52
"Lester",14,0,7,36017,1,53
"Anthony",13,0,8,34633,2,53
"James",12,0,9,34500,3,53
"Paul",11,0,10,35911,4,53
"Mark",10,0,11,34884,5,53
"Luke",10,0,11,34633,6,53
"Simon",8,0,13,34163,7,53
