"coach","wins","draws","losses","total_points","position","simulation"
"James",8,0,13,34521,6,4999
"Simon",8,0,13,33440,7,4999
"Jordan",5,0,16,32458,8,4999
"Lester",15,0,6,36807,1,5000
"Paul",14,0,7,36726,2,5000
"Mark",12,0,9,35279,3,5000
"Luke",12,0,9,35141,4,5000
"James",11,0,10,35181,5,5000
"Anthony",9,0,12,34686,6,5000
"Simon",7,0,14,33951,7,5000
"Jordan",4,0,17,32527,8,5000
"Paul",16,0,5,37279,1,5001
"Lester",14,0,7,35900,2,5001
"Luke",12,0,9,34793,3,5001
"Mark",11,0,10,35034,4,5001
"James",10,0,11,33748,5,5001
"Anthony",8,0,13,35038,6,5001
"Jordan",7,0,14,32198,7,5001
"Simon",6,0,15,33571,8,5001
"Lester",15,0,6,36977,1,5002
"Paul",13,0,8,36092,2,5002
"Mark",12,0,9,34989,3,5002
"Anthony",11,0,10,35434,4,5002
"Luke",10,0,11,35076,5,5002
"James",10,0,11,34394,6,5002
"Jordan",8,0,13,32737,7,5002
"Simon",5,0,16,32750,8,5002
"Paul",15,0,6,36349,1,5003
"Mark",14,0,7,36342,2,5003
"Lester",13,0,8,35883,3,5003
"Luke",11,0,10,35518,4,5003
"James",9,0,12,34371,5,5003
"Anthony",8,0,13,34248,6,5003
"Jordan",8,0,13,32931,7,5003
"Simon",6,0,15,33127,8,5003
"Paul",14,1,6,36054,1,5004
"Lester",14,0,7,36353,2,5004
"Luke",12,0,9,34798,3,5004
"Mark",11,0,10,35445,4,5004
"James",11,0,10,34395,5,5004
"Anthony",9,1,11,34469,6,5004
"Simon",6,0,15,33238,7,5004
"Jordan",6,0,15,31951,8,5004
"Paul",15,0,6,36589,1,5005
"Lester",12,0,9,36460,2,5005
"Luke",12,0,9,35309,3,5005
"Anthony",11,0,10,35486,4,5005
"Mark",11,0,10,34561,5,5005
"James",9,0,12,34087,6,5005
"Jordan",8,0,13,32899,7,5005
"Simon",6,0,15,33170,8,5005
"Paul",14,0,7,36489,1,5006
"Lester",14,0,7,36337,2,5006
"Anthony",12,0,9,34867,3,5006
"Mark",12,0,9,34555,4,5006
"Luke",10,0,11,34353,5,5006
"James",8,0,13,34520,6,5006
"Jordan",8,0,13,33869,7,5006
"Simon",6,0,15,33511,8,5006
"Paul",14,0,7,37127,1,5007
"Lester",14,0,7,36524,2,5007
"Mark",11,0,10,35698,3,5007
"Anthony",11,0,10,35393,4,5007
"Luke",11,0,10,34717,5,5007
"James",8,0,13,34048,6,5007
"Simon",8,0,13,33632,7,5007
"Jordan",7,0,14,32946,8,5007
"Lester",16,0,5,36851,1,5008
"Paul",13,0,8,36056,2,5008
"James",13,0,8,35105,3,5008
"Mark",12,0,9,36025,4,5008
"Anthony",10,0,11,35222,5,5008
"Simon",9,0,12,33696,6,5008
"Luke",7,0,14,33836,7,5008
"Jordan",4,0,17,32883,8,5008
"Lester",14,0,7,36339,1,5009
"Luke",14,0,7,34839,2,5009
"James",11,0,10,34968,3,5009
"Mark",11,0,10,34924,4,5009
"Paul",10,0,11,35439,5,5009
"Anthony",10,0,11,35169,6,5009
"Simon",7,0,14,33523,7,5009
"Jordan",7,0,14,32557,8,5009
"Paul",14,0,7,36660,1,5010
"Lester",14,0,7,36491,2,5010
"Mark",13,0,8,36033,3,5010
"Anthony",13,0,8,35043,4,5010
"Luke",9,0,12,34983,5,5010
"James",8,0,13,34721,6,5010
"Jordan",7,0,14,33228,7,5010
"Simon",6,0,15,33466,8,5010
"Lester",13,0,8,36245,1,5011
"Luke",12,0,9,34974,2,5011
"Paul",11,0,10,36377,3,5011
"Mark",11,0,10,35840,4,5011
"Anthony",11,0,10,35480,5,5011
"James",11,0,10,34357,6,5011
"Simon",8,0,13,34150,7,5011
"Jordan",7,0,14,32812,8,5011
"Paul",15,0,6,36802,1,5012
"Lester",13,0,8,35988,2,5012
"Anthony",11,0,10,35528,3,5012
"Mark",11,0,10,34895,4,5012
"Luke",11,0,10,34484,5,5012
"James",10,0,11,35284,6,5012
"Jordan",7,0,14,33068,7,5012
"Simon",6,0,15,32748,8,5012
"Lester",16,0,5,36860,1,5013
"Paul",13,0,8,37113,2,5013
"Mark",12,0,9,36393,3,5013
"Luke",12,0,9,35309,4,5013
"James",11,0,10,35338,5,5013
"Anthony",8,0,13,34401,6,5013
"Jordan",6,0,15,33696,7,5013
"Simon",6,0,15,33172,8,5013
"Lester",17,0,4,36901,1,5014
"Anthony",12,0,9,34927,2,5014
"Mark",11,0,10,35468,3,5014
"Luke",11,0,10,34091,4,5014
"Paul",10,0,11,35982,5,5014
"James",9,0,12,34433,6,5014
"Simon",7,0,14,33962,7,5014
"Jordan",7,0,14,32352,8,5014
"Lester",13,0,8,36650,1,5015
"Anthony",12,0,9,35336,2,5015
"Paul",11,0,10,36278,3,5015
"Mark",11,0,10,36015,4,5015
"James",10,0,11,34046,5,5015
"Luke",9,0,12,34056,6,5015
"Simon",9,0,12,33353,7,5015
"Jordan",9,0,12,33306,8,5015
"Lester",15,0,6,36689,1,5016
"Paul",14,0,7,36546,2,5016
"Anthony",13,0,8,36168,3,5016
"Luke",13,0,8,35349,4,5016
"Mark",9,0,12,35314,5,5016
"Simon",8,0,13,33667,6,5016
"James",6,0,15,35253,7,5016
"Jordan",6,0,15,33247,8,5016
"Lester",16,0,5,36923,1,5017
"Paul",13,0,8,36305,2,5017
"Mark",11,0,10,35800,3,5017
"Anthony",11,0,10,35519,4,5017
"James",11,0,10,34673,5,5017
"Luke",8,0,13,34057,6,5017
"Simon",7,0,14,33924,7,5017
"Jordan",7,0,14,32646,8,5017
"Lester",16,0,5,36371,1,5018
"Paul",14,0,7,37438,2,5018
"Mark",14,0,7,35944,3,5018
"Anthony",10,0,11,35312,4,5018
"Luke",10,0,11,34948,5,5018
"James",9,0,12,34294,6,5018
"Jordan",6,0,15,33550,7,5018
"Simon",5,0,16,32575,8,5018
"Paul",14,0,7,36010,1,5019
"Anthony",14,0,7,35150,2,5019
"Lester",13,0,8,35897,3,5019
"Mark",11,0,10,34970,4,5019
"Luke",11,0,10,34922,5,5019
"James",8,0,13,34472,6,5019
"Jordan",7,0,14,32776,7,5019
"Simon",6,0,15,33447,8,5019
"Paul",14,0,7,36105,1,5020
"Mark",13,0,8,36051,2,5020
"Anthony",12,0,9,35251,3,5020
"Lester",11,0,10,36109,4,5020
"Luke",11,0,10,34470,5,5020
"Simon",9,0,12,33497,6,5020
"James",8,0,13,34300,7,5020
"Jordan",6,0,15,32927,8,5020
"Lester",17,0,4,37328,1,5021
"James",14,0,7,34849,2,5021
"Paul",11,0,10,36404,3,5021
"Mark",11,0,10,35519,4,5021
"Luke",10,0,11,35924,5,5021
"Anthony",9,0,12,35470,6,5021
"Jordan",6,0,15,33298,7,5021
"Simon",6,0,15,33270,8,5021
"Paul",13,0,8,37140,1,5022
"Lester",12,0,9,35990,2,5022
"Anthony",12,0,9,35080,3,5022
"James",11,0,10,35496,4,5022
"Mark",11,0,10,35027,5,5022
"Jordan",10,0,11,34297,6,5022
"Luke",8,0,13,34483,7,5022
"Simon",7,0,14,32775,8,5022
"Lester",16,0,5,36381,1,5023
"Paul",12,0,9,36802,2,5023
"Anthony",12,0,9,35879,3,5023
"Luke",11,0,10,34821,4,5023
"James",10,0,11,34963,5,5023
"Mark",9,0,12,34888,6,5023
"Simon",8,0,13,33157,7,5023
"Jordan",6,0,15,32059,8,5023
"Paul",15,0,6,37556,1,5024
"Lester",15,0,6,36626,2,5024
"Anthony",13,0,8,34934,3,5024
"Mark",12,0,9,35650,4,5024
"Jordan",10,0,11,33197,5,5024
"James",8,0,13,34684,6,5024
"Luke",8,0,13,34652,7,5024
"Simon",3,0,18,32583,8,5024
"Paul",15,0,6,37331,1,5025
"Lester",13,0,8,36208,2,5025
"Mark",12,0,9,35197,3,5025
"Luke",11,0,10,34695,4,5025
"Anthony",10,0,11,34492,5,5025
"James",9,0,12,34453,6,5025
"Jordan",8,0,13,32923,7,5025
"Simon",6,0,15,33163,8,5025
"Lester",15,0,6,36618,1,5026
"Paul",13,1,7,36916,2,5026
"Mark",12,0,9,36092,3,5026
"Anthony",11,0,10,34555,4,5026
"Luke",10,0,11,34602,5,5026
"James",9,0,12,34568,6,5026
"Jordan",9,0,12,32942,7,5026
"Simon",4,1,16,32833,8,5026
"Paul",17,0,4,37337,1,5027
"Lester",14,0,7,36669,2,5027
"James",12,0,9,34457,3,5027
"Luke",11,0,10,35284,4,5027
"Anthony",11,0,10,35093,5,5027
"Mark",9,0,12,35560,6,5027
"Jordan",6,0,15,33080,7,5027
"Simon",4,0,17,33415,8,5027
"Lester",17,0,4,36857,1,5028
"Anthony",13,0,8,35402,2,5028
"Luke",12,0,9,35283,3,5028
"Paul",11,0,10,36010,4,5028
"James",10,0,11,34343,5,5028
"Mark",7,0,14,35048,6,5028
"Simon",7,0,14,33345,7,5028
"Jordan",7,0,14,32838,8,5028
"Paul",16,0,5,37088,1,5029
"Lester",15,0,6,36925,2,5029
"Mark",14,0,7,36409,3,5029
"James",12,0,9,34880,4,5029
"Luke",10,0,11,35077,5,5029
"Anthony",6,0,15,34322,6,5029
"Simon",6,0,15,33371,7,5029
"Jordan",5,0,16,31622,8,5029
"Paul",14,0,7,37322,1,5030
"Lester",13,0,8,36180,2,5030
"Mark",12,0,9,36224,3,5030
"James",10,0,11,34404,4,5030
"Simon",10,0,11,34032,5,5030
"Jordan",9,1,11,33990,6,5030
"Anthony",8,0,13,34467,7,5030
"Luke",7,1,13,34799,8,5030
"Paul",15,0,6,38207,1,5031
"Lester",14,0,7,36325,2,5031
"Mark",13,0,8,36090,3,5031
"Luke",11,0,10,35192,4,5031
"Anthony",10,0,11,34764,5,5031
"James",8,0,13,34505,6,5031
"Jordan",8,0,13,33317,7,5031
"Simon",5,0,16,33078,8,5031
"Lester",15,0,6,36739,1,5032
"Paul",13,0,8,36324,2,5032
"Anthony",12,0,9,35048,3,5032
"Luke",10,0,11,34697,4,5032
"James",9,0,12,34887,5,5032
"Simon",9,0,12,33956,6,5032
"Mark",8,0,13,35297,7,5032
"Jordan",8,0,13,32817,8,5032
"Paul",14,0,7,36881,1,5033
"Lester",13,0,8,36309,2,5033
"Anthony",12,0,9,35766,3,5033
"Luke",12,0,9,34899,4,5033
"Mark",10,0,11,34938,5,5033
"Jordan",9,0,12,32935,6,5033
"James",8,0,13,34379,7,5033
"Simon",6,0,15,33326,8,5033
"Paul",14,0,7,36824,1,5034
"Lester",13,0,8,35932,2,5034
"Anthony",12,0,9,35126,3,5034
"Mark",11,0,10,35498,4,5034
"James",11,0,10,34380,5,5034
"Luke",10,0,11,35164,6,5034
"Jordan",7,0,14,32521,7,5034
"Simon",6,0,15,33700,8,5034
"Paul",15,0,6,37280,1,5035
"Lester",14,0,7,36160,2,5035
"Luke",14,0,7,35754,3,5035
"Anthony",11,0,10,35265,4,5035
"Mark",9,0,12,35058,5,5035
"Simon",9,0,12,33451,6,5035
"James",6,0,15,33923,7,5035
"Jordan",6,0,15,32707,8,5035
"Lester",17,0,4,36713,1,5036
"Paul",12,0,9,36255,2,5036
"Luke",12,0,9,35472,3,5036
"Anthony",12,0,9,34471,4,5036
"James",10,0,11,34391,5,5036
"Mark",8,0,13,35023,6,5036
"Jordan",7,0,14,33046,7,5036
"Simon",6,0,15,33863,8,5036
"Paul",14,0,7,36577,1,5037
"Anthony",13,0,8,35499,2,5037
"Lester",12,0,9,36655,3,5037
"Mark",12,0,9,35746,4,5037
"Luke",11,0,10,34812,5,5037
"James",9,0,12,34891,6,5037
"Jordan",9,0,12,33408,7,5037
"Simon",4,0,17,33651,8,5037
"Paul",13,0,8,36123,1,5038
"Anthony",13,0,8,35709,2,5038
"Luke",13,0,8,35379,3,5038
"Lester",12,0,9,36203,4,5038
"Mark",11,0,10,36301,5,5038
"Jordan",9,0,12,32864,6,5038
"James",7,0,14,34568,7,5038
"Simon",6,0,15,33102,8,5038
"Lester",14,0,7,36587,1,5039
"Paul",12,0,9,36284,2,5039
"James",12,0,9,35941,3,5039
"Anthony",12,0,9,35247,4,5039
"Luke",12,0,9,34989,5,5039
"Mark",9,0,12,35593,6,5039
"Jordan",7,0,14,32702,7,5039
"Simon",6,0,15,34019,8,5039
"Lester",16,0,5,37057,1,5040
"Paul",14,0,7,36950,2,5040
"Luke",12,0,9,34734,3,5040
"Anthony",11,0,10,34622,4,5040
"James",10,0,11,34962,5,5040
"Mark",9,0,12,35444,6,5040
"Jordan",7,0,14,33352,7,5040
"Simon",5,0,16,33280,8,5040
"Lester",15,0,6,36579,1,5041
"Anthony",14,0,7,35468,2,5041
"Paul",13,0,8,36981,3,5041
"Luke",11,0,10,35623,4,5041
"James",9,0,12,35010,5,5041
"Mark",8,0,13,35090,6,5041
"Jordan",8,0,13,32846,7,5041
"Simon",6,0,15,33153,8,5041
"Lester",16,0,5,36312,1,5042
"Mark",14,0,7,36399,2,5042
"Luke",12,0,9,35735,3,5042
"Paul",12,0,9,35708,4,5042
"Anthony",11,0,10,35556,5,5042
"Jordan",9,0,12,33651,6,5042
"James",7,0,14,33879,7,5042
"Simon",3,0,18,32792,8,5042
"Paul",14,0,7,36913,1,5043
"Lester",14,0,7,35866,2,5043
"Mark",12,0,9,35687,3,5043
"Anthony",12,0,9,35181,4,5043
"Luke",10,0,11,34630,5,5043
"James",8,0,13,34635,6,5043
"Simon",8,0,13,33688,7,5043
"Jordan",6,0,15,32550,8,5043
"Lester",16,0,5,36558,1,5044
"Paul",14,0,7,37055,2,5044
"Anthony",12,0,9,36118,3,5044
"Luke",11,0,10,35468,4,5044
"Mark",11,0,10,35399,5,5044
"James",9,0,12,34384,6,5044
"Jordan",6,0,15,32647,7,5044
"Simon",5,0,16,32691,8,5044
"Lester",14,0,7,36632,1,5045
"Paul",14,0,7,35872,2,5045
"Luke",12,0,9,35492,3,5045
"Anthony",12,0,9,35202,4,5045
"Mark",10,0,11,35804,5,5045
"James",10,0,11,34871,6,5045
"Jordan",9,0,12,33589,7,5045
"Simon",3,0,18,33714,8,5045
"Lester",14,0,7,36630,1,5046
"Anthony",13,0,8,35106,2,5046
"Luke",12,0,9,34761,3,5046
"Paul",11,0,10,36731,4,5046
"Mark",10,0,11,35668,5,5046
"James",10,0,11,34343,6,5046
"Simon",8,0,13,33738,7,5046
"Jordan",6,0,15,32915,8,5046
"Lester",14,0,7,36308,1,5047
"James",14,0,7,35034,2,5047
"Paul",13,0,8,36412,3,5047
"Anthony",13,0,8,35956,4,5047
"Luke",11,0,10,34629,5,5047
"Mark",7,0,14,34556,6,5047
"Simon",6,0,15,33089,7,5047
"Jordan",6,0,15,32182,8,5047
"Luke",13,0,8,35089,1,5048
"Paul",12,0,9,36576,2,5048
"Lester",12,0,9,35868,3,5048
"Mark",12,0,9,35712,4,5048
"James",12,0,9,34652,5,5048
"Anthony",10,0,11,34645,6,5048
"Simon",7,0,14,33576,7,5048
"Jordan",6,0,15,32172,8,5048
"Paul",16,0,5,37537,1,5049
"Anthony",13,0,8,35916,2,5049
"Mark",13,0,8,35576,3,5049
"Lester",12,0,9,36594,4,5049
"James",10,0,11,34854,5,5049
"Luke",8,0,13,34694,6,5049
"Jordan",8,0,13,32886,7,5049
"Simon",4,0,17,33019,8,5049
"Paul",17,0,4,37159,1,5050
"Lester",14,0,7,36761,2,5050
"Mark",12,0,9,36023,3,5050
"Anthony",12,0,9,35457,4,5050
"Luke",10,0,11,34668,5,5050
"James",7,0,14,34716,6,5050
"Simon",6,0,15,33597,7,5050
"Jordan",6,0,15,32799,8,5050
"Paul",14,0,7,36540,1,5051
"James",13,0,8,34921,2,5051
"Lester",12,0,9,36172,3,5051
"Luke",12,0,9,34861,4,5051
"Anthony",11,0,10,35025,5,5051
"Mark",10,0,11,35186,6,5051
"Simon",7,0,14,33094,7,5051
"Jordan",5,0,16,32838,8,5051
"Paul",13,0,8,36463,1,5052
"Lester",12,0,9,36183,2,5052
"James",12,0,9,34923,3,5052
"Luke",11,0,10,34784,4,5052
"Anthony",11,0,10,34761,5,5052
"Mark",10,0,11,35705,6,5052
"Simon",8,0,13,33395,7,5052
"Jordan",7,0,14,33399,8,5052
"Lester",15,0,6,36747,1,5053
"Paul",13,0,8,36628,2,5053
"Mark",13,0,8,35428,3,5053
"Anthony",12,0,9,34879,4,5053
"Luke",10,0,11,34875,5,5053
"James",8,0,13,34692,6,5053
"Jordan",8,0,13,32774,7,5053
"Simon",5,0,16,33194,8,5053
"Lester",14,0,7,36723,1,5054
"Luke",14,0,7,35545,2,5054
"Anthony",12,0,9,35696,3,5054
"Paul",11,0,10,36003,4,5054
"Mark",11,0,10,35838,5,5054
"James",8,0,13,34690,6,5054
"Jordan",8,0,13,33680,7,5054
"Simon",6,0,15,33747,8,5054
"Paul",16,0,5,37617,1,5055
"Lester",14,0,7,36097,2,5055
"Anthony",11,0,10,35526,3,5055
"Mark",9,0,12,35192,4,5055
"James",9,0,12,34436,5,5055
"Jordan",9,0,12,33879,6,5055
"Luke",8,0,13,34435,7,5055
"Simon",8,0,13,33760,8,5055
"Anthony",14,0,7,35482,1,5056
"Paul",13,0,8,36357,2,5056
"Lester",11,0,10,36145,3,5056
"Luke",11,0,10,35276,4,5056
"Mark",10,0,11,34817,5,5056
"Jordan",9,0,12,33991,6,5056
"James",8,0,13,34494,7,5056
"Simon",8,0,13,34013,8,5056
"Lester",14,0,7,36398,1,5057
"Paul",14,0,7,36379,2,5057
"Luke",12,0,9,35378,3,5057
"Anthony",12,0,9,34982,4,5057
"Mark",10,0,11,35096,5,5057
"James",10,0,11,34562,6,5057
"Simon",6,0,15,33351,7,5057
"Jordan",6,0,15,32638,8,5057
"Lester",14,0,7,36644,1,5058
"Paul",13,0,8,36582,2,5058
"Mark",13,0,8,36241,3,5058
"Anthony",13,0,8,35954,4,5058
"Luke",10,0,11,34535,5,5058
"James",9,0,12,35091,6,5058
"Jordan",7,0,14,33876,7,5058
"Simon",5,0,16,33122,8,5058
"Lester",16,0,5,36301,1,5059
"Luke",13,0,8,35059,2,5059
"Paul",12,0,9,36330,3,5059
"Mark",10,0,11,34769,4,5059
"Anthony",10,0,11,34618,5,5059
"Jordan",10,0,11,34182,6,5059
"James",8,0,13,34876,7,5059
"Simon",5,0,16,33457,8,5059
"Lester",14,0,7,37507,1,5060
"Luke",13,0,8,35200,2,5060
"Anthony",11,0,10,35774,3,5060
"Paul",10,0,11,36831,4,5060
"James",10,0,11,35219,5,5060
"Mark",9,0,12,35532,6,5060
"Simon",9,0,12,34719,7,5060
"Jordan",8,0,13,33137,8,5060
"Lester",14,0,7,36961,1,5061
"Paul",14,0,7,36608,2,5061
"Luke",12,0,9,34778,3,5061
"Mark",11,0,10,35060,4,5061
"James",11,0,10,34486,5,5061
"Anthony",10,0,11,34920,6,5061
"Jordan",8,0,13,33184,7,5061
"Simon",4,0,17,32586,8,5061
"Lester",15,0,6,37062,1,5062
"Anthony",14,0,7,35655,2,5062
"James",13,0,8,35099,3,5062
"Mark",11,0,10,35934,4,5062
"Paul",9,0,12,36699,5,5062
"Simon",8,0,13,33363,6,5062
"Luke",7,0,14,35107,7,5062
"Jordan",7,0,14,32908,8,5062
"Anthony",14,0,7,35585,1,5063
"Lester",13,0,8,36009,2,5063
"Paul",12,0,9,36615,3,5063
"Luke",11,0,10,34879,4,5063
"James",11,0,10,34793,5,5063
"Simon",8,0,13,33338,6,5063
"Jordan",8,0,13,33189,7,5063
"Mark",7,0,14,35079,8,5063
"Lester",17,0,4,37037,1,5064
"Paul",15,0,6,36930,2,5064
"Anthony",14,0,7,35682,3,5064
"Mark",11,0,10,35671,4,5064
"Luke",10,0,11,34556,5,5064
"James",10,0,11,34519,6,5064
"Jordan",5,0,16,32715,7,5064
"Simon",2,0,19,33080,8,5064
"Lester",14,0,7,36980,1,5065
"Paul",12,1,8,36560,2,5065
"Anthony",12,0,9,34725,3,5065
"Luke",11,1,9,35336,4,5065
"Mark",10,0,11,35367,5,5065
"Simon",10,0,11,33982,6,5065
"James",8,0,13,34521,7,5065
"Jordan",6,0,15,32737,8,5065
"Lester",15,0,6,36388,1,5066
"Paul",12,0,9,36427,2,5066
"Anthony",12,0,9,34716,3,5066
"Mark",11,0,10,35184,4,5066
"James",10,0,11,35141,5,5066
"Simon",10,0,11,33968,6,5066
"Luke",8,0,13,33969,7,5066
"Jordan",6,0,15,33110,8,5066
"Paul",15,0,6,36802,1,5067
"Lester",14,0,7,36150,2,5067
"Anthony",12,0,9,35576,3,5067
"Mark",10,0,11,35181,4,5067
"James",10,0,11,34830,5,5067
"Jordan",10,0,11,32957,6,5067
"Luke",9,0,12,34754,7,5067
"Simon",4,0,17,32459,8,5067
"Lester",15,0,6,36153,1,5068
"Mark",13,0,8,35928,2,5068
"Anthony",13,0,8,34732,3,5068
"Paul",12,0,9,36522,4,5068
"Luke",10,0,11,34628,5,5068
"James",9,0,12,34818,6,5068
"Jordan",7,0,14,32770,7,5068
"Simon",5,0,16,33250,8,5068
"Paul",17,0,4,36703,1,5069
"Mark",13,0,8,35892,2,5069
"Lester",12,0,9,36194,3,5069
"Anthony",11,0,10,34843,4,5069
"James",8,0,13,34970,5,5069
"Luke",8,0,13,34735,6,5069
"Simon",8,0,13,33506,7,5069
"Jordan",7,0,14,33284,8,5069
"Paul",15,0,6,36979,1,5070
"Lester",13,0,8,36192,2,5070
"Anthony",13,0,8,35665,3,5070
"Luke",11,0,10,35089,4,5070
"Jordan",11,0,10,33873,5,5070
"Simon",8,0,13,33348,6,5070
"Mark",7,0,14,34861,7,5070
"James",6,0,15,34017,8,5070
"Paul",15,0,6,36500,1,5071
"Lester",13,0,8,36197,2,5071
"Anthony",13,0,8,36118,3,5071
"Mark",12,0,9,35760,4,5071
"Luke",11,0,10,34941,5,5071
"James",8,0,13,34833,6,5071
"Jordan",8,0,13,33000,7,5071
"Simon",4,0,17,32807,8,5071
"Lester",15,0,6,36635,1,5072
"Paul",14,0,7,37074,2,5072
"Anthony",14,0,7,35186,3,5072
"Mark",10,0,11,35715,4,5072
"James",9,0,12,34993,5,5072
"Luke",9,0,12,33729,6,5072
"Jordan",7,0,14,32571,7,5072
"Simon",6,0,15,33343,8,5072
"Paul",15,0,6,37222,1,5073
"Luke",12,0,9,35021,2,5073
"Lester",11,0,10,35944,3,5073
"Mark",10,0,11,35454,4,5073
"James",10,0,11,34282,5,5073
"Anthony",10,0,11,34025,6,5073
"Jordan",10,0,11,33389,7,5073
"Simon",6,0,15,33576,8,5073
"Paul",15,0,6,37017,1,5074
"Lester",14,0,7,36635,2,5074
"Luke",12,0,9,35214,3,5074
"Mark",12,0,9,34950,4,5074
"James",10,0,11,34281,5,5074
"Anthony",9,0,12,34706,6,5074
"Simon",6,0,15,33077,7,5074
"Jordan",6,0,15,32703,8,5074
"Paul",13,0,8,36696,1,5075
"Lester",13,0,8,36602,2,5075
"Luke",13,0,8,35477,3,5075
"Anthony",12,0,9,35524,4,5075
"Mark",11,0,10,35291,5,5075
"James",10,0,11,35359,6,5075
"Simon",7,0,14,33629,7,5075
"Jordan",5,0,16,32347,8,5075
"Lester",15,0,6,36351,1,5076
"Paul",13,0,8,36484,2,5076
"Anthony",13,0,8,35335,3,5076
"James",11,0,10,35031,4,5076
"Luke",10,0,11,35025,5,5076
"Mark",8,0,13,35499,6,5076
"Simon",7,0,14,33462,7,5076
"Jordan",7,0,14,32964,8,5076
"Lester",15,0,6,36733,1,5077
"Paul",13,0,8,36959,2,5077
"Mark",13,0,8,35696,3,5077
"Anthony",12,0,9,34726,4,5077
"Luke",10,0,11,35080,5,5077
"James",9,0,12,34711,6,5077
"Simon",6,0,15,33763,7,5077
"Jordan",6,0,15,33238,8,5077
"Paul",16,0,5,38016,1,5078
"Luke",14,0,7,35325,2,5078
"Lester",13,0,8,36641,3,5078
"Anthony",11,0,10,35372,4,5078
"James",9,0,12,35179,5,5078
"Mark",8,0,13,34067,6,5078
"Simon",8,0,13,33535,7,5078
"Jordan",5,0,16,32285,8,5078
"Paul",14,1,6,36531,1,5079
"Lester",14,0,7,36369,2,5079
"Anthony",13,1,7,35428,3,5079
"Luke",12,0,9,35816,4,5079
"James",9,0,12,34701,5,5079
"Mark",8,0,13,35759,6,5079
"Simon",8,0,13,33575,7,5079
"Jordan",5,0,16,32766,8,5079
"Lester",15,0,6,36054,1,5080
"Paul",14,0,7,37169,2,5080
"Mark",12,0,9,36290,3,5080
"Anthony",12,0,9,35255,4,5080
"James",9,0,12,34756,5,5080
"Luke",8,0,13,34366,6,5080
"Simon",7,0,14,33548,7,5080
"Jordan",7,0,14,32590,8,5080
"Lester",13,0,8,36698,1,5081
"Anthony",13,0,8,35043,2,5081
"Simon",13,0,8,33939,3,5081
"Paul",12,0,9,35627,4,5081
"Mark",10,0,11,35622,5,5081
"James",8,0,13,34755,6,5081
"Luke",8,0,13,34359,7,5081
"Jordan",7,0,14,33530,8,5081
"Lester",16,0,5,36167,1,5082
"Paul",15,0,6,37244,2,5082
"Mark",11,0,10,34836,3,5082
"Anthony",10,0,11,34702,4,5082
"Jordan",10,0,11,33074,5,5082
"Luke",9,0,12,34657,6,5082
"James",8,0,13,34844,7,5082
"Simon",5,0,16,32859,8,5082
"Lester",14,0,7,36358,1,5083
"Anthony",14,0,7,35667,2,5083
"Mark",13,0,8,35956,3,5083
"Paul",12,0,9,36381,4,5083
"Simon",10,0,11,34223,5,5083
"Luke",7,0,14,34977,6,5083
"James",7,0,14,34336,7,5083
"Jordan",7,0,14,33054,8,5083
"Paul",16,0,5,36997,1,5084
"Lester",16,0,5,36783,2,5084
"James",13,0,8,35677,3,5084
"Anthony",11,0,10,35740,4,5084
"Luke",9,0,12,35251,5,5084
"Mark",8,0,13,35353,6,5084
"Jordan",7,0,14,31986,7,5084
"Simon",4,0,17,33271,8,5084
"Paul",13,0,8,35593,1,5085
"Luke",12,0,9,35669,2,5085
"James",11,1,9,35154,3,5085
"Lester",11,0,10,35651,4,5085
"Mark",11,0,10,34986,5,5085
"Anthony",9,0,12,35429,6,5085
"Jordan",8,1,12,33459,7,5085
"Simon",8,0,13,33450,8,5085
"Lester",15,0,6,36720,1,5086
"Anthony",14,0,7,36255,2,5086
"Paul",12,0,9,36628,3,5086
"Mark",12,0,9,36201,4,5086
"Luke",11,0,10,34961,5,5086
"James",8,0,13,34650,6,5086
"Jordan",8,0,13,32839,7,5086
"Simon",4,0,17,33476,8,5086
"Lester",16,0,5,36552,1,5087
"Paul",15,0,6,36398,2,5087
"Luke",15,0,6,35555,3,5087
"Anthony",11,0,10,35035,4,5087
"Mark",9,0,12,35317,5,5087
"James",8,0,13,34127,6,5087
"Jordan",6,0,15,33227,7,5087
"Simon",4,0,17,33524,8,5087
"Paul",16,0,5,37790,1,5088
"Lester",16,0,5,37088,2,5088
"Anthony",11,0,10,35556,3,5088
"Mark",9,0,12,35339,4,5088
"Luke",9,0,12,34333,5,5088
"Jordan",9,0,12,33154,6,5088
"James",8,0,13,34000,7,5088
"Simon",6,0,15,33117,8,5088
"Lester",15,0,6,36725,1,5089
"Paul",14,0,7,35878,2,5089
"Anthony",14,0,7,35376,3,5089
"Mark",11,0,10,35530,4,5089
"Luke",11,0,10,35459,5,5089
"James",9,0,12,34701,6,5089
"Jordan",6,0,15,33120,7,5089
"Simon",4,0,17,32843,8,5089
"Paul",15,0,6,36781,1,5090
"Lester",14,0,7,36756,2,5090
"Mark",12,0,9,35649,3,5090
"Anthony",12,0,9,35581,4,5090
"James",12,0,9,35416,5,5090
"Luke",8,0,13,34296,6,5090
"Jordan",6,0,15,33151,7,5090
"Simon",5,0,16,33796,8,5090
"Lester",16,0,5,36580,1,5091
"Jordan",12,0,9,34039,2,5091
"Paul",11,0,10,35812,3,5091
"Anthony",11,0,10,34947,4,5091
