season,round,fixture,matchup,teamID,teamName,coachID,coachName,team_score
2017,7,2,t2,20170180,Tuohy's Extra Dry,71052,Garter,1679
2017,7,3,t1,20170181,Absolute Steins,86078,Lester,1779
2017,7,3,t2,20170177,Free Tibont,10857,Melons,1619
2017,7,4,t1,20170179,I Dream of Viney,21562,Richo,1567
2017,7,4,t2,20170182,Wholesome Beams,45168,Kappaz,1547
2017,8,1,t1,20170175,Show Me The Mundy,300791,Pmac,1795
2017,8,1,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1647
2017,8,2,t1,20170177,Free Tibont,10857,Melons,1728
2017,8,2,t2,20170178,Libba Let Die,8258,Chief,1591
2017,8,3,t1,20170179,I Dream of Viney,21562,Richo,1611
2017,8,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1451
2017,8,4,t1,20170181,Absolute Steins,86078,Lester,1651
2017,8,4,t2,20170182,Wholesome Beams,45168,Kappaz,1620
2017,9,1,t1,20170177,Free Tibont,10857,Melons,1477
2017,9,1,t2,20170175,Show Me The Mundy,300791,Pmac,1530
2017,9,2,t1,20170179,I Dream of Viney,21562,Richo,1580
2017,9,2,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1806
2017,9,3,t1,20170178,Libba Let Die,8258,Chief,1570
2017,9,3,t2,20170182,Wholesome Beams,45168,Kappaz,1651
2017,9,4,t1,20170181,Absolute Steins,86078,Lester,1613
2017,9,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1734
2017,10,1,t1,20170179,I Dream of Viney,21562,Richo,1597
2017,10,1,t2,20170175,Show Me The Mundy,300791,Pmac,1639
2017,10,2,t1,20170177,Free Tibont,10857,Melons,1535
2017,10,2,t2,20170182,Wholesome Beams,45168,Kappaz,1641
2017,10,3,t1,20170181,Absolute Steins,86078,Lester,1569
2017,10,3,t2,20170176,TitchDntKillMyVibe,180650,Jmerc,1555
2017,10,4,t1,20170178,Libba Let Die,8258,Chief,1620
2017,10,4,t2,20170180,Tuohy's Extra Dry,71052,Garter,1532
2017,11,1,t1,20170175,Show Me The Mundy,300791,Pmac,980
2017,11,1,t2,20170182,Wholesome Beams,45168,Kappaz,1207
2017,11,2,t1,20170181,Absolute Steins,86078,Lester,1752
2017,11,2,t2,20170179,I Dream of Viney,21562,Richo,1188
2017,11,3,t1,20170177,Free Tibont,10857,Melons,1569
2017,11,3,t2,20170180,Tuohy's Extra Dry,71052,Garter,1464
2017,11,4,t1,20170178,Libba Let Die,8258,Chief,1252
