,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
68,Def,,,Hayden Young,FRE,No,17.8,-10.2,,96,89.2,45,"Role: Midfield role in 2024, scored mid to high 90s in the role in 2023",17.6,22,22,12777,1009256,CD_I1009256,,
69,Fwd,,,Toby Greene,GWS,No,24,-3.3,,82,88.5,55,Role: Playing forward in 2024 - carried injury in 2023.,24.4,21,30,12025,295344,CD_I295344,,
70,Mid,,,Patrick Cripps,CAR,No,9.1,-18.5,,94,88.4,66,,21.6,21,28,12261,990704,CD_I990704,,
71,Ruck,,,Reilly O'Brien,ADE,No,5.7,-13.9,,88,88.4,71,,16.5,23,28,12473,297523,CD_I297523,,
72,Fwd,,,Dylan Moore,HAW,No,23.5,-3.8,,84,88,54,"Illness: Glandular fever, could miss several rounds of the season.",20.7,23,24,12710,1006314,CD_I1006314,,
73,Mid,,,Scott Pendlebury,COL,No,8.7,-18.9,,78,88,95,,18,22,35,4182,260257,CD_I260257,,
74,Mid,,,Blake Acres,CAR,No,8.5,-19.1,,85,87.8,93,Interrupted pre-season (Minor): Shoulder surgery in off season,20,22,28,12276,296294,CD_I296294,,
75,Def,,,Callum Wilkie,STK,No,15.8,-12.2,,74,87.2,86,,17.5,23,27,12703,296422,CD_I296422,,
76,Mid,,,Karl Amon,HAW,No,7.5,-20.1,,95,86.8,76,"Role: May be off halfback, can be 100+ may get DPP. But very risky.",20.6,21,28,12357,297354,CD_I297354,,
77,Mid,,,Jordan De Goey,COL,No,7.5,-20.1,,92,86.8,87,,23.4,18,27,12318,994185,CD_I994185,,
78,Mid,,,Cameron Guthrie,GEE,No,7.5,-20.1,,85,86.8,72,Injury: Soft tissue injury in first practice match. Massive injury risk. Could score near 100 if fit.,19.7,6,31,11884,290550,CD_I290550,,
79,Fwd,Mid,,Shai Bolton,RIC,Yes,22.3,-5,,85,86.8,63,,23.8,23,25,12535,993993,CD_I993993,,
80,Fwd,,,Charlie Curnow,CAR,No,22.3,-5,,81,86.8,61,,27.2,23,26,12421,996731,CD_I996731,,
81,Mid,,,James Worpel,HAW,No,7,-20.6,,84,86.3,107,,14.5,23,24,12619,1002222,CD_I1002222,,
82,Def,,,Mason Redman,ESS,No,14.6,-13.4,,85,86,79,,20.7,23,26,12437,997078,CD_I997078,,
83,Mid,,,Bailey Scott,NTH,No,6.3,-21.3,,88,85.6,105,Mid Punt/Interrupted pre-season: Calf/potential for Def DPP. Watch pre-season role.,24.5,23,23,12701,1006058,CD_I1006058,,
84,Def,,,Bailey Dale,WBD,No,13.9,-14.1,,86,85.3,82,"Role: Likely half back - however, rumor switched to forward.",25.2,23,27,12354,996708,CD_I996708,,
85,Def,Mid,,Angus Brayshaw,MEL,Yes,13.9,-14.1,,0,85.3,70,Retired.,16.7,23,27,12322,298279,CD_I298279,,
86,Mid,,,Nic Martin,ESS,No,5.9,-21.7,,95,85.2,90,Role: slated for a HB distributor role in 2024. May get early DPP.,26.9,23,22,12945,1026850,CD_I1026850,,
87,Fwd,Mid,,Dayne Zorko,BRL,Yes,20.3,-7,,77,84.8,75,Role: Full pre-season at this stage and in good health. Varibale role and scorer.,22.3,17,34,12076,261224,CD_I261224,,
88,Fwd,Ruck,,Luke Jackson,FRE,Yes,20.2,-7.1,,83,84.7,57,,25.3,23,22,12779,1009399,CD_I1009399,,
89,Def,,,Lachie Ash,GWS,No,12.9,-15.1,,84,84.3,96,,15.2,23,22,12782,1009253,CD_I1009253,,
90,Mid,,,Callum Mills,SYD,No,4.8,-22.8,,90,84.1,83,Interrupted pre-season (Major): Shoulder Injury. Variable Roll when selected. Previous 110 scorer.,30.8,19,26,12413,993905,CD_I993905,,
91,Ruck,,,Darcy Cameron,COL,No,1.3,-18.3,,85,84,98,,19.5,16,28,12660,990291,CD_I990291,,
92,Def,,,Lachie Weller,GCS,No,12.4,-15.6,,75,83.8,112,Injury: ACL - Unknown how many games he will play in 2024,24.3,9,27,12385,298524,CD_I298524,,
93,Fwd,Mid,,Bailey Smith,WBD,Yes,18.8,-8.5,,0,83.3,77,"Injury: ACL, No games 2024",20.9,19,23,12692,1006130,CD_I1006130,,
94,Fwd,,,Jeremy Cameron,GEE,No,18.5,-8.8,,81,83,74,,31.2,20,30,12017,293845,CD_I293845,,
95,Mid,,,Jack Crisp,COL,No,3.6,-24,,83,82.9,100,,16.4,23,30,12061,293871,CD_I293871,,
96,Mid,,,Will Ashcroft,BRL,No,3.6,-24,,70,82.9,104,Injury: ACL may play late in 2024,22.2,18,19,13040,1023517,CD_I1023517,,
97,Ruck,,,Oscar McInerney,BRL,No,0,-19.6,,81,82.7,101,,18.6,22,29,12617,1005521,CD_I1005521,,
98,Def,,,Wil Powell,GCS,No,10.7,-17.3,,84,82.1,108,,24.4,18,24,12652,1007881,CD_I1007881,,
99,Mid,,,Conor Nash,HAW,No,2.7,-24.9,,80,82,138,,24.2,23,25,12670,1007124,CD_I1007124,,
100,Def,,,Andrew McGrath,ESS,No,10.4,-17.6,,78,81.8,94,Role: scoring may be impacted by Nic Martin move.,16.2,23,25,12491,998102,CD_I998102,,
