"id","feed_id","player_name","team","pos","proj"
180,"271129","T.Goldstein","ESS","RUC",95.45
202,"1001026","J.Ridley","ESS","DEF",94.88
640,"296205","J.Steele","STK","MID",94.75
159,"291856","T.Mitchell","COL","MID",94.65
68,"1005521","O.McInerney","BRL","RUC",94.36
585,"290847","D.Martin","RIC","FWD",94.35
645,"296422","C.Wilkie","STK","DEF",94.22
163,"260257","S.Pendlebury","COL","MID",93.95
255,"1009256","H.Young","FRE","DEF",93.95
67,"1000978","H.McCluggage","BRL","MID",93.73
648,"295340","M.Wood","STK","MID",92.96
389,"294305","L.Whitfield","GWS","DEF",92.86
703,"295136","C.Daniel","WBD","MID/FWD",92.83
133,"990291","D.Cameron","COL","RUC",92.19
603,"294674","N.Vlastuin","RIC","DEF",92.1
289,"1007881","W.Powell","GCS","DEF",91.89
304,"296733","M.Blicavs","GEE","RUC/MID",91.58
363,"295344","T.Greene","GWS","FWD",91
415,"1006314","D.Moore","HAW","FWD",91
200,"997078","M.Redman","ESS","DEF",90.87
702,"996708","B.Dale","WBD","DEF",90.83
160,"298288","D.Moore","COL","DEF",90.52
315,"281065","M.Duncan","GEE","DEF",90.31
515,"1005729","T.Thomas","NTH","MID",90.25
749,"298268","L.Duggan","WCE","DEF",90.09
432,"1002222","J.Worpel","HAW","MID",89.96
436,"298279","A.Brayshaw","MEL","DEF/MID",89.83
124,"295461","A.Saad","CAR","DEF",89.59
41,"280506","T.Walker","ADE","FWD",89.55
652,"1006028","N.Blakey","SYD","DEF",89.39
136,"293871","J.Crisp","COL","MID",89.22
44,"996059","H.Andrews","BRL","DEF",89.09
273,"1009260","S.Flanders","GCS","MID/FWD",88.43
193,"1012013","N.Martin","ESS","MID",88.17
752,"993902","M.Flynn","WCE","RUC",88
220,"997033","B.Cox","FRE","DEF",87.85
7,"297401","M.Crouch","ADE","MID",97.57
312,"270917","P.Dangerfield","GEE","MID",87.72
679,"993905","C.Mills","SYD","MID",87.74
530,"280711","C.Dixon","PTA","FWD",87.69
87,"296294","B.Acres","CAR","MID",87.5
302,"994386","T.Atkins","GEE","MID",87.04
594,"1000981","D.Rioli","RIC","DEF",86.91
194,"998102","A.McGrath","ESS","DEF",86.87
555,"998529","I.Soldo","PTA","RUC",86.88
666,"298539","I.Heeney","SYD","FWD",86.55
390,"297354","K.Amon","HAW","MID",86.48
662,"293957","B.Grundy","SYD","RUC",86.24
725,"1008280","E.Richards","WBD","DEF",86.21
403,"993794","B.Hardwick","HAW","DEF",86.17
86,"261224","D.Zorko","BRL","MID/FWD",86
417,"1007124","C.Nash","HAW","MID",86
531,"1000972","W.Drew","PTA","MID",85.35
168,"280965","S.Sidebottom","COL","MID",85.29
643,"1015507","N.Wanganeen-Milera","STK","DEF",85.13
534,"298111","J.Finlayson","PTA","FWD",85.1
127,"993832","J.Weitering","CAR","DEF",85.09
204,"998215","W.Setterfield","ESS","MID",85
16,"1004863","M.Hinge","ADE","DEF",84.86
462,"1009378","T.Rivers","MEL","DEF",84.83
46,"1023517","W.Ashcroft","BRL","MID",84.5
778,"998128","A.Witherden","WCE","DEF",84.5
773,"296296","D.Sheed","WCE","MID",84.33
766,"294859","J.McGovern","WCE","DEF",84.22
451,"281085","S.May","MEL","DEF",83.9
348,"1009253","L.Ash","GWS","DEF",83.83
384,"1005247","S.Taylor","GWS","DEF",83.73
686,"1006126","J.Rowbottom","SYD","MID",83.65
300,"298524","L.Weller","GCS","DEF",83.33
560,"294318","O.Wines","PTA","MID",82.96
307,"293845","J.Cameron","GEE","FWD",82.8
52,"294518","J.Daniher","BRL","FWD",82.65
31,"1001195","I.Rankine","ADE","FWD",82.6
218,"1006152","J.Clark","FRE","DEF",82.48
36,"291748","B.Smith","ADE","DEF",82.32
592,"290627","D.Prestia","RIC","MID",81.25
369,"1008083","C.Idun","GWS","DEF",81.22
331,"1004938","G.Miers","GEE","FWD",80.78
19,"993946","B.Keays","ADE","FWD",80.61
367,"993107","H.Himmelberg","GWS","DEF",80.59
184,"290629","D.Heppell","ESS","DEF",80.45
154,"992010","B.Maynard","COL","DEF",80.41
238,"294613","J.O'Meara","FRE","MID",80.38
114,"297255","M.McGovern","CAR","DEF",80.32
728,"1006130","B.Smith","WBD","MID/FWD",80.26
739,"990290","T.Barrass","WCE","DEF",80.07
779,"292128","E.Yeo","WCE","DEF/MID",80
162,"1000072","J.Noble","COL","DEF",79.96
325,"1015889","M.Holmes","GEE","MID",79.81
562,"1000223","L.Baker","RIC","DEF/FWD",79.74
567,"295203","N.Broad","RIC","DEF",79.74
633,"1023272","M.Owens","STK","FWD",79.68
511,"993998","J.Simpkin","NTH","MID",79.33
167,"1000860","L.Schultz","COL","FWD",79.13
190,"298630","K.Langford","ESS","FWD",79.09
352,"1009708","J.Buckley","GWS","DEF",78.78
269,"293713","B.Ellis","GCS","MID",78.75
106,"294036","G.Hewett","CAR","MID",78.74
581,"993903","J.Hopper","RIC","MID",78.63
322,"261510","T.Hawkins","GEE","FWD",78.45
649,"291776","T.Adams","SYD","MID/FWD",78.23
173,"1006103","J.Caldwell","ESS","MID/FWD",78.19
502,"296355","L.McDonald","NTH","DEF",77.91
405,"296254","J.Impey","HAW","DEF",77.77
446,"294557","L.Hunter","MEL","MID",77.73
47,"1002312","Z.Bailey","BRL","MID/FWD",77.71
536,"1011640","J.Horne-Francis","PTA","MID",77.64
23,"990882","W.Milera","ADE","DEF",77.5
533,"1002253","K.Farrell","PTA","DEF",77.2
35,"270963","R.Sloane","ADE","MID",77
776,"1006114","B.Williams","WCE","RUC",76.91
48,"998133","J.Berry","BRL","MID",76.5
256,"998130","B.Ainsworth","GCS","FWD",76.38
758,"994385","J.Hunt","WCE","DEF",76.39
525,"992128","R.Burton","PTA","DEF",76.3
283,"1004095","J.Lukosius","GCS","FWD",76.05
508,"1006058","B.Scott","NTH","MID",75.83
177,"1005577","S.Draper","ESS","RUC",75.57
296,"290832","D.Swallow","GCS","MID",75.43
658,"998103","O.Florent","SYD","DEF",75.39
319,"290550","C.Guthrie","GEE","MID",83.67
463,"296359","C.Salem","MEL","DEF",75.29
110,"1001398","M.Kennedy","CAR","MID",75.14
721,"1002404","A.Naughton","WBD","FWD",75.13
450,"298281","J.Lever","MEL","DEF",75.09
357,"1002251","B.Daniels","GWS","FWD",75.06
423,"998114","J.Scrimshaw","HAW","DEF",75.06
368,"296324","J.Hogan","GWS","FWD",75
386,"280109","C.Ward","GWS","MID",74.95
683,"290307","D.Rampe","SYD","DEF",74.71
596,"1006133","J.Ross","RIC","MID",74.68
164,"1008089","I.Quaynor","COL","DEF",74.65
520,"294469","A.Aliir","PTA","DEF",74.55
712,"294101","J.Johannisen","WBD","DEF",74.55
42,"1011981","J.Worrell","ADE","DEF",74.5
563,"1002245","N.Balta","RIC","DEF",74.3
186,"1017088","B.Hobbs","ESS","MID",74.06
30,"1017051","J.Rachele","ADE","FWD",73.95
100,"1004912","T.De Koning","CAR","RUC",73.69
379,"998205","H.Perryman","GWS","DEF",73.63
17,"1006203","C.Jones","ADE","DEF/MID",73.61
320,"1004870","Z.Guthrie","GEE","DEF",73.61
250,"993940","C.Wagner","FRE","DEF",73.44
142,"293801","J.Elliott","COL","FWD",73.43
212,"295067","J.Aish","FRE","MID",73.35
354,"1023266","F.Callaghan","GWS","MID",73.11
37,"1017109","J.Soligo","ADE","MID",73.1
109,"1009241","B.Kemp","CAR","DEF",73.07
266,"295446","S.Collins","GCS","DEF",73
366,"295265","N.Haynes","GWS","DEF",73
505,"1012829","W.Phillips","NTH","MID",73
428,"1017110","J.Ward","HAW","MID",72.94
518,"1004965","T.Xerri","NTH","RUC",72.89
61,"291548","R.Lester","BRL","DEF",72.56
681,"996765","T.Papley","SYD","FWD",72.55
448,"298264","E.Langdon","MEL","MID",72.48
343,"292511","Z.Tuohy","GEE","MID",72.45
50,"990609","C.Cameron","BRL","FWD",72.3
259,"294472","R.Atkins","GCS","DEF",72.29
191,"298280","J.Laverde","ESS","DEF",72.26
676,"1011936","J.McInerney","SYD","MID",72.17
457,"296420","A.Neal-Bullen","MEL","FWD",72.04
260,"1008882","C.Ballard","GCS","DEF",71.91
621,"1005988","L.Henry","STK","MID",71.88
677,"1003203","H.McLean","SYD","RUC/FWD",71.67
51,"1006059","K.Coleman","BRL","DEF",71.35
674,"1008198","T.McCartin","SYD","DEF",71.36
284,"996464","D.Macpherson","GCS","DEF",71.3
147,"291313","J.Howe","COL","DEF",71.27
753,"290801","A.Gaff","WCE","MID",71.26
115,"1000953","H.McKay","CAR","FWD",71.21
407,"1000887","M.Lewis","HAW","FWD",71.13
84,"1017067","D.Wilmot","BRL","DEF",71.09
339,"280317","R.Stanley","GEE","RUC",71.08
441,"1001438","B.Fritsch","MEL","FWD",70.93
123,"298290","M.Pittonet","CAR","RUC",70.2
510,"280737","L.Shiels","NTH","MID",70.19
735,"992351","B.Williams","WBD","MID",70.04
185,"297452","N.Hind","ESS","DEF",69.88
527,"991930","D.Byrne-Jones","PTA","FWD",69.76
151,"1003130","P.Lipinski","COL","FWD",69.73
435,"1012825","J.Bowey","MEL","DEF",69.67
670,"997142","P.Ladhams","SYD","RUC",69.67
736,"1004385","O.Allen","WCE","FWD",69.52
498,"1001017","N.Larkey","NTH","FWD",69.43
205,"291783","D.Shiel","ESS","MID",69.42
481,"294508","A.Corr","NTH","DEF",69.42
356,"1001396","I.Cumming","GWS","DEF/MID",69.35
519,"998484","C.Zurhaar","NTH","FWD",69.31
654,"1013133","B.Campbell","SYD","DEF/MID",69.18
745,"290826","J.Cripps","WCE","FWD",69.17
75,"1002235","C.Rayner","BRL","FWD",68.91
125,"1001028","J.Silvagni","CAR","FWD",68.88
306,"1012805","T.Bruhn","GEE","MID",68.79
761,"998791","J.Jones","WCE","DEF",68.46
461,"1008541","K.Pickett","MEL","FWD",68.38
636,"293846","S.Ross","STK","MID",68.31
409,"1017094","C.Macdonald","HAW","FWD",68.24
24,"1000998","L.Murphy","ADE","FWD",68.18
12,"999331","D.Fogarty","ADE","FWD",68.1
53,"1000932","T.Doedee","BRL","DEF",68.09
623,"295584","B.Hill","STK","MID/FWD",68.05
488,"999827","Z.Fisher","NTH","FWD",67.75
247,"992059","S.Switkowski","FRE","FWD",67.68
641,"1008312","L.Stocker","STK","DEF",67.64
34,"1006136","L.Sholl","ADE","MID",67.44
625,"993480","D.Howard","STK","DEF",67.39
421,"1001024","N.Reeves","HAW","RUC",67.19
659,"291848","R.Fox","SYD","DEF",67.16
468,"999391","T.Sparrow","MEL","MID",67.14
561,"1004034","B.Zerk-Thatcher","PTA","DEF",67.14
718,"990740","R.Lobb","WBD","FWD",67.05
549,"993979","S.Powell-Pepper","PTA","FWD",67
430,"1027935","J.Weddle","HAW","DEF",66.88
665,"997100","W.Hayward","SYD","FWD",66.86
179,"1006096","X.Duursma","ESS","MID",66.79
181,"298421","J.Gresham","ESS","FWD",66.77
335,"1007102","M.O'Connor","GEE","DEF/MID",66.73
622,"1002227","J.Higgins","STK","FWD",66.71
310,"999326","B.Close","GEE","FWD",66.67
559,"1009195","D.Williams","PTA","DEF",66.65
500,"997933","G.Logue","NTH","DEF",66.53
171,"1011954","N.Bryan","ESS","RUC",66.38
416,"1000963","H.Morrison","HAW","MID",66.38
577,"990827","J.Graham","RIC","FWD",66.35
323,"1000937","J.Henry","GEE","DEF",66.27
130,"997316","L.Young","CAR","DEF",66.13
276,"297456","N.Holman","GCS","FWD",66.05
543,"1004998","T.Marshall","PTA","FWD",66.05
199,"1015873","A.Perkins","ESS","FWD",66
522,"1009191","M.Bergman","PTA","DEF",65.86
551,"296225","W.Rioli","PTA","FWD",65.82
470,"291819","A.Tomlinson","MEL","DEF",65.63
523,"250365","T.Boak","PTA","MID",65.63
158,"291849","B.Mihocek","COL","FWD",65.38
517,"1023477","G.Wardlaw","NTH","MID",65.38
178,"1015810","S.Durham","ESS","MID",65.23
472,"1017720","J.van Rooyen","MEL","FWD",65.11
744,"993820","T.Cole","WCE","DEF",64.92
644,"290757","J.Webster","STK","DEF",64.81
206,"293884","J.Stringer","ESS","FWD",64.71
272,"993799","B.Fiorini","GCS","MID",64.65
775,"996554","J.Waterman","WCE","FWD",64.64
211,"298289","P.Wright","ESS","FWD",64.4
439,"1005330","K.Chandler","MEL","FWD",64.29
733,"1011803","C.Weightman","WBD","FWD",64
413,"1000980","L.Meek","HAW","RUC",63.94
606,"998134","J.Battle","STK","DEF",63.86
135,"998647","M.Cox","COL","RUC/FWD",63.5
754,"1023025","R.Ginbey","WCE","MID",63.47
195,"1002143","B.McKay","ESS","DEF",63.21
69,"997846","C.McKenna","BRL","DEF",63.17
489,"1012833","E.Ford","NTH","FWD",63.14
612,"1002264","H.Clark","STK","MID",63.06
757,"1023167","B.Hough","WCE","DEF",62.73
58,"993953","E.Hipwood","BRL","FWD",62.43
105,"1002228","L.Fogarty","CAR","FWD",62.33
414,"1018016","S.Mitchell","HAW","DEF",62.29
406,"998390","C.Jiath","HAW","DEF",62.25
98,"993795","D.Cuningham","CAR","FWD",62.2
609,"1011994","R.Byrnes","STK","MID",62.15
516,"993816","D.Tucker","NTH","MID",62
313,"1009229","S.De Koning","GEE","DEF",61.47
338,"291357","G.Rohan","GEE","FWD",61.4
747,"290838","J.Darling","WCE","FWD",61.3
189,"297473","J.Kelly","ESS","DEF",61.24
305,"998260","J.Bowes","GEE","DEF",61.18
628,"1006143","M.King","STK","FWD",61.1
161,"1005107","N.Murphy","COL","DEF",60.95
393,"280744","L.Breust","HAW","FWD",60.86
460,"1008893","H.Petty","MEL","DEF/FWD",60.64
731,"1009301","J.Ugle-Hagan","WBD","FWD",60.57
227,"999321","M.Frederick","FRE","FWD",60.42
452,"298470","S.McAdam","MEL","FWD",67.14
494,"281091","H.Greenwood","NTH","MID",60.36
25,"1008230","N.Murray","ADE","DEF",60.12
377,"1006135","X.O'Halloran","GWS","FWD",60.08
95,"1008154","M.Cottrell","CAR","MID/FWD",60
349,"1008139","T.Bedford","GWS","FWD",59.94
656,"291978","H.Cunningham","SYD","DEF",59.91
113,"296190","J.Martin","CAR","FWD",59.55
324,"1012860","O.Henry","GEE","FWD",59.55
40,"1008384","R.Thilthorpe","ADE","FWD",59.43
277,"1023500","B.Humphrey","GCS","FWD",59.26
143,"991773","B.Frampton","COL","DEF",59
675,"1013230","L.McDonald","SYD","FWD",59
588,"1002403","B.Miller","RIC","RUC/FWD",58.85
239,"298409","A.Pearce","FRE","DEF",58.83
692,"1006232","S.Wicks","SYD","FWD",58.7
66,"293581","L.McCarthy","BRL","FWD",58.62
157,"297504","D.McStay","COL","FWD",58.58
714,"281078","L.Jones","WBD","DEF",58.56
229,"996580","E.Hughes","FRE","DEF",58.5
329,"296291","J.Kolodjashnij","GEE","DEF",58.42
43,"298437","C.Ah Chee","BRL","MID",58.33
351,"1014038","C.Brown","GWS","FWD",58.25
514,"1006137","C.Taylor","NTH","MID/FWD",58.19
582,"1006030","J.Koschitzke","RIC","FWD",58.17
267,"1013268","A.Davies","GCS","MID/FWD",58.11
512,"1004848","D.Stephens","NTH","MID",58
608,"992374","D.Butler","STK","FWD",57.87
647,"1023270","M.Windhager","STK","DEF/MID",57.83
108,"1023495","O.Hollands","CAR","MID",57.76
340,"997230","T.Stengle","GEE","FWD",57.58
591,"993771","M.Pickett","RIC","MID/FWD",57.57
767,"1006550","J.Petruccelle","WCE","FWD",57.5
454,"1017703","J.McVee","MEL","DEF",57.43
724,"1011589","C.Poulter","WBD","MID",57.33
734,"1006127","R.West","WBD","FWD",57.25
145,"1006148","B.Hill","COL","FWD",57.14
73,"1002347","J.Payne","BRL","DEF",57
539,"1011583","L.Jones","PTA","DEF",57
216,"998129","W.Brodie","FRE","MID",71.2
146,"291720","W.Hoskin-Elliott","COL","MID",56.85
399,"293738","S.Frost","HAW","DEF",56.72
280,"1006144","B.King","GCS","FWD",56.6
249,"1012819","J.Treacy","FRE","FWD",56.53
650,"1008091","J.Amartey","SYD","FWD",56.36
214,"998180","B.Banfield","FRE","FWD",56.29
493,"1017118","J.Goater","NTH","DEF",56.2
22,"1015370","M.Michalanney","ADE","DEF",56.14
507,"1011659","T.Powell","NTH","FWD",55.86
29,"1012218","L.Pedlar","ADE","FWD",55.81
550,"1002220","E.Ratugolea","PTA","DEF",55.81
252,"281007","M.Walters","FRE","FWD",55.25
94,"1016268","A.Cincotta","CAR","DEF",55.19
380,"992644","B.Preuss","GWS","RUC",0
587,"294592","K.McIntosh","RIC","MID",55.09
437,"291867","B.Brown","MEL","FWD",61.14
616,"1002256","P.Dow","STK","MID",55
546,"290527","T.McKenzie","PTA","DEF",54.94
765,"1029416","R.Maric","WCE","FWD",54.8
328,"1021103","M.Knevitt","GEE","MID",54.75
264,"281124","L.Casboult","GCS","FWD",54.65
741,"1013511","T.Brockman","WCE","FWD",54.6
119,"1017700","J.Motlop","CAR","FWD",54.56
258,"1017396","M.Andrew","GCS","DEF",54.53
81,"1002401","B.Starcevich","BRL","DEF",54.48
715,"290797","A.Keath","WBD","DEF",54.44
122,"1013973","M.Owies","CAR","FWD",54.38
182,"996232","M.Guelfi","ESS","FWD",54.31
597,"1012386","S.Ryan","RIC","RUC/FWD",54.21
153,"298358","O.Markov","COL","DEF",54.2
693,"1008855","O.Baker","WBD","MID",54.17
453,"291533","T.McDonald","MEL","FWD",60.17
710,"997501","R.Gardner","WBD","DEF",54.1
231,"1016825","M.Johnson","FRE","MID",54
687,"1020339","A.Sheldrick","SYD","MID",60
263,"1008454","C.Budarick","GCS","DEF",77
213,"1020594","J.Amiss","FRE","FWD",53.82
155,"1004757","B.McCreery","COL","FWD",53.77
431,"291962","C.Wingard","HAW","FWD",53.57
402,"291351","J.Gunston","HAW","FWD",53.18
337,"298419","B.Parfitt","GEE","MID",53
278,"1005992","J.Jeffrey","GCS","DEF/FWD",58.86
772,"1004364","L.Ryan","WCE","FWD",75.33
102,"1008510","C.Durdin","CAR","FWD",52.64
400,"1012857","J.Ginnivan","HAW","FWD",52.64
33,"1008543","H.Schoenberg","ADE","MID",52.55
381,"1008123","J.Riccardi","GWS","FWD",52.56
678,"996743","L.Melican","SYD","DEF",58.29
696,"1000864","L.Bramble","WBD","DEF/MID",52.27
660,"990816","A.Francis","SYD","DEF",52.21
732,"1005000","L.Vandermeer","WBD","DEF",52.18
610,"1023784","A.Caminiti","STK","FWD",52.06
604,"1018433","T.Young","RIC","DEF",51.89
18,"1013974","M.Keane","ADE","DEF",64.8
764,"1023496","N.Long","WCE","FWD",51.84
55,"1023708","J.Fletcher","BRL","MID",51.55
292,"1005986","M.Rosas","GCS","FWD",51.53
635,"1020137","M.Phillipou","STK","FWD",51.43
583,"293813","T.Lynch","RIC","FWD",64.25
727,"992048","A.Scott","WBD","MID/FWD",51.41
684,"290188","S.Reid","SYD","FWD",0
705,"290085","T.Duryea","WBD","DEF",51.25
607,"994599","R.Bonner","STK","MID",50.91
638,"1018018","C.Sharman","STK","FWD",50.87
90,"1002795","J.Boyd","CAR","DEF",50.75
228,"291570","N.Fyfe","FRE","MID/FWD",50.67
282,"993917","B.Long","GCS","DEF",50.13
237,"1013220","N.O'Driscoll","FRE","MID",49.9
631,"294596","T.Membrey","STK","FWD",55.43
149,"997974","A.Johnson","COL","FWD",49.73
210,"993806","S.Weideman","ESS","FWD",49.5
107,"1012862","E.Hollands","CAR","MID",49.44
13,"1018075","L.Gollant","ADE","FWD",61.75
667,"1013409","J.Jordon","SYD","MID/FWD",49.29
513,"1002240","J.Stephenson","NTH","FWD",49.29
634,"1004985","B.Paton","STK","DEF",49.25
378,"1006013","J.Peatling","GWS","FWD",49.1
579,"280819","D.Grimes","RIC","DEF",48.91
395,"994077","M.Chol","HAW","FWD",48.88
56,"298211","D.Fort","BRL","RUC/FWD",54.14
564,"1013197","S.Banks","RIC","DEF",54
410,"1023482","C.Mackenzie","HAW","FWD",48.57
281,"294013","S.Lemmens","GCS","DEF",48.27
664,"295222","J.Hamling","SYD","DEF",59.25
196,"1013201","J.Menzie","ESS","FWD",46.86
467,"1002282","C.Spargo","MEL","FWD",46.77
3,"1009029","J.Borlase","ADE","DEF",58.25
478,"1017095","M.Bergman","NTH","DEF",46.5
482,"1002947","P.Curtis","NTH","FWD",46.48
112,"298302","C.Marchbank","CAR","DEF",51.6
614,"991939","Z.Cordy","STK","DEF/FWD",46.31
711,"297899","J.Harmes","WBD","MID/FWD",46.22
64,"293716","J.Lyons","BRL","MID",51.29
771,"997823","J.Rotham","WCE","DEF",46.15
251,"1009410","B.Walker","FRE","DEF",46
540,"1012881","O.Lord","PTA","FWD",45.64
574,"1009226","T.Dow","RIC","MID",57
756,"1020670","E.Hewett","WCE","MID/FWD",45.57
77,"1009385","D.Robertson","BRL","MID/FWD",45.38
545,"1004819","J.McEntee","PTA","FWD",45.3
217,"1013224","H.Chapman","FRE","DEF",64.33
751,"1006576","L.Edwards","WCE","MID",44.93
303,"293883","J.Bews","GEE","DEF",44.87
479,"1000061","C.Coleman-Jones","NTH","FWD",44.78
246,"1013611","S.Sturt","FRE","FWD",44.71
626,"991988","Z.Jones","STK","MID",55.75
394,"1010708","S.Butler","HAW","FWD",44.13
207,"1023785","E.Tsatas","ESS","MID/FWD",55
455,"280824","J.Melksham","MEL","FWD",43.92
188,"1011755","H.Jones","ESS","FWD",48.6
434,"296351","J.Billings","MEL","FWD",62.33
26,"1021031","L.Nankervis","ADE","DEF",54.5
466,"1003546","J.Smith","MEL","FWD",43.58
570,"1017043","J.Clarke","RIC","FWD",43.31
532,"1017255","F.Evans","PTA","FWD",42.9
226,"1020250","N.Erasmus","FRE","MID",42.64
288,"1009320","H.Oea","GCS","MID/FWD",42.38
6,"1018335","B.Cook","ADE","MID",70
21,"1008185","N.McHenry","ADE","FWD",42
174,"1015827","N.Cox","ESS","DEF/MID",46.67
5,"1004995","J.Butts","ADE","DEF",41.94
15,"1005199","E.Himmelberg","ADE","FWD",52.33
79,"1007099","H.Sharp","BRL","MID",51.67
535,"1010174","M.Georgiades","PTA","FWD",59
619,"990840","J.Hayes","STK","FWD",51
59,"1003520","D.Joyce","BRL","DEF",45.2
480,"1015781","C.Comben","NTH","FWD",45.14
1,"1012807","S.Berry","ADE","MID",50.75
584,"1008478","R.Mansell","RIC","FWD",40.47
396,"1005144","M.D'Ambrosio","HAW","DEF",40.25
347,"1015777","R.Angwin","GWS","MID",39.87
170,"1008975","K.Baldwin","ESS","DEF",48.5
128,"294685","Z.Williams","CAR","DEF",0
96,"1021353","L.Cowan","CAR","DEF",42.29
777,"1020371","J.Williams","WCE","FWD",37.8
411,"1009421","F.Maginness","HAW","MID",37.69
722,"1032966","J.O'Donnell","WBD","DEF",37.33
176,"1017933","A.Davey Jnr","ESS","FWD",37.3
371,"290314","L.Keeffe","GWS","FWD",37.27
602,"1031829","J.Trezise","RIC","DEF",93
770,"1023492","H.Reid","WCE","MID/FWD",0
593,"1011985","H.Ralphsmith","RIC","DEF",36.92
270,"999715","J.Farrar","GCS","DEF",36.78
503,"1024272","C.McKercher","NTH","MID",0
392,"1011839","J.Blanck","HAW","DEF",36.2
334,"1016433","S.Neale","GEE","FWD",45
547,"1005326","J.Mead","PTA","MID/FWD",39.71
548,"999824","Q.Narkle","PTA","FWD",44.67
743,"1017057","C.Chesser","WCE","MID",35.71
759,"1011243","C.Jamieson","WCE","FWD",44.5
299,"1023736","J.Walter","GCS","FWD",0
750,"1011437","H.Edwards","WCE","DEF",44
487,"1023494","Z.Duursma","NTH","MID/FWD",0
287,"1021013","N.Moyle","GCS","RUC",49.5
746,"1020802","J.Culley","WCE","MID/FWD",43.2
471,"1020959","D.Turner","MEL","DEF",49
699,"1015929","L.Cleary","WBD","DEF",49
713,"1020586","A.Jones","WBD","FWD",34.15
573,"1009308","N.Cumberland","RIC","FWD",34
429,"1023473","N.Watson","HAW","MID/FWD",0
57,"296269","D.Gardiner","BRL","DEF",48
726,"1017939","R.Sanders","WBD","MID",0
404,"1023680","H.Hustwaite","HAW","MID",66
484,"1012144","K.Dawson","NTH","DEF",41
225,"1020695","T.Emmett","FRE","FWD",81.5
499,"1012852","C.Lazzaro","NTH","MID/FWD",36
475,"1027821","C.Windsor","MEL","MID/FWD",0
144,"1015332","H.Harrison","COL","FWD",40.25
311,"1017063","T.Conway","GEE","RUC",46
524,"1013462","J.Burgoyne","PTA","DEF",40.2
365,"1017093","C.Hamilton","GWS","MID",40
740,"1017718","R.Bazzo","WCE","DEF",32
45,"1005053","N.Answerth","BRL","FWD",35
285,"1009189","J.Mahony","GCS","MID/FWD",45
104,"296334","O.Fantasia","CAR","FWD",39.33
8,"1024023","D.Curtin","ADE","DEF/MID",0
476,"1018425","T.Woewodin","MEL","FWD",39.25
595,"1009551","M.Rioli","RIC","FWD",31.4
28,"1013153","P.Parnell","ADE","DEF",39.2
