"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
1004364,760,"Liam","Ryan","WCE","FWD",,19,,24,57.9167,53.6667,52.2,303900,,,,,,
293651,694,"Hayden","Crozier","WBD","DEF",,19,,,69.7,55.6667,70.6,373200,,,,,,
296422,644,"Callum","Wilkie","STK","DEF",,19,,68,75.6111,81.6667,82.8,419800,,,,,,
998103,654,"Oliver","Florent","SYD","MID",,19,,91,77.3333,70,71.2,362300,,,,,,
270938,21,"Tom","Lynch","ADE","FWD",,19,,62,66.625,57.6667,60.4,316800,22859,"Ariana Grundy","Lester",TRUE,"scoring","FWD"
996442,651,"Ryan","Clarke","SYD","MID",,19,,,12,12,12,407800,,,,,,
998130,259,"Ben","Ainsworth","GCS","FWD",,19,,75,63.1538,70.6667,80.8,365600,,,,,,
1006126,681,"James","Rowbottom","SYD","MID",,19,,60,77.1667,54.3333,65.8,353000,,,,,,
1008089,164,"Isaac","Quaynor","COL","DEF",,19,,58,75.5556,74.3333,71.4,383200,,,,,,
292511,351,"Zach","Tuohy","GEE","MID",,19,,70,87.1765,94.6667,98,488400,23413,"The West Wingard","Simon",TRUE,"scoring","MID"
295067,217,"James","Aish","FRE","MID",,19,,63,67.6111,58,64.6,350700,,,,,,
993979,557,"Sam","Powell-Pepper","PTA","FWD","MID",19,,70,71.8333,73.6667,66.6,348700,,,,,,
290787,481,"Shaun","Atley","NTH","DEF",,19,,64,68.5556,55.6667,50.6,274600,,,,,,
293854,248,"Matt","Taberner","FRE","FWD",,19,,43,64.3333,26,44.6,270600,,,,,,
998529,602,"Ivan","Soldo","RIC","RUC",,19,,,0,0,0,403000,,,,,,
996487,430,"Tom","Phillips","HAW","FWD","MID",19,,52,70.2778,69,67,347900,,,,,,
291773,114,"Jack","Newnes","CAR","MID","FWD",19,,79,65.0667,71.3333,71.4,323100,,,,,,
296200,103,"Michael","Gibbons","CAR","FWD",,19,,,64.5455,57,62.4,313400,,,,,,
993832,128,"Jacob","Weitering","CAR","DEF",,19,,102,93.3333,97.3333,110.2,505300,23413,"The West Wingard","Simon",TRUE,"scoring","DEF"
291978,652,"Harry","Cunningham","SYD","DEF",,19,,,69.1875,83,77.2,393300,,,,,,
994539,118,"Sam","Petrevski-Seton","CAR","DEF",,19,,75,63.2308,67.3333,70,326600,,,,,,
