"feed_id","round","pick","rank","DEF","MID","RUC","FWD","team","proj"
"1008550",8,64,"M36",,"W.Day",,,"HAW",97.43
"280506",9,65,"F9",,,,"T.Walker","ADE",89.55
"296422",9,66,"D12","C.Wilkie",,,,"STK",94.22
"290778",9,67,"M37",,"L.Parker",,,"SYD",96.86
"1009256",9,68,"D13","H.Young",,,,"FRE",93.95
"994185",9,69,"M38",,"J.De Goey",,,"COL",96.61
"1005521",9,70,"R10",,,"O.McInerney",,"BRL",94.36
"1009260",9,71,"F10",,"S.Flanders",,"S.Flanders","GCS",88.43
"1031829",9,72,"D14","J.Trezise",,,,"RIC",93
"294305",10,73,"D15","L.Whitfield",,,,"GWS",92.86
"280711",10,74,"F11",,,,"C.Dixon","PTA",87.69
"294674",10,75,"D16","N.Vlastuin",,,,"RIC",92.1
"296205",10,76,"M39",,"J.Steele",,,"STK",94.75
"291856",10,77,"M40",,"T.Mitchell",,,"COL",94.65
"1007881",10,78,"D17","W.Powell",,,,"GCS",91.89
"990291",10,79,"R11",,,"D.Cameron",,"COL",92.19
"298539",10,80,"F12",,,,"I.Heeney","SYD",86.55
"260257",11,81,"M41",,"S.Pendlebury",,,"COL",93.95
