"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round.x","projected_points","points","user_team_id","team.x","coach.x","picked","type","position.x","median_score","round.y","pick","order_id","coach.y","player_name","team.y","position.y","position_drafted","time_drafted","DEF","MID","RUC","FWD","score"
295461,123,"Adam","Saad","CAR","DEF",,7,,106,20323,"La MacRaena","Anthony",TRUE,"scoring","DEF",99,7,52,5,"Melons","A.Saad","CAR","DEF","DEF","2021-04-11 18:02:12",0.328,,,,0.328
993993,568,"Shai","Bolton","RIC","FWD","MID",7,,121,23345,"Pink Lloyd","Jordan",TRUE,"scoring","FWD",99,7,53,4,"Jmerc","S.Bolton","RIC","FWD MID","FWD","2021-04-11 18:02:22",,-0.408,,0.92,0.92
296355,498,"Luke","McDonald","NTH","DEF",,7,,,,,,,,,3,7,54,3,"Chief","L.McDonald","NTH","DEF","DEF","2021-04-11 18:02:29",-10.04,,,,-10.04
994185,140,"Jordan","De Goey","COL","FWD",,7,,52,22859,"Ariana Grundy","Lester",TRUE,"scoring","FWD",51.5,7,55,2,"Lester","J.De Goey","COL","FWD","FWD","2021-04-11 18:02:36",,,,-3.391,-3.391
1006094,127,"Sam","Walsh","CAR","MID",,7,,130,6510,"The Big Short","Luke",TRUE,"scoring","MID",124,7,56,1,"Kappaz","S.Walsh","CAR","MID","MID","2021-04-11 18:02:41",,1.667,,,1.667
1000978,69,"Hugh","McCluggage","BRL","MID",,7,,117,6510,"The Big Short","Luke",TRUE,"scoring","MID",103,8,57,1,"Kappaz","H.McCluggage","BRL","MID","MID","2021-04-11 18:02:48",,-0.076,,,-0.076
293716,65,"Jarryd","Lyons","BRL","MID",,7,,122,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID",113,8,58,2,"Lester","J.Lyons","BRL","MID","MID","2021-04-11 18:02:53",,0.754,,,0.754
290778,677,"Luke","Parker","SYD","MID",,7,,85,23413,"The West Wingard","Simon",TRUE,"scoring","MID",94,8,59,3,"Chief","L.Parker","SYD","MID","MID","2021-04-11 18:02:58",,-0.822,,,-0.822
294199,333,"Sam","Menegola","GEE","MID",,7,,99,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID",75,8,60,4,"Jmerc","S.Menegola","GEE","MID","MID","2021-04-11 18:03:03",,-2.399,,,-2.399
281065,319,"Mitch","Duncan","GEE","MID",,7,,98,20323,"La MacRaena","Anthony",TRUE,"scoring","MID",117,8,61,5,"Melons","M.Duncan","GEE","MID","MID","2021-04-11 18:03:09",,1.086,,,1.086
294318,562,"Ollie","Wines","PTA","MID",,7,,91,2016,"At Witts End","Paul",TRUE,"scoring","MID",98,8,62,6,"Pmac","O.Wines","PTA","MID","MID","2021-04-11 18:03:14",,-0.491,,,-0.491
994295,544,"Dan","Houston","PTA","DEF",,7,,54,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","DEF",95,8,63,7,"Richo","D.Houston","PTA","DEF","DEF","2021-04-11 18:03:19",-0.104,,,,-0.104
291748,38,"Brodie","Smith","ADE","DEF","MID",7,,74,6510,"The Big Short","Luke",TRUE,"scoring","DEF",77,8,64,8,"Garter","B.Smith","ADE","DEF MID","DEF","2021-04-11 18:03:30",-2.048,-2.233,,,-2.048
261396,541,"Robbie","Gray","PTA","FWD",,7,,52,20240,"MakingTheirMarcus","James",TRUE,"scoring","FWD",82,9,65,8,"Garter","R.Gray","PTA","FWD","FWD","2021-04-11 18:04:14",,,,-0.623,-0.623
296190,109,"Jack","Martin","CAR","FWD",,7,,,2018,"Surviving J.Kelly","Mark",FALSE,"non-scoring","FWD",83,9,66,7,"Richo","J.Martin","CAR","FWD","FWD","2021-04-11 18:04:19",,,,-0.532,-0.532
298272,290,"Touk","Miller","GCS","MID",,7,,115,2016,"At Witts End","Paul",TRUE,"scoring","MID",115,9,67,6,"Pmac","T.Miller","GCS","MID","MID","2021-04-11 18:04:28",,0.92,,,0.92
290032,584,"Kane","Lambert","RIC","FWD",,7,,,20323,"La MacRaena","Anthony",TRUE,"non-scoring","FWD",86.5,9,68,5,"Melons","K.Lambert","RIC","FWD","FWD","2021-04-11 18:04:33",,,,-0.214,-0.214
1002232,221,"Andrew","Brayshaw","FRE","MID",,7,,121,23345,"Pink Lloyd","Jordan",TRUE,"scoring","MID",117,9,69,4,"Jmerc","A.Brayshaw","FRE","MID","MID","2021-04-11 18:04:38",,1.086,,,1.086
280711,532,"Charlie","Dixon","PTA","FWD",,7,,64,23413,"The West Wingard","Simon",TRUE,"scoring","FWD",69,9,70,3,"Chief","C.Dixon","PTA","FWD","FWD","2021-04-11 18:04:43",,,,-1.803,-1.803
290550,322,"Cameron","Guthrie","GEE","MID",,7,,132,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID",124,9,71,2,"Lester","C.Guthrie","GEE","MID","MID","2021-04-11 18:04:50",,1.667,,,1.667
294305,395,"Lachie","Whitfield","GWS","DEF",,7,,83,6510,"The Big Short","Luke",TRUE,"scoring","DEF",83,9,72,1,"Kappaz","L.Whitfield","GWS","DEF","DEF","2021-04-11 18:04:55",-1.4,,,,-1.4
290799,709,"Tom","Liberatore","WBD","MID",,7,,83,6510,"The Big Short","Luke",TRUE,"scoring","MID",83,10,73,1,"Kappaz","T.Liberatore","WBD","MID","MID","2021-04-11 18:05:00",,-1.735,,,-1.735
281085,461,"Steven","May","MEL","DEF",,7,,145,22859,"Ariana Grundy","Lester",TRUE,"scoring","DEF",88,10,74,2,"Lester","S.May","MEL","DEF","DEF","2021-04-11 18:05:05",-0.86,,,,-0.86
291861,480,"Jed","Anderson","NTH","MID",,7,,,,,,,,,93.5,10,75,3,"Chief","J.Anderson","NTH","MID","MID","2021-04-11 18:05:10",,-0.864,,,-0.864
998128,770,"Alex","Witherden","WCE","DEF",,7,,74,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF",74,10,76,4,"Jmerc","A.Witherden","WCE","DEF","DEF","2021-04-11 18:05:15",-2.372,,,,-2.372
291783,208,"Dylan","Shiel","ESS","MID",,7,,,,,,,,,89.5,10,77,5,"Melons","D.Shiel","ESS","MID","MID","2021-04-11 18:05:21",,-1.196,,,-1.196
298268,739,"Liam","Duggan","WCE","DEF",,7,,86,20323,"La MacRaena","Anthony",TRUE,"scoring","DEF",74,10,78,6,"Pmac","L.Duggan","WCE","DEF","DEF","2021-04-11 18:05:27",-2.372,,,,-2.372
998102,198,"Andrew","McGrath","ESS","MID",,7,,93,2018,"Surviving J.Kelly","Mark",TRUE,"scoring","MID",89,10,79,7,"Richo","A.McGrath","ESS","MID","MID","2021-04-11 18:05:32",,-1.237,,,-1.237
271072,78,"Daniel","Rich","BRL","DEF",,7,,91,20240,"MakingTheirMarcus","James",TRUE,"scoring","DEF",103,10,80,8,"Garter","D.Rich","BRL","DEF","DEF","2021-04-11 18:05:44",0.76,,,,0.76
992351,727,"Bailey","Williams","WBD","DEF",,7,,,,,,,,,77,11,81,8,"Garter","B.Williams","WBD","DEF","DEF","2021-04-11 18:05:54",-2.048,,,,-2.048
294674,604,"Nick","Vlastuin","RIC","DEF",,7,,,2018,"Surviving J.Kelly","Mark",FALSE,"non-scoring","DEF",39,11,82,7,"Richo","N.Vlastuin","RIC","DEF","DEF","2021-04-11 18:06:02",-6.152,,,,-6.152
291975,307,"Jarrod","Witts","GCS","RUC",,7,,,,,,,,,75,11,83,6,"Pmac","J.Witts","GCS","RUC","RUC","2021-04-11 18:06:07",,,-2.297,,-2.297
271129,492,"Todd","Goldstein","NTH","RUC",,7,,80,20323,"La MacRaena","Anthony",TRUE,"scoring","RUC",82,11,84,5,"Melons","T.Goldstein","NTH","RUC","RUC","2021-04-11 18:06:14",,,-1.876,,-1.876
290307,678,"Dane","Rampe","SYD","DEF",,7,,,,,,,,,76,11,85,4,"Jmerc","D.Rampe","SYD","DEF","DEF","2021-04-11 18:06:19",-2.156,,,,-2.156
296733,310,"Mark","Blicavs","GEE","DEF","MID",7,,57,,,,,,,77,11,86,3,"Chief","M.Blicavs","GEE","DEF MID","DEF","2021-04-11 18:06:24",-2.048,-2.233,,,-2.048
295898,749,"Tim","Kelly","WCE","MID",,7,,131,22859,"Ariana Grundy","Lester",TRUE,"scoring","MID",88,11,87,2,"Lester","T.Kelly","WCE","MID","MID","2021-04-11 18:06:28",,-1.32,,,-1.32
1002312,49,"Zac","Bailey","BRL","FWD","MID",7,,102,6510,"The Big Short","Luke",TRUE,"scoring","FWD",88,11,88,1,"Kappaz","Z.Bailey","BRL","FWD MID","FWD","2021-04-11 18:06:33",,-1.32,,-0.078,-0.078
993998,507,"Jy","Simpkin","NTH","MID",,7,,103,6510,"The Big Short","Luke",TRUE,"scoring","MID",87,12,89,1,"Kappaz","J.Simpkin","NTH","MID","MID","2021-04-11 18:06:48",,-1.403,,,-1.403
280944,520,"Jack","Ziebell","NTH","FWD",,7,,102,22859,"Ariana Grundy","Lester",TRUE,"scoring","FWD",113,12,90,2,"Lester","J.Ziebell","NTH","FWD","FWD","2021-04-11 18:06:52",,,,2.191,2.191
291962,437,"Chad","Wingard","HAW","FWD",,7,,,23413,"The West Wingard","Simon",TRUE,"non-scoring","FWD",83.5,12,91,3,"Chief","C.Wingard","HAW","FWD","FWD","2021-04-11 18:06:57",,,,-0.487,-0.487
1001398,107,"Matthew","Kennedy","CAR","FWD","MID",7,,,,,,,,,21,12,92,4,"Jmerc","M.Kennedy","CAR","FWD MID","FWD","2021-04-11 18:07:04",,-6.881,,-6.16,-6.16
