"","feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
"537",295340,772,"Mason","Wood","STK","FWD",NA,11,NA,113,60,60,60,243300,NA,NA,NA,NA,NA,NA
"538",298265,633,"Daniel","McKenzie","STK","DEF",NA,11,NA,NA,61.2,71.3333,61.2,298100,NA,NA,NA,NA,NA,NA
"539",295599,173,"Patrick","Ambrose","ESS","DEF",NA,11,NA,NA,0,0,0,217800,NA,NA,NA,NA,NA,NA
"540",992752,82,"Archie","Smith","BRL","RUC",NA,11,NA,NA,0,0,0,217100,NA,NA,NA,NA,NA,NA
"541",1006550,756,"Jack","Petruccelle","WCE","FWD",NA,11,NA,58,57.625,65.3333,60.2,295700,NA,NA,NA,NA,NA,NA
"542",280722,301,"Zac","Smith","GCS","RUC",NA,11,NA,68,72,72,72,216000,NA,NA,NA,NA,NA,NA
"543",1008083,375,"Connor","Idun","GWS","DEF",NA,11,NA,68,66.2,65.3333,68,325400,NA,NA,NA,NA,NA,NA
"544",993841,717,"Josh","Schache","WBD","FWD",NA,11,NA,NA,45,45,45,214400,NA,NA,NA,NA,NA,NA
"545",1008185,25,"Ned","McHenry","ADE","FWD",NA,11,NA,64,47.7,51.6667,47.6,224600,NA,NA,NA,NA,NA,NA
"546",296254,413,"Jarman","Impey","HAW","FWD",NA,11,NA,62,92.8182,78.3333,85,442800,2016,"At Witts End","Paul",TRUE,"scoring","FWD"
"547",1003546,473,"Joel","Smith","MEL","DEF",NA,11,NA,NA,0,0,0,211100,NA,NA,NA,NA,NA,NA
"548",1008159,13,"Will","Hamill","ADE","DEF",NA,11,NA,7,39.4444,24.6667,34.6,193600,NA,NA,NA,NA,NA,NA
"549",1000068,266,"Chris","Burgess","GCS","DEF",NA,11,NA,40,49.8889,41,41.4,219700,NA,NA,NA,NA,NA,NA
"550",1009301,722,"Jamarra","Ugle-Hagan","WBD","FWD",NA,11,NA,NA,0,0,0,207300,NA,NA,NA,NA,NA,NA
"551",290889,398,"Keegan","Brooksby","HAW","RUC","FWD",11,NA,NA,0,0,0,206900,NA,NA,NA,NA,NA,NA
"552",1009383,167,"Trey","Ruscoe","COL","FWD",NA,11,NA,NA,20,20,20,179600,NA,NA,NA,NA,NA,NA
"553",1008384,42,"Riley","Thilthorpe","ADE","RUC","FWD",11,NA,62,61.6667,57.6667,55.8,263600,NA,NA,NA,NA,NA,NA
"554",1002256,99,"Paddy","Dow","CAR","FWD","MID",11,NA,NA,39.4,28,39.4,192200,NA,NA,NA,NA,NA,NA
"555",1004909,519,"Lachie","Young","NTH","DEF","MID",11,NA,41,57.5455,37,41.6,238500,NA,NA,NA,NA,NA,NA
"556",992015,501,"Connor","Menadue","NTH","DEF",NA,11,NA,52,63.4286,51,58,283800,NA,NA,NA,NA,NA,NA
"557",1007238,389,"Jake","Stein","GWS","DEF",NA,11,NA,NA,0,0,0,200100,NA,NA,NA,NA,NA,NA
"558",1000887,417,"Mitch","Lewis","HAW","FWD",NA,11,NA,49,61,48.6667,49.4,265100,NA,NA,NA,NA,NA,NA
"559",1009201,24,"Fischer","Mcasey","ADE","DEF","FWD",11,NA,NA,0,0,0,199300,NA,NA,NA,NA,NA,NA
"560",1012829,503,"Will","Phillips","NTH","MID",NA,11,NA,NA,36.5,31,36,195100,NA,NA,NA,NA,NA,NA
"561",997316,729,"Lewis","Young","WBD","DEF",NA,11,NA,NA,50.6667,50.6667,50.6667,213200,NA,NA,NA,NA,NA,NA
"562",1009421,418,"Finn","Maginness","HAW","MID",NA,11,NA,NA,33,33,33,195600,NA,NA,NA,NA,NA,NA
"563",1008091,645,"Joel","Amartey","SYD","RUC","FWD",11,NA,NA,0,0,0,195600,NA,NA,NA,NA,NA,NA
"564",296070,692,"Ben","Cavarra","WBD","FWD",NA,11,NA,NA,7,7,7,194900,NA,NA,NA,NA,NA,NA
"565",1013230,668,"Logan","McDonald","SYD","FWD",NA,11,NA,NA,57,42.6667,57,251300,NA,NA,NA,NA,NA,NA
"566",1007124,425,"Conor","Nash","HAW","FWD",NA,11,NA,NA,18,18,18,193400,NA,NA,NA,NA,NA,NA
"567",1011771,502,"Flynn","Perez","NTH","DEF",NA,11,NA,NA,0,0,0,193400,NA,NA,NA,NA,NA,NA
"568",1006114,768,"Bailey J.","Williams","WCE","RUC","FWD",11,NA,45,49.5,47.3333,49.5,217200,NA,NA,NA,NA,NA,NA
"569",1009260,275,"Sam","Flanders","GCS","FWD",NA,11,NA,76,52.5714,64.6667,57,260300,NA,NA,NA,NA,NA,NA
"570",298417,7,"Ben","Davis","ADE","FWD",NA,11,NA,NA,0,0,0,191800,NA,NA,NA,NA,NA,NA
"571",1011992,691,"Louis","Butler","WBD","DEF",NA,11,NA,30,30,30,30,191800,NA,NA,NA,NA,NA,NA
"572",998321,538,"Joel","Garner","PTA","DEF",NA,11,NA,NA,0,0,0,189900,NA,NA,NA,NA,NA,NA
"573",1013133,649,"Braeden","Campbell","SYD","MID","FWD",11,NA,NA,54.6667,41.6667,54.4,235800,NA,NA,NA,NA,NA,NA
"574",998218,580,"Ryan","Garthwaite","RIC","DEF",NA,11,NA,NA,0,0,0,188000,NA,NA,NA,NA,NA,NA
"575",1008312,126,"Liam","Stocker","CAR","DEF",NA,11,NA,50,45.8333,53,49.2,224400,NA,NA,NA,NA,NA,NA
"576",281280,454,"Neville","Jetta","MEL","DEF",NA,11,NA,NA,43,36.6667,43,194900,NA,NA,NA,NA,NA,NA
"577",1013093,405,"Denver","Grainger-Barras","HAW","DEF",NA,11,NA,NA,0,0,0,184800,NA,NA,NA,NA,NA,NA
"578",1005988,234,"Liam","Henry","FRE","FWD",NA,11,NA,42,38.3333,39.3333,38.8,194700,NA,NA,NA,NA,NA,NA
"579",999715,273,"Jy","Farrar","GCS","FWD",NA,11,NA,14,52.6667,43.6667,46.6,236900,NA,NA,NA,NA,NA,NA
"580",998791,748,"Jamaine","Jones","WCE","FWD",NA,11,NA,35,57.25,59,68.4,308500,NA,NA,NA,NA,NA,NA
"581",260246,540,"Tyson","Goldsack","PTA","DEF",NA,11,NA,NA,0,0,0,182000,NA,NA,NA,NA,NA,NA
"582",1002259,115,"Lochie","O'Brien","CAR","MID",NA,11,NA,NA,50,50,50,180500,NA,NA,NA,NA,NA,NA
"583",1004870,323,"Zach","Guthrie","GEE","DEF","MID",11,NA,28,43.7143,39.6667,41.8,212700,NA,NA,NA,NA,NA,NA
"584",1002231,590,"Patrick","Naish","RIC","MID",NA,11,NA,NA,24.25,30.6667,24.25,155600,NA,NA,NA,NA,NA,NA
"585",1012862,280,"Elijah","Hollands","GCS","MID","FWD",11,NA,NA,0,0,0,180300,NA,NA,NA,NA,NA,NA
"586",998414,766,"Daniel","Venables","WCE","FWD",NA,11,NA,NA,0,0,0,179900,NA,NA,NA,NA,NA,NA
"587",1003520,627,"Darragh","Joyce","STK","DEF",NA,11,NA,NA,42,42,42,186400,NA,NA,NA,NA,NA,NA
"588",1004995,4,"Jordon","Butts","ADE","DEF",NA,11,NA,39,61.1818,48.3333,63,307900,NA,NA,NA,NA,NA,NA
"589",1009385,79,"Deven","Robertson","BRL","MID","FWD",11,NA,85,68.375,73,66.4,309800,NA,NA,NA,NA,NA,NA
"590",1015827,179,"Nikolas","Cox","ESS","DEF","FWD",11,NA,40,55.9091,53,50.2,263300,NA,NA,NA,NA,NA,NA
"591",999321,230,"Michael","Frederick","FRE","FWD",NA,11,NA,NA,49.5714,35,44.6,237500,NA,NA,NA,NA,NA,NA
"592",1008288,483,"Atu","Bosenavulagi","NTH","FWD",NA,11,NA,NA,64.3333,64.3333,64.3333,214400,NA,NA,NA,NA,NA,NA
"593",1011803,725,"Cody","Weightman","WBD","FWD",NA,11,NA,53,75.3333,75.3333,75.3333,227300,NA,NA,NA,NA,NA,NA
